브랜드,직접비항목,유통채널,채널명,기준매출,%/원,비고,
X,지급수수료_로열티,1,(브랜드) 백화점,실판가(V-),2.1%,,
X,지급수수료_로열티,2,(브랜드) 면세점,실판가(V-),2.1%,,
X,지급수수료_로열티,3,직영점(가두),실판가(V-),2.1%,,
X,지급수수료_로열티,4,온라인(자사),실판가(V-),2.1%,,
X,지급수수료_로열티,5,온라인(제휴),실판가(V-),2.1%,,
X,지급수수료_로열티,6,대리점,실판가(V-),2.1%,,
X,지급수수료_로열티,7,아울렛(직영),실판가(V-),2.1%,,
X,지급수수료_로열티,8,사입,실판가(V-),9.0%,,
X,지급수수료_로열티,9,수출,실판가(V-),2.1%,,
X,지급수수료_로열티,11,직영(가두)2,실판가(V-),2.1%,,
X,지급수수료_로열티,12,직영(아울렛)2,실판가(V-),2.1%,,
X,지급수수료_로열티,99,기타,실판가(V-),2.1%,,
M,지급수수료_로열티,1,(브랜드) 백화점,출고가(V-),7.0%,,
M,지급수수료_로열티,2,(브랜드) 면세점,출고가(V-),7.0%,,
M,지급수수료_로열티,3,직영점(가두),실판가(V-),4.6%,,
M,지급수수료_로열티,4,온라인(자사),실판가(V-),4.6%,,
M,지급수수료_로열티,5,온라인(제휴),실판가(V-),4.6%,,
M,지급수수료_로열티,6,대리점,출고가(V-),7.0%,,
M,지급수수료_로열티,7,아울렛(직영),실판가(V-),4.6%,,
M,지급수수료_로열티,8,사입,출고가(V-),7.0%,,
M,지급수수료_로열티,9,수출,출고가(V-),10.0%,,
M,지급수수료_로열티,11,직영(가두)2,실판가(V-),4.6%,,
M,지급수수료_로열티,99,기타,출고가(V-),7.0%,,
I,지급수수료_로열티,1,(브랜드) 백화점,출고가(V-),6.0%,,
I,지급수수료_로열티,2,(브랜드) 면세점,출고가(V-),6.0%,,
I,지급수수료_로열티,3,직영점(가두),실판가(V-),3.9%,,
I,지급수수료_로열티,4,온라인(자사),실판가(V-),3.9%,,
I,지급수수료_로열티,5,온라인(제휴),실판가(V-),3.9%,,
I,지급수수료_로열티,6,대리점,출고가(V-),6.0%,,
I,지급수수료_로열티,7,아울렛(직영),실판가(V-),4.6%,,
I,지급수수료_로열티,8,사입,출고가(V-),6.0%,,
I,지급수수료_로열티,9,수출,출고가(V-),10.0%,,
I,지급수수료_로열티,11,직영(가두)2,실판가(V-),3.9%,,
I,지급수수료_로열티,99,기타,출고가(V-),6.0%,,
W,지급수수료_로열티,1,(브랜드) 백화점,실판가(V-),3.7%,,
W,지급수수료_로열티,2,(브랜드) 면세점,실판가(V-),3.7%,,
W,지급수수료_로열티,3,직영점(가두),실판가(V-),3.7%,,
W,지급수수료_로열티,4,온라인(자사),실판가(V-),3.7%,,
W,지급수수료_로열티,5,온라인(제휴),실판가(V-),3.8%,,
W,지급수수료_로열티,6,대리점,실판가(V-),3.8%,,
W,지급수수료_로열티,7,아울렛(직영),실판가(V-),3.8%,,
W,지급수수료_로열티,9,수출,실판가(V-),3.7%,,
W,지급수수료_로열티,11,직영(가두)2,실판가(V-),3.7%,,
W,지급수수료_로열티,99,기타,실판가(V-),3.7%,,
ST,지급수수료_로열티,1,(브랜드) 백화점,실판가(V-),3.6%,,
ST,지급수수료_로열티,2,(브랜드) 면세점,실판가(V-),3.6%,,
ST,지급수수료_로열티,3,직영점(가두),실판가(V-),3.6%,,
ST,지급수수료_로열티,4,온라인(자사),실판가(V-),3.6%,,
ST,지급수수료_로열티,5,온라인(제휴),실판가(V-),3.6%,,
ST,지급수수료_로열티,6,대리점,실판가(V-),3.6%,,
ST,지급수수료_로열티,7,아울렛(직영),실판가(V-),3.6%,,
ST,지급수수료_로열티,8,사입,실판가(V-),3.6%,,
ST,지급수수료_로열티,9,수출,실판가(V-),0.0%,,
ST,지급수수료_로열티,11,직영(가두)2,실판가(V-),3.6%,,
ST,지급수수료_로열티,12,직영(아울렛)2,실판가(V-),3.6%,,
ST,지급수수료_로열티,99,기타,실판가(V-),3.6%,,
V,지급수수료_로열티,1,(브랜드) 백화점,실판가(V-),2.5%,,
V,지급수수료_로열티,2,(브랜드) 면세점,실판가(V-),2.5%,,
V,지급수수료_로열티,3,직영점(가두),실판가(V-),2.5%,,
V,지급수수료_로열티,4,온라인(자사),실판가(V-),2.5%,,
V,지급수수료_로열티,5,온라인(제휴),실판가(V-),2.5%,,
V,지급수수료_로열티,6,대리점,실판가(V-),2.5%,,
V,지급수수료_로열티,7,아울렛(직영),실판가(V-),0.0%,,
V,지급수수료_로열티,8,사입,실판가(V-),2.5%,,
V,지급수수료_로열티,9,수출,출고가(V-),2.5%,,
V,지급수수료_로열티,11,직영(가두)2,실판가(V-),2.5%,,
V,지급수수료_로열티,12,직영(아울렛)2,실판가(V-),2.5%,,
V,지급수수료_로열티,99,기타,실판가(V-),2.5%,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
