브랜드코드,카테고리,아이템,아이템명,판매수량,판매매출,전년비,비중,4주평균판매량,재고,재고주수,전년재고주수,재고주수차이(당년-전년)
A,Bag,CR,크로스백,0,0,,0%,0,-1,,,
A,Acc_etc,FN,패니팩,0,0,,0%,0,-10,,,
A,Headwear,CP,운동모,0,0,,0%,0,-1,,,
A,Bag,SG,슬링백,0,0,,0%,0,-1,,,
A,Bag,BG,가방,0,0,,0%,0,-3,,,
A,Bag,BK,백팩,0,0,,0%,0,-3,,,
A,Bag,MR,메신저백,0,0,,0%,0,-3,,,
I,Bag,CR,크로스백,5436,455230472,1035%,48%,2049,57982,28.3,36.5,-8.2
I,Shoes,WB,방한화,2025,168747199,36%,18%,2136,29945,14.0,9.5,4.5
I,Bag,BK,백팩,634,78674320,118%,8%,446,75984,170.4,100.1,70.3
I,Headwear,BN,비니,1523,58174859,70%,6%,1397,22580,16.2,21.8,-5.7
I,Headwear,CP,운동모,1395,51510865,142%,5%,1456,148107,101.7,80.7,21.0
I,Shoes,SH,신발,426,36878386,101%,4%,550,46783,85.1,61.9,23.2
I,Headwear,WM,방한모,579,36771438,36%,4%,623,14479,23.2,17.1,6.1
I,Shoes,RN,런닝화,276,26778051,119%,3%,358,27786,77.6,90.1,-12.5
I,Shoes,SX,스니커즈,134,10784767,33%,1%,151,23720,157.1,73.0,84.1
I,Acc_etc,ET,기타,88,7332020,102%,1%,88,9781,111.1,127.3,-16.2
I,Acc_etc,MF,머플러(스카프),82,5011676,146%,1%,75,1435,19.1,28.3,-9.2
I,Acc_etc,GL,장갑,61,3389830,13%,0%,62,6642,107.1,47.5,59.7
I,Acc_etc,SO,양말,207,2516714,29%,0%,212,93132,439.3,179.0,260.3
I,Bag,UB,보조가방,33,1574850,193%,0%,22,7139,324.5,613.0,-288.5
I,Bag,BG,가방,26,841611,64%,0%,16,3104,194.0,106.5,87.5
I,Bag,SG,슬링백,7,532200,18%,0%,9,3989,443.2,114.2,329.0
I,Headwear,WR,와이어캡,12,522212,60%,0%,22,2952,134.2,126.7,7.5
I,Headwear,HT,햇,3,177000,45%,0%,12,15138,1261.5,2504.2,-1242.7
I,Bag,HS,힙색,3,177000,55%,0%,2,1920,960.0,336.6,623.4
I,Acc_etc,GG,고글,0,0,,0%,0,7,,,
I,Acc_etc,PE,PET,0,0,0%,0%,0,4,,287.5,
I,Bag,BM,버킷백,0,0,,0%,0,1,,,
I,Acc_etc,ML,토시,0,0,,0%,0,884,,,
I,Headwear,SC,선캡,0,0,,0%,0,8095,,10636.0,
I,Shoes,SD,샌들,0,0,,0%,0,24217,,,
I,Shoes,CV,캔버스화,0,0,,0%,0,-8,,,
I,Shoes,MU,뮬,0,0,,0%,0,-2,,,
I,Shoes,LP,슬리퍼,0,0,,0%,0,645,,,
M,Headwear,CP,운동모,61378,2190066421,155%,39%,58151,1161189,20.0,18.6,1.4
M,Headwear,BN,비니,28853,1218549927,244%,22%,18168,127453,7.0,14.8,-7.7
M,Bag,OR,쇼퍼백,3310,550683336,806%,10%,1162,12013,10.3,57.9,-47.6
M,Shoes,SX,스니커즈,3483,494079263,75%,9%,4822,263870,54.7,48.1,6.7
M,Bag,BQ,숄더백,3178,366178302,155%,6%,2277,100768,44.3,39.9,4.3
M,Shoes,SH,신발,2688,297693010,85%,5%,3557,293413,82.5,80.6,1.8
M,Shoes,WB,방한화,1029,110725728,62%,2%,869,31077,35.8,23.1,12.6
M,Shoes,RN,런닝화,675,91827174,64%,2%,953,110826,116.3,42.8,73.5
M,Headwear,HT,햇,1239,81746862,70%,1%,1148,43850,38.2,59.6,-21.4
M,Bag,BM,버킷백,523,67236465,302%,1%,614,20770,33.8,112.3,-78.5
M,Headwear,WM,방한모,765,55864833,146%,1%,659,11552,17.5,46.8,-29.2
M,Acc_etc,MF,머플러(스카프),453,39917977,119%,1%,386,6409,16.6,37.3,-20.7
M,Bag,CR,크로스백,305,31692396,96%,1%,354,42100,118.9,114.3,4.6
M,Acc_etc,SO,양말,901,14252261,146%,0%,797,82928,104.1,131.2,-27.1
M,Bag,HS,힙색,133,12595831,22%,0%,330,13416,40.7,25.4,15.3
M,Acc_etc,ET,기타,417,9912045,187%,0%,329,16666,50.7,92.6,-41.9
M,Bag,BK,백팩,46,6195428,97%,0%,60,16068,267.8,197.3,70.5
M,Acc_etc,PO,파우치,117,3192850,27%,0%,136,2670,19.6,28.4,-8.8
M,Shoes,LP,슬리퍼,18,1020198,130%,0%,31,46858,1511.5,1773.7,-262.2
M,Shoes,MU,뮬,22,987800,8%,0%,37,47622,1287.1,305.4,981.6
M,Bag,BG,가방,7,954800,32%,0%,9,13753,1528.1,688.5,839.6
M,Acc_etc,GL,장갑,20,753778,,0%,21,1841,87.7,,
M,Acc_etc,HH,캐리어(하드케이스),3,747000,1494%,0%,3,865,288.3,90.0,198.3
M,Shoes,SD,샌들,7,293500,74%,0%,8,54164,6770.5,11532.0,-4761.5
M,Bag,BW,보스톤백,1,89500,,0%,1,739,739.0,,
M,Acc_etc,MK,마스크(패션용),0,0,,0%,0,8,,,
M,Shoes,CV,캔버스화,0,0,,0%,0,12,,,
M,Acc_etc,TW,타올,0,0,,0%,0,1,,,
M,Headwear,CB,여성 베레모,0,0,0%,0%,0,34,,22.7,
M,Acc_etc,ML,토시,0,0,,0%,0,897,,,
M,Shoes,SQ,아쿠아 슈즈,0,0,,0%,1,9226,9226.0,,
M,Headwear,SC,선캡,0,0,,0%,1,2301,2301.0,,
M,Headwear,MC,메시캡,-2,-108000,,0%,7,6316,902.3,,
ST,Shoes,SH,신발,655,33732924,309%,75%,315,9255,29.4,259.3,-229.9
ST,Headwear,CP,운동모,60,2760980,160%,6%,53,4212,79.5,51.0,28.4
ST,Bag,BW,보스톤백,14,2479500,250%,6%,10,617,61.7,85.3,-23.6
ST,Headwear,SC,선캡,26,1647380,99%,4%,19,2871,151.1,99.6,51.5
ST,Acc_etc,SO,양말,60,1162520,50%,3%,83,11524,138.8,45.9,93.0
ST,Bag,RB,라켓백,9,790700,49%,2%,8,953,119.1,97.3,21.9
ST,Bag,BK,백팩,6,763290,31%,2%,8,1556,194.5,101.6,92.9
ST,Bag,TG,토드백,10,720860,41%,2%,12,1549,129.1,159.2,-30.1
ST,Shoes,LP,슬리퍼,4,322110,,1%,1,589,589.0,,
ST,Headwear,BN,비니,4,193800,86%,0%,3,676,225.3,76.4,148.9
ST,Bag,CR,크로스백,2,134240,34%,0%,1,525,525.0,148.6,376.4
ST,Acc_etc,PR,보호대,6,119000,27%,0%,7,2345,335.0,157.5,177.5
ST,Acc_etc,AC,기타소품류,2,54250,19%,0%,2,1302,651.0,91.9,559.1
ST,Acc_etc,HB,헤드밴드,2,51740,42%,0%,3,857,285.7,111.0,174.7
ST,Headwear,HT,햇,1,41750,61%,0%,2,846,423.0,460.4,-37.4
ST,Acc_etc,AM,머플러,0,0,0%,0%,2,407,203.5,135.0,68.5
ST,Acc_etc,TW,타올,0,0,,0%,0,3008,,,
ST,Bag,SG,슬링백,0,0,0%,0%,0,131,,177.0,
ST,Acc_etc,RK,라켓,0,0,0%,0%,0,513,,49.0,
ST,Acc_etc,LL,볼,0,0,,0%,0,34,,,
V,Shoes,WB,방한화,234,49015280,85%,56%,151,5161,34.2,21.2,13.0
V,Bag,TG,토드백,24,7857000,141%,9%,33,3067,92.9,60.3,32.6
V,Headwear,HT,햇,27,4133400,97%,5%,34,1463,43.0,89.7,-46.7
V,Headwear,BN,비니,32,3482680,106%,4%,20,1009,50.5,53.7,-3.2
V,Bag,BK,백팩,11,3335570,54%,4%,16,465,29.1,29.9,-0.9
V,Acc_etc,MF,머플러(스카프),11,2906000,,3%,6,753,125.5,,
V,Acc_etc,DC,다운 스카프,15,2886000,1990%,3%,9,397,44.1,119.0,-74.9
V,Acc_etc,ML,토시,21,2670000,1081%,3%,14,236,16.9,29.3,-12.5
V,Bag,CR,크로스백,13,2401500,182%,3%,19,1187,62.5,103.4,-40.9
V,Shoes,SH,신발,19,2190180,109%,3%,20,1063,53.2,399.9,-346.8
V,Acc_etc,AG,장갑,18,2091580,280%,2%,13,418,32.2,115.0,-82.8
V,Headwear,CP,운동모,13,1559960,86%,2%,22,696,31.6,90.8,-59.1
V,Headwear,WM,방한모,6,986000,149%,1%,4,198,49.5,81.0,-31.5
V,Bag,BG,가방,2,665790,,1%,2,472,236.0,,
V,Bag,HS,힙색,5,616000,,1%,4,114,28.5,,
V,Acc_etc,SO,양말,28,510400,85%,1%,28,1118,39.9,147.1,-107.2
V,Bag,TA,벨트백,1,290000,167%,0%,1,33,33.0,57.5,-24.5
V,Headwear,SC,선캡,1,78000,36%,0%,0,200,,114.0,
V,Acc_etc,GL,장갑,0,0,,0%,0,21,,57.0,
V,Shoes,LP,슬리퍼,0,0,,0%,0,405,,,
V,Acc_etc,PO,파우치,0,0,,0%,0,10,,,
