브랜드,대분류,중분류,아이템코드,아이템명(한글),발주(TAG),전년비(발주),주간판매매출(TAG),전년비(주간),누적판매매출(TAG),전년비(누적),누적판매율당년,누적판매율차이,전년마감판매율
I,의류,Bottom,DP,진바지,1532405000,1.0958,20420000,1.5270,266205000,1.3015,0.4069,-0.0676,0.5954
I,의류,Bottom,LG,레깅스,69125000,0.2227,3476000,0.4925,15721000,0.3916,0.2488,0.0931,0.2714
I,의류,Bottom,PT,팬츠,2740879000,0.5953,47969000,1.0141,515360000,0.8599,0.3632,0.0849,0.3812
I,의류,Bottom,SK,스커트,573392000,0.4350,356000,0.1240,46903000,0.3986,0.1891,0.0371,0.1619
I,의류,Bottom,SM,우븐반바지,109710000,,69000,,12144000,,0.1107,,
I,의류,Bottom,TP,트레이닝(하의),0,0.0000,0,,0,,,,
I,의류,Bottom,WP,우븐팬츠,3695398000,1.4957,62118000,1.9197,631618000,1.4624,0.3181,0.0736,0.3512
I,의류,Inner,HD,후드티,2446992000,0.8543,19251000,0.7938,474063000,1.1761,0.3537,-0.0069,0.4337
I,의류,Inner,KP,니트풀오버,195391000,1.1336,0,0.0000,0,0.0000,,,0.3716
I,의류,Inner,MT,맨투맨,6266412000,0.7833,96390000,1.0525,1153609000,0.9120,0.2709,-0.0234,0.4078
I,의류,Inner,OP,원피스,115622000,0.2517,0,0.0000,0,0.0000,,,0.2226
I,의류,Inner,PQ,폴로 티셔츠,204700000,1.0122,89000,0.3755,102795000,1.7679,0.5022,-0.1061,0.6215
I,의류,Inner,TR,트레이닝(상의),212007000,1.2920,0,,0,,,,
I,의류,Inner,TS,반팔카라티셔츠,1328679000,1.5702,2504000,1.8119,354072000,2.4080,0.5499,0.2365,0.3335
I,의류,Inner,WS,우븐셔츠,335546000,0.5082,139000,0.2914,68388000,0.8792,0.3623,-0.0484,0.4157
I,의류,Outer,DJ,다운점퍼,31519737000,1.1826,784509000,0.8948,3630846000,1.0158,0.2015,-0.0496,0.5247
I,의류,Outer,DK,진자켓,765808000,0.7216,308000,,155473000,,0.3803,,
