브랜드,대분류,중분류,아이템코드,아이템명(한글),발주(TAG),전년비(발주),주간판매매출(TAG),전년비(주간),누적판매매출(TAG),전년비(누적),누적판매율당년,누적판매율차이,전년마감판매율,누적판매TAG가,누적입고TAG가,전년누적판매TAG가,전년누적입고TAG가,전년마감누적판매TAG가,전년마감누적입고TAG가
I,의류,Bottom,DP,진바지,1532405000,1.0958,11796000,1.4903,278001000,1.3085,0.4249,-0.0680,0.5954,278001000,654217000,212460000,431049000,256551000,430920000
I,의류,Bottom,LG,레깅스,69125000,0.2227,948000,0.1505,16669000,0.3589,0.2638,0.0837,0.2714,16669000,63200000,46447000,257969000,70017041,257969000
I,의류,Bottom,PT,팬츠,2740879000,0.5953,32161000,0.7487,547521000,0.8525,0.3859,0.0876,0.3812,547521000,1418756000,642265352,2153281000,820841352,2153281000
I,의류,Bottom,SK,스커트,573392000,0.4350,712000,0.6605,47615000,0.4010,0.1920,0.0386,0.1619,47615000,248043000,118739000,774354000,125332424,774354000
I,의류,Bottom,SM,우븐반바지,109710000,,0,,12144000,,0.1107,,,12144000,109710000,0,0,0,0
I,의류,Bottom,TP,트레이닝(하의),0,0.0000,0,,0,,,,,0,0,0,0,0,0
I,의류,Bottom,WP,우븐팬츠,3695398000,1.4957,41868000,0.9925,673486000,1.4206,0.3392,0.0708,0.3512,673486000,1985766000,474084000,1766745000,620426000,1766745000
I,의류,Inner,HD,후드티,2446992000,0.8543,18499000,0.9551,492562000,1.1660,0.3675,0.0169,0.4337,492562000,1340379000,422454089,1205181000,527973089,1217259000
I,의류,Inner,KP,니트풀오버,195391000,1.1336,0,0.0000,0,0.0000,,,0.3716,0,0,41283000,165688000,61577000,165688000
I,의류,Inner,MT,맨투맨,6266412000,0.7833,84194000,0.9402,1237803000,0.9138,0.2907,-0.0244,0.4078,1237803000,4257656000,1354511764,4297886000,1752870878,4297886000
I,의류,Inner,OP,원피스,115622000,0.2517,0,0.0000,0,0.0000,,,0.2226,0,0,24669000,120989000,26927000,120989000
I,의류,Inner,PQ,폴로 티셔츠,204700000,1.0122,356000,2.2532,103151000,1.7693,0.5039,-0.1060,0.6215,103151000,204700000,58302000,95590000,59408000,95590000
I,의류,Inner,TR,트레이닝(상의),212007000,1.2920,0,,0,,,,,0,0,0,0,0,0
I,의류,Inner,TS,반팔카라티셔츠,1328679000,1.5702,1667000,1.3834,355739000,2.3997,0.5525,0.2365,0.3335,355739000,643847000,148246000,469079000,156443000,469079000
I,의류,Inner,WS,우븐셔츠,335546000,0.5082,139000,0.4371,68527000,0.8774,0.3630,-0.0493,0.4157,68527000,188762000,78104843,189401000,78740843,189401000
