브랜드,유통채널,채널명,아이템_중분류,아이템_소분류,아이템코드,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익,직접비 합계,직접이익,지급수수료_중간관리수수료,지급수수료_중간관리수수료(직영),지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_물류운송비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(변동),지급임차료_매장(고정),지급임차료_관리비,감가상각비_임차시설물
I,1.0,백화점,Acc_etc,기타,ET,8313911,8240867,3428695,4894960,31908,4863052,915086,3947966,408311.0,0.0,0.0,0.0,48445.0,11710.0,61229.0,0.0,0.0,293698.0,0.0,0.0,0.0,91693.0
I,1.0,백화점,Acc_etc,머플러(스카프),MF,7422433,6929716,2883189,3993776,18975,3974801,762150,3212651,343349.0,0.0,0.0,0.0,40737.0,9847.0,51485.0,0.0,0.0,239627.0,0.0,0.0,0.0,77105.0
I,1.0,백화점,Acc_etc,양말,SO,6072979,5863307,2439461,3406774,18594,3388180,646515,2741665,290507.0,0.0,0.0,0.0,34468.0,8331.0,43562.0,0.0,0.0,204406.0,0.0,0.0,0.0,65241.0
I,1.0,백화점,Acc_etc,장갑,GL,6572469,6449257,2683284,3727761,20399,3707362,709961,2997401,319543.0,0.0,0.0,0.0,37913.0,9164.0,47914.0,0.0,0.0,223666.0,0.0,0.0,0.0,71761.0
I,1.0,백화점,Bag,가방,BG,1009468,980408,407909,567406,0,567406,107969,459437,48576.0,0.0,0.0,0.0,5763.0,1393.0,7286.0,0.0,0.0,34044.0,0.0,0.0,0.0,10907.0
I,1.0,백화점,Bag,백팩,BK,87220685,73522811,30589992,42553372,178003,42375369,8097041,34278328,3642854.0,0.0,0.0,0.0,432213.0,104470.0,546234.0,0.0,0.0,2553202.0,0.0,0.0,0.0,818068.0
I,1.0,백화점,Bag,보조가방,UB,2569556,2478201,1031082,1434752,361,1434391,272940,1161451,122788.0,0.0,0.0,0.0,14568.0,3521.0,18407.0,0.0,0.0,86085.0,0.0,0.0,0.0,27571.0
I,1.0,백화점,Bag,슬링백,SG,863074,845812,351910,491795,0,491795,93285,398510,41908.0,0.0,0.0,0.0,4972.0,1202.0,6282.0,0.0,0.0,29508.0,0.0,0.0,0.0,9413.0
I,1.0,백화점,Bag,크로스백,CR,15913328,15455834,6430545,9008659,29821,8978838,1705931,7272907,765791.0,0.0,0.0,0.0,90859.0,21961.0,114835.0,0.0,0.0,540520.0,0.0,0.0,0.0,171965.0
I,1.0,백화점,Bag,힙색,HS,128915,128915,53636,73833,0,73833,14150,59683,6387.0,0.0,0.0,0.0,758.0,183.0,958.0,0.0,0.0,4430.0,0.0,0.0,0.0,1434.0
I,1.0,백화점,Headwear,방한모,WM,79254188,76881347,31987202,44542953,225004,44317949,8469634,35848315,3809243.0,0.0,0.0,0.0,451955.0,109242.0,571186.0,0.0,0.0,2672577.0,0.0,0.0,0.0,855431.0
I,1.0,백화점,Headwear,비니,BN,83268026,80522688,33502290,46745958,196071,46549887,8876390,37673497,3989670.0,0.0,0.0,0.0,473362.0,114416.0,598235.0,0.0,0.0,2804757.0,0.0,0.0,0.0,895950.0
I,1.0,백화점,Headwear,와이어캡,WR,2141296,2058157,856323,1240984,5594,1235390,229646,1005744,101976.0,0.0,0.0,0.0,12099.0,2924.0,15289.0,0.0,0.0,74459.0,0.0,0.0,0.0,22899.0
I,1.0,백화점,Headwear,운동모,CP,106887837,104931063,43657595,61047258,310180,60737078,11574917,49162161,5199029.0,0.0,0.0,0.0,616848.0,149098.0,779578.0,0.0,0.0,3662835.0,0.0,0.0,0.0,1167529.0
I,1.0,백화점,Headwear,햇,HT,2099782,2048216,852175,1183136,5639,1177497,225426,952071,101483.0,0.0,0.0,0.0,12041.0,2910.0,15217.0,0.0,0.0,70988.0,0.0,0.0,0.0,22787.0
I,1.0,백화점,Shoes,런닝화,RN,90565914,88755994,36927868,51645789,300802,51344987,9791209,41553778,4397610.0,0.0,0.0,0.0,521762.0,126115.0,659411.0,0.0,0.0,3098747.0,0.0,0.0,0.0,987564.0
I,1.0,백화점,Shoes,방한화,WB,342050255,317853277,132245883,184592624,1011747,183580877,35042532,148538345,15748696.0,0.0,0.0,0.0,1868533.0,451642.0,2361471.0,0.0,0.0,11075557.0,0.0,0.0,0.0,3536633.0
I,1.0,백화점,Shoes,샌들,SD,624909,440277,183186,252164,0,252164,48329,203835,21815.0,0.0,0.0,0.0,2588.0,626.0,3271.0,0.0,0.0,15130.0,0.0,0.0,0.0,4899.0
I,1.0,백화점,Shoes,스니커즈,SX,26641661,26132010,10872492,15172665,73486,15099179,2880783,12218396,1294767.0,0.0,0.0,0.0,153620.0,37131.0,194146.0,0.0,0.0,910360.0,0.0,0.0,0.0,290759.0
I,1.0,백화점,Shoes,신발,SH,130315368,127811908,53177447,74005899,408155,73597744,14077732,59520012,6332715.0,0.0,0.0,0.0,751356.0,181610.0,949581.0,0.0,0.0,4440354.0,0.0,0.0,0.0,1422116.0
I,1.0,백화점,과시즌의류,다운점퍼,DJ,138967953,68815127,28631396,39408162,0,39408162,7553370,31854792,3409612.0,0.0,0.0,0.0,404540.0,97781.0,511262.0,0.0,0.0,2364490.0,0.0,0.0,0.0,765685.0
I,1.0,백화점,과시즌의류,맨투맨,MT,6924253,4345958,1808174,2505072,0,2505072,477999,2027073,215329.0,0.0,0.0,0.0,25548.0,6175.0,32288.0,0.0,0.0,150304.0,0.0,0.0,0.0,48355.0
I,1.0,백화점,과시즌의류,맨투맨셋트,S2,14300801,10712578,4457074,6156649,0,6156649,1177156,4979493,530777.0,0.0,0.0,0.0,62975.0,15222.0,79588.0,0.0,0.0,369399.0,0.0,0.0,0.0,119195.0
I,1.0,백화점,과시즌의류,반바지,SP,751639,751639,312725,437314,0,437314,82914,354400,37241.0,0.0,0.0,0.0,4419.0,1068.0,5584.0,0.0,0.0,26239.0,0.0,0.0,0.0,8363.0
I,1.0,백화점,과시즌의류,반팔카라티셔츠,TS,20445011,18576184,7728803,10793194,0,10793194,2048287,8744907,920396.0,0.0,0.0,0.0,109202.0,26395.0,138012.0,0.0,0.0,647592.0,0.0,0.0,0.0,206690.0
I,1.0,백화점,과시즌의류,반팔티 & 스웨트팬츠,S1,8962855,7479701,3112082,4339962,0,4339962,824402,3515560,370607.0,0.0,0.0,0.0,43971.0,10628.0,55571.0,0.0,0.0,260398.0,0.0,0.0,0.0,83227.0
I,1.0,백화점,과시즌의류,방풍자켓,WJ,5866715,5788776,2408490,3368023,0,3368023,638573,2729450,286819.0,0.0,0.0,0.0,34030.0,8225.0,43008.0,0.0,0.0,202081.0,0.0,0.0,0.0,64410.0
I,1.0,백화점,과시즌의류,베이비,BV,2062637,2038820,848268,1171204,8222,1162982,224004,938978,101017.0,0.0,0.0,0.0,11985.0,2897.0,15151.0,0.0,0.0,70272.0,0.0,0.0,0.0,22682.0
I,1.0,백화점,과시즌의류,스윔웨어,SW,1018208,1018208,423637,592412,0,592412,112321,480091,50449.0,0.0,0.0,0.0,5986.0,1447.0,7565.0,0.0,0.0,35545.0,0.0,0.0,0.0,11329.0
I,1.0,백화점,과시즌의류,스커트,SK,1874727,1874727,779997,1089369,0,1089369,206722,882647,92887.0,0.0,0.0,0.0,11021.0,2664.0,13928.0,0.0,0.0,65362.0,0.0,0.0,0.0,20860.0
I,1.0,백화점,과시즌의류,우븐반바지,SM,5975965,5415513,2253180,3150830,0,3150830,597395,2553435,268323.0,0.0,0.0,0.0,31836.0,7695.0,40234.0,0.0,0.0,189050.0,0.0,0.0,0.0,60257.0
I,1.0,백화점,과시즌의류,우븐팬츠,WP,517844,517844,215455,301291,0,301291,57124,244167,25658.0,0.0,0.0,0.0,3044.0,736.0,3847.0,0.0,0.0,18077.0,0.0,0.0,0.0,5762.0
I,1.0,백화점,과시즌의류,원피스,OP,1123088,1123088,467272,653430,0,653430,123890,529540,55646.0,0.0,0.0,0.0,6602.0,1596.0,8344.0,0.0,0.0,39206.0,0.0,0.0,0.0,12496.0
I,1.0,백화점,과시즌의류,점퍼,JP,1260743,1021508,425000,592143,0,592143,112553,479590,50612.0,0.0,0.0,0.0,6005.0,1451.0,7590.0,0.0,0.0,35529.0,0.0,0.0,0.0,11366.0
I,1.0,백화점,과시즌의류,팬츠,PT,819374,819374,340912,476729,0,476729,90388,386341,40598.0,0.0,0.0,0.0,4817.0,1164.0,6088.0,0.0,0.0,28604.0,0.0,0.0,0.0,9117.0
I,1.0,백화점,과시즌의류,후드티,HD,194465,194465,80909,113143,0,113143,21452,91691,9635.0,0.0,0.0,0.0,1143.0,276.0,1445.0,0.0,0.0,6789.0,0.0,0.0,0.0,2164.0
I,1.0,백화점,당시즌의류,니트가디건,KC,2886380,2774858,1154510,1591007,10466,1580541,304691,1275850,137487.0,0.0,0.0,0.0,16312.0,3943.0,20615.0,0.0,0.0,95460.0,0.0,0.0,0.0,30874.0
I,1.0,백화점,당시즌의류,다운베스트,DV,103088128,99023664,41199827,57289261,385431,56903830,10904016,45999814,4906342.0,0.0,0.0,0.0,582122.0,140704.0,735692.0,0.0,0.0,3437356.0,0.0,0.0,0.0,1101800.0
