브랜드,유통채널,채널명,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익,직접비 합계,직접이익,지급수수료_중간관리수수료,지급수수료_중간관리수수료(직영),지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_물류운송비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(변동),지급임차료_매장(고정),지급임차료_관리비,감가상각비_임차시설물
I,1.0,백화점,3306080205.0,3120399862.0,2836725467.0,1807378738.0,760607915.0,1046770823,573014120,473756703,337815645.0,0.0,0.0,0.0,40080747.0,9687888.0,37957116.0,0.0,0.0,108442724.0,0.0,0.0,0.0,39030000.0
I,2.0,면세점,675567171.0,674982451.0,613619429.0,368171242.0,151168657.0,217002585,120051113,96951472,0.0,0.0,0.0,75345288.0,8670131.0,2095760.0,8210659.0,0.0,0.0,22090275.0,0.0,1275000.0,0.0,2364000.0
I,3.0,직영점(가두),156901735.0,156604150.0,142367335.0,142367335.0,36743608.0,105623727,34748677,70875050,0.0,0.0,11448088.0,0.0,2011435.0,485809.0,1904707.0,0.0,0.0,5552326.0,12267312.0,0.0,0.0,1079000.0
I,4.0,자사몰,582397020.0,500779270.0,455263411.0,455263411.0,136131929.0,319131482,31834452,287297030,0.0,0.0,0.0,0.0,6432105.0,1555084.0,6091990.0,0.0,0.0,17755273.0,0.0,0.0,0.0,0.0
I,5.0,제휴몰,1811126290.0,1714192940.0,1558356544.0,1558356544.0,405610684.0,1152745860,566832382,585913478,0.0,0.0,0.0,0.0,22017936.0,5322046.0,20851633.0,0.0,457864862.0,60775905.0,0.0,0.0,0.0,0.0
I,6.0,대리점,1166898443.0,1114563603.0,1013239589.0,652580202.0,272525937.0,380054265,70489137,309565128,0.0,0.0,0.0,0.0,14316461.0,3460342.0,13557522.0,0.0,0.0,39154812.0,0.0,0.0,0.0,0.0
I,8.0,사입,8540704137.0,2124339595.0,1931217609.0,1931217609.0,1339882013.0,591335596,175594911,415740685,0.0,0.0,0.0,0.0,27286263.0,6594666.0,25840925.0,0.0,0.0,115873057.0,0.0,0.0,0.0,0.0
I,11.0,직영몰,354914546.0,324082727.0,294620568.0,294620568.0,81035449.0,213585119,127269509,86315610,0.0,26814578.0,0.0,0.0,4162390.0,1006319.0,3942200.0,3495111.0,0.0,11490202.0,70435709.0,0.0,0.0,5923000.0
I,99.0,기타,11062233.0,4419355.0,4017582.0,4017582.0,2544004.0,1473578,311539,1162039,0.0,0.0,0.0,0.0,56765.0,13719.0,0.0,0.0,0.0,241055.0,0.0,0.0,0.0,0.0
M,1.0,RF,955927615.0,826773411.0,751611224.0,478501146.0,171424347.0,307076799,139788161,167288638,70749504.0,0.0,0.0,0.0,11366507.0,4419407.0,11504947.0,0.0,0.0,33495080.0,0.0,250660.0,0.0,8002056.0
M,1.0,백화점,8143945845.0,7666546048.0,6969582257.0,4548793488.0,1412108639.0,3136684849,1304055976,1832628873,656049922.0,0.0,0.0,0.0,105399980.0,40980524.0,106683722.0,0.0,0.0,318415544.0,0.0,2324340.0,0.0,74201944.0
M,2.0,면세점,10455561058.0,10395253047.0,9450228647.0,5859149875.0,1722859637.0,4136290238,1279951915,2856338323,0.0,0.0,0.0,509332000.0,142914109.0,55566540.0,144655775.0,0.0,0.0,410140491.0,0.0,6525000.0,0.0,10818000.0
