브랜드,유통채널,채널명,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익,직접비 합계,직접이익,지급수수료_중간관리수수료,지급수수료_중간관리수수료(직영),지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_물류운송비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(변동),지급임차료_매장(고정),지급임차료_관리비,감가상각비_임차시설물
I,1.0,백화점,2477356100,2338219630,2125652950,1354329134,569948864.0,784380270.0,449075647,335304623.0,253136502.0,0.0,0.0,0.0,30033856.0,7259426.0,37957116.0,0.0,0.0,81658747.0,0.0,0.0,0.0,39030000.0
I,2.0,면세점,506225000,505786850,459805492,275882984,113275714.0,162607270.0,92928621,69678649.0,0.0,0.0,0.0,56458742.0,6496816.0,1570423.0,8210659.0,0.0,0.0,16552981.0,0.0,1275000.0,0.0,2364000.0
I,3.0,직영점(가두),117571700,117348710,106680590,106680590,27533210.0,79147380.0,26786256,52361124.0,0.0,0.0,8578432.0,0.0,1507236.0,364030.0,1904707.0,0.0,0.0,4160545.0,9192306.0,0.0,0.0,1079000.0
I,4.0,자사몰,436409500,375250600,341144049,341144049,102008192.0,239135857.0,25382796,213753061.0,0.0,0.0,0.0,0.0,4819791.0,1165277.0,6091990.0,0.0,0.0,13305738.0,0.0,0.0,0.0,0.0
I,5.0,제휴몰,1357137300,1284501910,1167728504,1167728504,303937606.0,863790898.0,429995997,433794901.0,0.0,0.0,0.0,0.0,16498772.0,3987990.0,20851633.0,0.0,343093393.0,45564209.0,0.0,0.0,0.0,0.0
I,6.0,대리점,874395900,835179660,759254199,489000098,204212769.0,284787329.0,56467836,228319493.0,0.0,0.0,0.0,0.0,10727785.0,2592892.0,13557522.0,0.0,0.0,29589637.0,0.0,0.0,0.0,0.0
I,8.0,사입,6399834300,1591838470,1447125728,1447125728,1004018255.0,443107473.0,138174444,304933029.0,0.0,0.0,0.0,0.0,20446503.0,4941603.0,25840925.0,0.0,0.0,86945413.0,0.0,0.0,0.0,0.0
I,11.0,직영몰,265949300,242845990,220769012,220769012,60722563.0,160046449.0,112987958,47058491.0,0.0,26814578.0,0.0,0.0,3119018.0,754071.0,3942200.0,2619008.0,0.0,8640624.0,52779826.0,0.0,8395633.0,5923000.0
I,99.0,기타,8289300,3311570,3010508,3010508,1906307.0,1104201.0,233443,870758.0,0.0,0.0,0.0,0.0,42533.0,10278.0,0.0,0.0,0.0,180632.0,0.0,0.0,0.0,0.0
M,1.0,RF,770796300,666654960,606049184,385831424,138225165.0,247606259.0,116544952,131061307.0,57047690.0,0.0,0.0,0.0,9165188.0,3563513.0,11504947.0,0.0,0.0,27010898.0,0.0,250660.0,0.0,8002056.0
M,1.0,백화점,6566735000,6181791630,5619806493,3667843816,1138630266.0,2529213550.0,1087739806,1441473744.0,528994918.0,0.0,0.0,0.0,84987535.0,33043977.0,106683722.0,0.0,0.0,257503370.0,0.0,2324340.0,0.0,74201944.0
M,2.0,면세점,8430667400,8382039040,7620034366,4724427849,1389199154.0,3335228695.0,1063441658,2271787037.0,0.0,0.0,0.0,410691360.0,115236405.0,44805155.0,144655775.0,0.0,0.0,330709963.0,0.0,6525000.0,0.0,10818000.0
M,3.0,RF,381147400,324683870,295166998,295166998,64160295.0,231006703.0,158476374,72530329.0,0.0,0.0,20426866.0,0.0,4463795.0,1735582.0,5603348.0,6783265.0,0.0,13577679.0,2098116.0,87856698.0,6058088.0,9872937.0
M,3.0,직영점(가두),1835781100,1808978190,1644521937,1644521937,305787910.0,1338734027.0,882960945,455773082.0,0.0,0.0,113808190.0,0.0,24870050.0,9669796.0,31219032.0,37792928.0,0.0,75658334.0,11689638.0,489493302.0,33752612.0,55007063.0
M,4.0,RF,308261000,194204370,176549441,176549441,53437925.0,123111516.0,21290095,101821421.0,0.0,0.0,0.0,0.0,2669907.0,1038111.0,3351550.0,6109252.0,0.0,8121275.0,0.0,0.0,0.0,0.0
M,4.0,자사몰,935336400,837670056,762224016,762224016,159297128.0,602926888.0,91924218,511002670.0,0.0,0.0,0.0,0.0,11526912.0,4481879.0,14469784.0,26375717.0,0.0,35069926.0,0.0,0.0,0.0,0.0
M,5.0,제휴몰,1927163700,1877777950,1707071045,1707071045,330663647.0,1376407398.0,569083488,807323910.0,0.0,0.0,0.0,0.0,25815870.0,10037700.0,32406574.0,0.0,422280603.0,78542741.0,0.0,0.0,0.0,0.0
M,6.0,RF,500618200,435834850,396213242,248018603,84847372.0,163171231.0,33204611,129966620.0,0.0,0.0,0.0,0.0,5991820.0,2329705.0,7521566.0,0.0,0.0,17361520.0,0.0,0.0,0.0,0.0
M,6.0,대리점,4906590500,4644205030,4222002849,2688359534,862177104.0,1826182430.0,357871962,1468310468.0,0.0,0.0,0.0,0.0,63848147.0,24824984.0,80148844.0,0.0,0.0,189049987.0,0.0,0.0,0.0,0.0
M,7.0,아울렛,0,0,0,0,0.0,0.0,11799000,-11799000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11799000.0
M,8.0,사입,9403898000,1802660610,1638782466,1638782466,961555161.0,677227305.0,186080413,491146892.0,0.0,0.0,0.0,0.0,24782735.0,9635537.0,31109523.0,0.0,0.0,120552618.0,0.0,0.0,0.0,0.0
M,11.0,직영몰,523266300,495571620,450519492,450519492,88735156.0,361784336.0,247190664,114593672.0,0.0,54886871.0,0.0,0.0,6813350.0,2648993.0,8552483.0,3692774.0,0.0,20745482.0,101887957.0,2907000.0,24513754.0,20542000.0
M,99.0,기타,44277400,22734720,20667886,20667886,7989759.0,12678127.0,1880814,10797313.0,0.0,0.0,0.0,0.0,312550.0,121513.0,0.0,0.0,0.0,1446751.0,0.0,0.0,0.0,0.0
ST,1.0,백화점,9778000,8367510,7606828,5057412,2259550.0,2797862.0,11840163,-9042301.0,1901709.0,0.0,0.0,0.0,326898.0,459669.0,247129.0,0.0,0.0,276758.0,0.0,0.0,0.0,8628000.0
ST,2.0,면세점,76775500,57613310,52375783,29854169,14804587.0,15049582.0,18961079,-3911497.0,0.0,0.0,0.0,7009978.0,2250758.0,3164546.0,1700816.0,0.0,0.0,1886981.0,0.0,0.0,0.0,2948000.0
ST,3.0,직영점(가두),75798300,66582310,60529166,60529166,17465100.0,43064066.0,2179050,40885016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2179050.0,0.0,0.0,0.0,0.0
ST,4.0,자사몰,166769400,86390380,78536733,78536733,25107709.0,53429024.0,15940917,37488107.0,0.0,0.0,0.0,0.0,3375222.0,4745229.0,2550433.0,2434531.0,0.0,2835502.0,0.0,0.0,0.0,0.0
ST,5.0,제휴몰,493143000,232667070,211515118,211515118,58833140.0,152681978.0,103601489,49080489.0,0.0,0.0,0.0,0.0,9089691.0,12779884.0,6868532.0,0.0,67217943.0,7645439.0,0.0,0.0,0.0,0.0
ST,7.0,아울렛,237966400,106259670,96599504,96599504,31167414.0,65432090.0,53583650,11848440.0,0.0,21820751.0,0.0,0.0,4151470.0,5836907.0,3137105.0,0.0,0.0,3492123.0,11629675.0,0.0,1317619.0,2198000.0
ST,11.0,직영몰,130172600,84280680,76618818,76618818,24812809.0,51806009.0,71696992,-19890983.0,0.0,12661228.0,0.0,0.0,3292868.0,4629507.0,2487870.0,886544.0,0.0,3080357.0,24026805.0,3635000.0,3672813.0,13324000.0
ST,99.0,기타,972000,413400,375817,375817,225840.0,149977.0,13529,136448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13529.0,0.0,0.0,0.0,0.0
V,1.0,백화점,2726027000,2186473450,1987702911,1471843017,422103998.0,1049739019.0,286206782,763532237.0,166937228.0,0.0,0.0,0.0,10028973.0,22321230.0,19220276.0,0.0,0.0,49810075.0,0.0,0.0,0.0,17889000.0
V,3.0,직영점(가두),56470000,55473100,50430052,50430052,9595826.0,40834226.0,13165402,27668824.0,0.0,0.0,0.0,0.0,253785.0,565821.0,488160.0,0.0,0.0,1263934.0,10589702.0,0.0,0.0,4000.0
V,4.0,자사몰,393537000,318542550,289584163,289584163,62305239.0,227278924.0,22287250,204991674.0,0.0,0.0,0.0,0.0,1461047.0,3251967.0,2800344.0,7528929.0,0.0,7244963.0,0.0,0.0,0.0,0.0
V,5.0,제휴몰,1413130000,984063210,894602875,894602875,198401840.0,696201035.0,232784365,463416670.0,0.0,0.0,0.0,0.0,4513569.0,10046453.0,8650749.0,187071239.0,0.0,22502355.0,0.0,0.0,0.0,0.0
V,7.0,아울렛,1813909000,834366930,758514925,758514925,245872937.0,512641988.0,196628052,316013936.0,0.0,82160816.0,0.0,0.0,3826918.0,8517768.0,7334543.0,775241.0,0.0,0.0,81934158.0,0.0,7918608.0,4160000.0
V,11.0,직영몰,233008000,205220100,186563746,186563746,36539058.0,150024688.0,80950713,69073975.0,0.0,18452252.0,0.0,0.0,941082.0,2094717.0,1803743.0,3385404.0,0.0,4664093.0,38150489.0,0.0,4242933.0,7216000.0
V,99.0,기타,1750000,375420,341299,341299,297348.0,43951.0,8532,35419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8532.0,0.0,0.0,0.0,0.0
W,4.0,자사몰,317838000,75203629,68375096,68375096,43444256.0,24930840.0,21225490,3705350.0,0.0,0.0,0.0,0.0,6192261.0,7623556.0,3234892.0,1644904.0,0.0,2529877.0,0.0,0.0,0.0,0.0
W,5.0,제휴몰,379476000,98764000,89785676,89785676,56093297.0,33692379.0,51370163,-17677784.0,0.0,0.0,0.0,0.0,8131700.0,10010886.0,4247594.0,0.0,25562053.0,3417930.0,0.0,0.0,0.0,0.0
W,6.0,대리점,-831000,-63000,-57281,-34945,-190875.0,155930.0,19828,136102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19828.0,0.0,0.0,0.0,0.0
W,99.0,기타,89000,30640,27851,27851,23210.0,4641.0,1030,3611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.0,0.0,0.0,0.0,0.0
X,1.0,백화점,16254395000,12561404120,11419456425,7732537213,3489284962.0,4243252251.0,1636032849,2607219402.0,1057902622.0,0.0,0.0,0.0,112609288.0,16384028.0,109352602.0,0.0,0.0,240213309.0,0.0,770000.0,0.0,98801000.0
X,2.0,면세점,2272557000,2089472500,1899519350,1139711423,656495194.0,483216229.0,167189043,316027186.0,0.0,0.0,0.0,83890456.0,18731661.0,2725400.0,18189305.0,0.0,0.0,39891221.0,0.0,0.0,0.0,3761000.0
X,3.0,직영점(가두),516556000,467244450,424766790,424766790,136437671.0,288329119.0,293668630,-5339511.0,0.0,39033698.0,45766018.0,0.0,4189029.0,609648.0,4067406.0,8071689.0,0.0,8921422.0,22798720.0,160000000.0,0.0,211000.0
X,4.0,자사몰,2276179000,2013646632,1830690882,1830690882,538247088.0,1292443794.0,129649381,1162794413.0,0.0,0.0,0.0,0.0,18052801.0,2626759.0,17530534.0,52992059.0,0.0,38447228.0,0.0,0.0,0.0,0.0
X,5.0,제휴몰,6851777000,5346392050,4860354931,4860354931,1425097682.0,3435257249.0,1367055212,2068202037.0,0.0,0.0,0.0,0.0,47928934.0,6973322.0,46542762.0,0.0,1163524856.0,102085338.0,0.0,0.0,0.0,0.0
X,6.0,대리점,16984005000,14759855160,13418042754,8919128069,3883449502.0,5035678567.0,562156210,4473522357.0,0.0,0.0,0.0,0.0,132317394.0,19251563.0,128490997.0,0.0,0.0,282096256.0,0.0,0.0,0.0,0.0
X,7.0,아울렛,16697012000,11372190240,10338350266,10338350266,3133953099.0,7204397167.0,3328915353,3875481814.0,0.0,660316165.0,0.0,0.0,101948362.0,14832893.0,98999866.0,72368319.0,0.0,217140438.0,1967890605.0,0.0,103783705.0,91635000.0
X,8.0,사입,7271276000,945197350,859270316,859270316,727108670.0,132161646.0,95277501,36884145.0,0.0,0.0,0.0,0.0,8473798.0,1233144.0,8228617.0,0.0,0.0,77341942.0,0.0,0.0,0.0,0.0
X,11.0,직영몰,1227925000,1130238630,1027489466,1027489466,287268748.0,740220718.0,374807138,365413580.0,0.0,80406872.0,0.0,0.0,10132152.0,1473923.0,9839104.0,18090899.0,0.0,21603813.0,194984094.0,0.0,17135281.0,21141000.0
X,12.0,아울렛,1206769000,422728370,384298439,384298439,137818131.0,246480308.0,42049761,204430547.0,0.0,17559477.0,0.0,0.0,3789691.0,551400.0,3679863.0,8070063.0,0.0,8070267.0,0.0,0.0,0.0,329000.0
X,99.0,기타,61634000,20711960,18829008,18829008,13444402.0,5384606.0,608122,4776484.0,0.0,0.0,0.0,0.0,185682.0,27023.0,0.0,0.0,0.0,395417.0,0.0,0.0,0.0,0.0
I,0.0,미지정,,,,,135271000.0,-135271000.0,,-135271000.0,,,,,,,,,,,,,,
M,0.0,미지정,,,,,466254000.0,-466254000.0,,-466254000.0,,,,,,,,,,,,,,
ST,0.0,미지정,,,,,125577000.0,-125577000.0,,-125577000.0,,,,,,,,,,,,,,
V,0.0,미지정,,,,,133381000.0,-133381000.0,,-133381000.0,,,,,,,,,,,,,,
W,0.0,미지정,,,,,40821000.0,-40821000.0,,-40821000.0,,,,,,,,,,,,,,
X,0.0,미지정,,,,,1166320000.0,-1166320000.0,,-1166320000.0,,,,,,,,,,,,,,
