브랜드,유통채널,채널명,아이템_중분류,아이템_소분류,아이템코드,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익,직접비 합계,직접이익,지급수수료_중간관리수수료,지급수수료_중간관리수수료(직영),지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_물류운송비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(변동),지급임차료_매장(고정),지급임차료_관리비,감가상각비_임차시설물
I,1.0,백화점,Acc_etc,기타,ET,5910000,5868400,5334904,3454123,1535050,1919073,1129381,789692,635313.0,0.0,0.0,0.0,75377.0,18218.0,95267.0,0.0,0.0,207245.0,0.0,0.0,0.0,97961.0
I,1.0,백화점,Acc_etc,머플러(스카프),MF,5583000,5347900,4861742,3088787,963925,2124862,1025686,1099176,578971.0,0.0,0.0,0.0,68696.0,16606.0,86813.0,0.0,0.0,185330.0,0.0,0.0,0.0,89270.0
I,1.0,백화점,Acc_etc,양말,SO,4257100,4152250,3774748,2410790,886839,1523951,798499,725452,449521.0,0.0,0.0,0.0,53332.0,12893.0,67402.0,0.0,0.0,146043.0,0.0,0.0,0.0,69308.0
I,1.0,백화점,Acc_etc,장갑,GL,5611000,5524080,5021894,3199515,1179860,2019655,1060001,959654,598044.0,0.0,0.0,0.0,70952.0,17142.0,89672.0,0.0,0.0,191974.0,0.0,0.0,0.0,92217.0
I,1.0,백화점,Bag,가방,BG,759000,743930,676298,431119,173742,257377,142772,114605,80543.0,0.0,0.0,0.0,9558.0,2303.0,12081.0,0.0,0.0,25867.0,0.0,0.0,0.0,12420.0
I,1.0,백화점,Bag,백팩,BK,56438000,49218040,44743741,28529590,12205660,16323930,9462251,6861679,5328368.0,0.0,0.0,0.0,632195.0,152810.0,798973.0,0.0,0.0,1728346.0,0.0,0.0,0.0,821559.0
I,1.0,백화점,Bag,보조가방,UB,1862000,1769980,1609083,1021223,420216,601007,339396,261611,191623.0,0.0,0.0,0.0,22730.0,5493.0,28728.0,0.0,0.0,61276.0,0.0,0.0,0.0,29546.0
I,1.0,백화점,Bag,슬링백,SG,632000,610830,555306,362446,126032,236414,117734,118680,66131.0,0.0,0.0,0.0,7848.0,1895.0,9913.0,0.0,0.0,21749.0,0.0,0.0,0.0,10198.0
I,1.0,백화점,Bag,크로스백,CR,118982000,116239760,105672491,66655264,27086561,39568703,22264653,17304050,12584160.0,0.0,0.0,0.0,1493070.0,360884.0,1886964.0,0.0,0.0,3999313.0,0.0,0.0,0.0,1940262.0
I,1.0,백화점,Bag,힙색,HS,118000,118000,107272,67582,21078,46504,22596,23908,12774.0,0.0,0.0,0.0,1516.0,366.0,1916.0,0.0,0.0,4054.0,0.0,0.0,0.0,1970.0
