브랜드,유통채널,채널명,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익,지급수수료_중간관리수수료,지급수수료_중간관리수수료(직영),지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_물류운송비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(변동),지급임차료_매장(고정),지급임차료_관리비,감가상각비_임차시설물,직접비 합계,직접이익
I,1.0,백화점,3299736500.0,3117489920.0,2834080317.0,1804582141.0,833358865.0,971223276,337500644.0,0.0,0.0,0.0,40043373.0,9678854.0,50607283.0,0.0,0.0,108274928.0,0.0,0.0,0.0,39030000.0,585135082,386088194
I,2.0,면세점,717483200.0,716957360.0,651778525.0,391066511.0,175049676.0,216016835,0.0,0.0,0.0,80030779.0,9209300.0,2226089.0,11638684.0,0.0,0.0,23463991.0,0.0,1275000.0,0.0,2364000.0,130207843,85808992
I,3.0,직영점(가두),156052200.0,155829210.0,141662846.0,141662846.0,40045826.0,101617020,0.0,0.0,11391438.0,0.0,2001482.0,483405.0,2529290.0,0.0,0.0,5524851.0,12206609.0,0.0,0.0,1079000.0,35216075,66400945
I,4.0,자사몰,534358600.0,460986032.0,419107488.0,419107488.0,136834196.0,282273292,0.0,0.0,0.0,0.0,5921282.0,1431583.0,7484227.0,0.0,0.0,16345192.0,0.0,0.0,0.0,0.0,31182284,251091008
I,5.0,제휴몰,1576183500.0,1509084780.0,1371894676.0,1371894676.0,391417132.0,980477544,0.0,0.0,0.0,0.0,19383426.0,4685248.0,24497352.0,0.0,403080007.0,53503892.0,0.0,0.0,0.0,0.0,505149925,475327619
I,6.0,대리점,1271355700.0,1211238380.0,1101125566.0,707223813.0,325036587.0,382187226,0.0,0.0,0.0,0.0,15558237.0,3760483.0,19662154.0,0.0,0.0,42433429.0,0.0,0.0,0.0,0.0,81414303,300772923
I,8.0,사입,8116723300.0,1686152070.0,1532865376.0,1532865376.0,1236246149.0,296619227,0.0,0.0,0.0,0.0,21657926.0,5234384.0,27371951.0,0.0,0.0,91971923.0,0.0,0.0,0.0,0.0,146236184,150383043
I,11.0,직영몰,328900300.0,300583840.0,273257961.0,273257961.0,82167348.0,191090613,0.0,33189884.0,0.0,0.0,3860579.0,933352.0,4879483.0,3241684.0,0.0,10657060.0,65328495.0,0.0,10391733.0,5923000.0,138405270,52685343
I,99.0,기타,8289300.0,3311570.0,3010508.0,3010508.0,2114751.0,895757,0.0,0.0,0.0,0.0,42536.0,10280.0,0.0,0.0,0.0,180630.0,0.0,0.0,0.0,0.0,233446,662311
M,1.0,RF,1050513200.0,918331580.0,834846038.0,531275111.0,182407902.0,348867209,78584434.0,0.0,0.0,0.0,12625255.0,4908821.0,15848320.0,0.0,0.0,37189258.0,0.0,265920.0,0.0,8489208.0,157911216,190955993
M,1.0,백화점,8499354600.0,7974194950.0,7249263207.0,4726397845.0,1461697865.0,3264699980,682376416.0,0.0,0.0,0.0,109629555.0,42625023.0,137616561.0,0.0,0.0,330847849.0,0.0,2309080.0,0.0,73714792.0,1379119276,1885580704
M,2.0,면세점,10330323200.0,10273317270.0,9339377926.0,5790421626.0,1717937387.0,4072484239,0.0,0.0,0.0,503357561.0,141237733.0,54914747.0,177295131.0,0.0,0.0,405329514.0,0.0,6525000.0,0.0,10818000.0,1299477686,2773006553
M,3.0,RF,720028500.0,582550370.0,529591041.0,529591041.0,122767044.0,406823997,0.0,0.0,36650044.0,0.0,8008985.0,3114000.0,10053570.0,12170587.0,0.0,24361188.0,3764456.0,109156365.0,10869469.0,12266502.0,230415166,176408831
M,3.0,직영점(가두),2566159700.0,2498680250.0,2271522648.0,2271522648.0,427772712.0,1843749936,0.0,0.0,157199419.0,0.0,34352151.0,13356571.0,43121786.0,52202101.0,0.0,104490042.0,16146508.0,468193635.0,46621344.0,52613498.0,988297055,855452881
M,4.0,RF,404861000.0,255062350.0,231874884.0,231874884.0,72225574.0,159649310,0.0,0.0,0.0,0.0,3506581.0,1363424.0,4401828.0,8023714.0,0.0,10666245.0,0.0,0.0,0.0,0.0,27961792,131687518
M,4.0,자사몰,1228722500.0,1092963065.0,994618399.0,994618399.0,207599603.0,787018796,0.0,0.0,0.0,0.0,15041343.0,5848356.0,18881474.0,34417413.0,0.0,45752446.0,0.0,0.0,0.0,0.0,119941032,667077764
M,5.0,제휴몰,3024964400.0,2958169460.0,2689245217.0,2689245217.0,512567855.0,2176677362,0.0,0.0,0.0,0.0,40669193.0,15812958.0,51051907.0,0.0,665242419.0,123705280.0,0.0,0.0,0.0,0.0,896481757,1280195605
M,6.0,RF,585183000.0,514571660.0,467792091.0,294023446.0,99356126.0,194667320,0.0,0.0,0.0,0.0,7074287.0,2750573.0,8880383.0,0.0,0.0,20581641.0,0.0,0.0,0.0,0.0,39286884,155380436
M,6.0,대리점,6362457000.0,6020567430.0,5473240517.0,3487280327.0,1121143908.0,2366136419,0.0,0.0,0.0,0.0,82770261.0,32182130.0,103901866.0,0.0,0.0,244109623.0,0.0,0.0,0.0,0.0,462963880,1903172539
