브랜드,유통채널,채널명,아이템_중분류,아이템_소분류,아이템코드,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익
I,1.0,백화점,Acc_etc,기타,ET,7223000,7142700,6493359,4188807,1860375,2328432
I,1.0,백화점,Acc_etc,머플러(스카프),MF,7639000,7247880,6589000,4195755,1317679,2878076
I,1.0,백화점,Acc_etc,양말,SO,5607500,5465810,4968877,3180174,1172412,2007762
I,1.0,백화점,Acc_etc,장갑,GL,8011000,7865780,7150712,4552166,1673716,2878450
I,1.0,백화점,Bag,가방,BG,1122000,1100970,1000879,636476,256836,379640
I,1.0,백화점,Bag,백팩,BK,83800000,72632060,66029326,42058980,18105796,23953184
I,1.0,백화점,Bag,보조가방,UB,2450000,2318580,2107810,1344777,552864,791913
I,1.0,백화점,Bag,슬링백,SG,869000,842830,766215,495318,173294,322024
I,1.0,백화점,Bag,크로스백,CR,418688000,401123770,364657921,230435971,92782973,137652998
I,1.0,백화점,Bag,힙색,HS,118000,118000,107272,67582,21078,46504
I,1.0,백화점,Headwear,방한모,WM,67472000,65689200,59717276,38066596,12797871,25268725
I,1.0,백화점,Headwear,비니,BN,78771000,76567520,69606802,44410473,15592654,28817819
I,1.0,백화점,Headwear,와이어캡,WR,1421000,1334550,1213231,793701,251519,542182
I,1.0,백화점,Headwear,운동모,CP,78165000,76547020,69588088,44467996,15378339,29089657
I,1.0,백화점,Headwear,햇,HT,1020000,996400,905811,575809,186564,389245
I,1.0,백화점,Shoes,런닝화,RN,63719000,62348320,56680278,36302222,14248802,22053420
I,1.0,백화점,Shoes,방한화,WB,337009000,322314690,293012798,187114171,76254510,110859661
I,1.0,백화점,Shoes,샌들,SD,286000,201500,183186,115407,56857,58550
I,1.0,백화점,Shoes,스니커즈,SX,19734000,19300090,17545524,11194639,4234333,6960306
I,1.0,백화점,Shoes,신발,SH,94167000,92231380,83846627,53447773,20187162,33260611
I,1.0,백화점,과시즌의류,다운점퍼,DJ,96946000,48119080,43744744,27555725,14851954,12703771
I,1.0,백화점,과시즌의류,맨투맨,MT,4231000,2520000,2290898,1450598,683849,766749
I,1.0,백화점,과시즌의류,맨투맨셋트,S2,6664000,4962290,4511165,2852311,819699,2032612
I,1.0,백화점,과시즌의류,반바지,SP,344000,344000,312725,200144,70356,129788
I,1.0,백화점,과시즌의류,반팔카라티셔츠,TS,10023000,9134900,8304439,5304136,1987776,3316360
I,1.0,백화점,과시즌의류,반팔티 & 스웨트팬츠,S1,4003000,3324210,3022082,1926856,816796,1110060
I,1.0,백화점,과시즌의류,방풍자켓,WJ,2685000,2649330,2408490,1541432,596990,944442
I,1.0,백화점,과시즌의류,베이비,BV,1534000,1517640,1379665,871340,414994,456346
I,1.0,백화점,과시즌의류,스윔웨어,SW,466000,466000,423637,271127,105144,165983
I,1.0,백화점,과시즌의류,스커트,SK,858000,858000,779997,498568,205812,292756
I,1.0,백화점,과시즌의류,우븐반바지,SM,2735000,2478500,2253180,1442030,535420,906610
I,1.0,백화점,과시즌의류,우븐팬츠,WP,237000,237000,215455,137891,51278,86613
I,1.0,백화점,과시즌의류,원피스,OP,514000,514000,467272,299053,103546,195507
I,1.0,백화점,과시즌의류,점퍼,JP,577000,467510,425000,271004,110420,160584
I,1.0,백화점,과시즌의류,팬츠,PT,375000,375000,340912,218183,75150,143033
I,1.0,백화점,과시즌의류,후드티,HD,89000,89000,80909,51782,19986,31796
I,1.0,백화점,당시즌의류,니트가디건,KC,1192000,1140960,1037237,654269,291709,362560
I,1.0,백화점,당시즌의류,다운베스트,DV,59529000,57188000,51989052,33092259,15036159,18056100
I,1.0,백화점,당시즌의류,다운점퍼,DJ,966853000,921912870,838102353,534424365,226424625,307999740
I,1.0,백화점,당시즌의류,레깅스,LG,5135000,4952650,4502402,2880454,1333477,1546977
I,1.0,백화점,당시즌의류,맨투맨,MT,200581000,194078210,176434575,112278264,50892458,61385806
I,1.0,백화점,당시즌의류,맨투맨셋트,S2,264266000,257914600,234467779,149362741,66852946,82509795
I,1.0,백화점,당시즌의류,반팔카라티셔츠,TS,7291000,6769630,6154184,3887777,1839572,2048205
I,1.0,백화점,당시즌의류,반팔티 & 스웨트팬츠,S1,5584000,5288120,4807377,3093912,1413310,1680602
I,1.0,백화점,당시즌의류,방풍자켓,WJ,556000,486500,442273,281159,130632,150527
I,1.0,백화점,당시즌의류,스커트,SK,1068000,1034400,940362,594858,273386,321472
I,1.0,백화점,당시즌의류,우븐반바지,SM,69000,69000,62727,40145,16138,24007
I,1.0,백화점,당시즌의류,우븐셔츠,WS,2502000,2354210,2140188,1371235,565218,806017
I,1.0,백화점,당시즌의류,우븐팬츠,WP,128542000,124333350,113030408,72035283,30629170,41406113
I,1.0,백화점,당시즌의류,점퍼,JP,10187000,9423820,8567107,5431729,2288365,3143364
I,1.0,백화점,당시즌의류,진바지,DP,44330000,42749040,38862658,24775964,9942958,14833006
I,1.0,백화점,당시즌의류,진자켓,DK,496000,359280,326620,203416,136784,66632
I,1.0,백화점,당시즌의류,패딩,PD,19398000,18757600,17052382,10912869,5046800,5866069
I,1.0,백화점,당시즌의류,팬츠,PT,105861000,102668120,93334506,59371875,27004592,32367283
I,1.0,백화점,당시즌의류,폴라폴리스점퍼,FD,12788000,12155640,11050577,7008552,3253527,3755025
I,1.0,백화점,당시즌의류,폴로 티셔츠,PQ,1780000,1709650,1554225,997773,449743,548030
