브랜드,ST,ST,ST,ST,ST,ST,ST
Version,F11_2025_R,F11_2025_R,F11_2025_R,F11_2025_R,F11_2025_R,F11_2025_R,F11_2025_R
채널,Unassigned,(브랜드) 백화점,(브랜드) 면세점,온라인(자사),온라인(제휴),아울렛(직영),직영(가두)2
Measure units,합계,합계,합계,합계,합계,합계,합계
TAG가 [v+],2237676,20280,257627,534292,766091,319509,339879
실판매액 [v+],1285000,15000,165000,360000,430000,130000,185000
실판매액 [v-],1168182,13636,150000,327273,390909,118182,168182
수수료차감매출 [v-],1099195,9150,85500,327273,390909,118182,168182
할인율(%),42.57,26.03,35.95,32.62,43.87,59.31,45.57
출고율(%),94.09,67.1,57,100,100,100,100
매출(출고),1099195,9150,85500,327273,390909,118182,168182
매출원가,545829,4993,64362,130069,187442,77011,81951
재고자산평가_환입,126730,234,6006,22474,45721,30513,21783
재고자산평가_설정,125577,,,,,,
재고자산평가,-1152,-234,-6006,-22474,-45721,-30513,-21783
원가,544676,4760,58356,107596,141721,46499,60168
매출원가율(%),46.72,36.62,42.91,39.74,47.95,65.16,48.73
직접제조원가율(%),26.83,27.09,27.48,26.78,26.91,26.51,26.52
매출총이익,554519,4390,27144,219677,249188,71683,108013
매출총이익율(%),47.47,32.19,18.1,67.12,63.75,60.66,64.22
지급수수료_중간관리수수료,3409,3409,,,,,
지급수수료_중간관리수수료(직영),54488,,,,,26696,27792
지급수수료_판매사원도급비(면세),20076,,20076,,,,
지급수수료_물류용역비,50203,586,6446,14065,16799,5079,7228
지급수수료_물류운송비,70583,824,9063,19774,23619,7141,10162
지급수수료_이천보관료,37935,443,4871,10628,12694,3838,5461
지급수수료_카드수수료,12092,,,10145,,,1946
지급수수료_온라인위탁판매수수료,124228,,,,124228,,
지급수수료_로열티,42055,491,5400,11782,14073,4255,6055
지급임차료_매장(변동),66968,,,,,14228,52740
지급임차료_매장(고정),3635,,,,,,3635
지급임차료_관리비,9674,,,,,1612,8062
감가상각비_임차시설물,27098,8628,2948,,,2198,13324
직접비,522443,14381,48804,66394,191413,65046,136405
직접이익,32076,-9991,-21660,153283,57775,6637,-28391
직접이익율(%),2.75,-73.27,-14.44,46.84,14.78,5.62,-16.88
일반 관리비,683950,7639,84027,188406,224642,66203,113034
영업이익,-651874,-17630,-105687,-35123,-166867,-59565,-141425
영업이익율(%),-55.8,-129.29,-70.46,-10.73,-42.69,-50.4,-84.09
