브랜드,X,X,X,X,X,X,X,X,X,X,X,X
Version,F11_2025_R,F11_2025_R,F11_2025_R,F11_2025_R,F11_2025_R,F11_2025_R,F11_2025_R,F11_2025_R,F11_2025_R,F11_2025_R,F11_2025_R,F11_2025_R
채널,Unassigned,(브랜드) 백화점,(브랜드) 면세점,직영점(가두),온라인(자사),온라인(제휴),대리점,아울렛(직영),사입,수출,직영(가두)2,아울렛(직영)2
Measure units,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
TAG가 [v+],101288960,23532270,2529940,647517,4524679,11375976,24177291,23417483,6019923,196080,2431670,2436131
실판매액 [v+],76870823,18984673,2300000,607000,3389286,9310714,22044499,16184016,782590,88236,2233000,946810
실판매액 [v-],69890588,17258794,2090909,551818,3081169,8464285,20040453,14712742,711445,88236,2030000,860736
수수료차감매출 [v-],56378895,11370752,1254545,551818,3081169,8464285,13253166,14712742,711445,88236,2030000,860736
할인율(%),24.11,19.32,9.09,6.26,25.09,18.15,8.82,30.89,87,55,8.17,61.13
출고율(%),80.68,65.88,60,100,100,100,66.13,100,100,100,100,100
매출(출고),56378895,11370752,1254545,551818,3081169,8464285,13253166,14712742,711445,88236,2030000,860736
매출원가,22656893,5316755,583534,149474,1017174,2561766,5569673,5108235,1237092,46920,560507,505761
재고평가감_환입,2118473,313495,,927,60026,155649,56274,668392,635100,,5174,223436
재고평가감_설정,1166320,,,,,,,,,,,
재고자산평가,-952154,-313495,,-927,-60026,-155649,-56274,-668392,-635100,,-5174,-223436
원가,21704739,5003260,583534,148547,957148,2406117,5513399,4439843,601992,46920,555333,282325
매출원가율(%),32.42,30.81,27.91,27.09,33.01,30.27,27.79,34.72,173.88,58.49,27.61,58.76
직접제조원가율(%),24.61,24.85,25.37,25.39,24.73,24.77,25.34,24,22.6,26.32,25.36,22.84
매출총이익,34674156,6367492,671011,403272,2124021,6058168,7739766,10272898,109453,41316,1474667,578412
매출총이익율(%),49.62,36.89,32.09,73.08,68.94,71.57,38.62,69.82,15.38,51.51,72.64,67.2
지급수수료_중간관리수수료,1598861,1598861,,,,,,,,,,
지급수수료_중간관리수수료(직영),1188608,,,50709,,,,939711,,,158859,39329
지급수수료_판매사원도급비(직영),59455,,,59455,,,,,,,,
지급수수료_판매사원도급비(면세),92343,,92343,,,,,,,,,
지급수수료_물류용역비,688333,170192,20619,5442,30384,83468,197622,145085,7016,,20018,8488
지급수수료_물류운송비,100147,24762,3000,792,4421,12144,28753,21109,1021,,2912,1235
지급수수료_이천보관료,668424,165270,20022,5284,29505,81054,191907,140889,6813,,19439,8242
지급수수료_카드수수료,256481,,,10486,89189,,,102989,,,35742,18075
지급수수료_온라인위탁판매수수료,2026273,,,,,2026273,,,,,,
지급수수료_로열티,1516624,362435,43909,11588,64705,177750,420850,308968,64030,1685,42630,18075
지급임차료_매장(변동),3215395,,,29618,,,,2800550,,,385228,
지급임차료_매장(고정),160770,770,,160000,,,,,,,,
지급임차료_관리비,181551,,,,,,,147697,,,33854,
감가상각비_임차시설물,215877,98801,3761,211,,,,91635,,,21141,329
직접비,11969144,2421090,183654,333584,218203,2380688,839131,4698632,78879,1685,719824,93774
직접이익,22705012,3946402,487357,69688,1905818,3677480,6900635,5574267,30574,39631,754843,484638
직접이익율(%),32.49,22.87,23.31,12.63,61.85,43.45,34.43,37.89,4.3,44.91,37.18,56.3
일반 관리비,7701461,1724141,208880,96124,566459,911246,1991874,1476481,70712,3150,349453,99008
영업이익,15003552,2222261,278477,-26436,1339359,2766234,4908761,4097786,-40139,36481,405390,385630
영업이익율(%),21.47,12.88,13.32,-4.79,43.47,32.68,24.49,27.85,-5.64,45.48,19.97,44.8
