브랜드,유통채널,채널,직접비항목,직접비값,실판매액V-,비율
I,1,(브랜드) 백화점,지급수수료_중간관리수수료,451879.0,3794545.0,11.908647808894084
I,1,(브랜드) 백화점,지급수수료_물류용역비,53614.0,3794545.0,1.412923025026716
I,1,(브랜드) 백화점,지급수수료_물류운송비,12959.0,3794545.0,0.3415165718155932
I,1,(브랜드) 백화점,지급수수료_이천보관료,67758.0,3794545.0,1.7856686374782746
I,1,(브랜드) 백화점,지급수수료_로열티,145049.0,3794545.0,3.822566341946136
I,2,(브랜드) 면세점,지급수수료_판매사원도급비(면세),118100.0,961818.0,12.278830298455633
I,2,(브랜드) 면세점,지급수수료_물류용역비,13590.0,961818.0,1.4129492274006101
I,2,(브랜드) 면세점,지급수수료_물류운송비,3285.0,961818.0,0.34154070728557795
I,2,(브랜드) 면세점,지급수수료_이천보관료,17175.0,961818.0,1.785680866858387
I,2,(브랜드) 면세점,지급수수료_로열티,34625.0,961818.0,3.5999534215412896
I,3,직영점(가두),지급수수료_판매사원도급비(직영),13597.0,169091.0,8.041232235896647
I,3,직영점(가두),지급수수료_물류용역비,2389.0,169091.0,1.4128487027695147
I,3,직영점(가두),지급수수료_물류운송비,577.0,169091.0,0.34123637567936793
I,3,직영점(가두),지급수수료_이천보관료,3019.0,169091.0,1.7854291476187378
I,3,직영점(가두),지급수수료_로열티,6595.0,169091.0,3.9002667202867096
I,3,직영점(가두),지급임차료_매장(변동),14570.0,169091.0,8.61666203405267
I,4,온라인(자사),지급수수료_물류용역비,7077.0,500909.0,1.4128314723832074
I,4,온라인(자사),지급수수료_물류운송비,1711.0,500909.0,0.34157900936098173
I,4,온라인(자사),지급수수료_이천보관료,8945.0,500909.0,1.7857535001367515
I,4,온라인(자사),지급수수료_로열티,19535.0,500909.0,3.8999099636860186
I,5,온라인(제휴),지급수수료_물류용역비,16685.0,1180909.0,1.4128946430249918
I,5,온라인(제휴),지급수수료_물류운송비,4033.0,1180909.0,0.34151657748395514
I,5,온라인(제휴),지급수수료_이천보관료,21087.0,1180909.0,1.785658336078394
I,5,온라인(제휴),지급수수료_온라인위탁판매수수료,346966.0,1180909.0,29.381264771459954
I,5,온라인(제휴),지급수수료_로열티,46055.0,1180909.0,3.8999618090809705
I,6,대리점,지급수수료_물류용역비,13500.0,955455.0,1.4129393849003877
I,6,대리점,지급수수료_물류운송비,3263.0,955455.0,0.3415126824392567
I,6,대리점,지급수수료_이천보관료,17061.0,955455.0,1.7856413959841122
I,6,대리점,지급수수료_로열티,37322.0,955455.0,3.906201757277946
