브랜드,유통채널,지급수수료_중간관리수수료,지급수수료_중간관리수수료(직영),지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_물류운송비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급임차료_매장(변동),지급임차료_관리비
I,1,11.91%,0%,0%,0%,1.41%,0.34%,1.79%,0%,0%,0%,0%
I,2,0%,0%,0%,12.28%,1.41%,0.34%,1.79%,0%,0%,0%,0%
I,3,0%,0%,8.04%,0%,1.41%,0.34%,1.79%,0%,0%,8.62%,0%
I,4,0%,0%,0%,0%,1.41%,0.34%,1.79%,0%,0%,0%,0%
I,5,0%,0%,0%,0%,1.41%,0.34%,1.79%,0%,29.38%,0%,0%
I,6,0%,0%,0%,0%,1.41%,0.34%,1.79%,0%,0%,0%,0%
I,8,0%,0%,0%,0%,1.41%,0.34%,1.79%,0%,0%,0%,0%
I,11,0%,12.15%,0%,0%,1.41%,0.34%,1.79%,1.19%,0%,23.91%,3.80%
I,99,0%,0%,0%,0%,1.41%,0.34%,0%,0%,0%,0%,0%
M,1,9.41%,0%,0%,0%,1.51%,0.59%,1.90%,0%,0%,0%,0%
M,2,0%,0%,0%,5.39%,1.51%,0.59%,1.90%,0%,0%,0%,0%
M,3,0%,0%,6.92%,0%,1.51%,0.59%,1.90%,2.30%,0%,0.71%,2.05%
M,4,0%,0%,0%,0%,1.51%,0.59%,1.90%,3.46%,0%,0%,0%
M,5,0%,0%,0%,0%,1.51%,0.59%,1.90%,0%,24.74%,0%,0%
M,6,0%,0%,0%,0%,1.51%,0.59%,1.90%,0%,0%,0%,0%
M,8,0%,0%,0%,0%,1.51%,0.59%,1.90%,0%,0%,0%,0%
M,11,0%,12.18%,0%,0%,1.51%,0.59%,1.90%,0.82%,0%,22.62%,5.44%
M,99,0%,0%,0%,0%,1.51%,0.59%,0%,0%,0%,0%,0%
ST,1,25.00%,0%,0%,0%,4.30%,6.04%,3.25%,0%,0%,0%,0%
ST,2,0%,0%,0%,13.38%,4.30%,6.04%,3.25%,0%,0%,0%,0%
ST,4,0%,0%,0%,0%,4.30%,6.04%,3.25%,3.10%,0%,0%,0%
ST,5,0%,0%,0%,0%,4.30%,6.04%,3.25%,0%,31.78%,0%,0%
ST,7,0%,22.59%,0%,0%,4.30%,6.04%,3.25%,0%,0%,12.04%,1.36%
ST,11,0%,16.52%,0%,0%,4.30%,6.04%,3.25%,1.16%,0%,31.36%,4.79%
V,1,8.40%,0%,0%,0%,0.50%,1.12%,0.97%,0%,0%,0%,0%
V,3,0%,0%,0%,0%,0.50%,1.12%,0.97%,0%,0%,21.00%,0%
V,4,0%,0%,0%,0%,0.50%,1.12%,0.97%,2.60%,0%,0%,0%
V,5,0%,0%,0%,0%,0.50%,1.12%,0.97%,20.91%,0%,0%,0%
V,7,0%,10.83%,0%,0%,0.50%,1.12%,0.97%,0.10%,0%,10.80%,1.04%
V,11,0%,9.89%,0%,0%,0.50%,1.12%,0.97%,1.81%,0%,20.45%,2.27%
W,4,0%,0%,0%,0%,9.06%,11.15%,4.73%,2.41%,0%,0%,0%
W,5,0%,0%,0%,0%,9.06%,11.15%,4.73%,0%,28.47%,0%,0%
X,1,9.26%,0%,0%,0%,0.99%,0.14%,0.96%,0%,0%,0%,0%
X,2,0%,0%,0%,4.42%,0.99%,0.14%,0.96%,0%,0%,0%,0%
X,3,0%,9.19%,10.77%,0%,0.99%,0.14%,0.96%,1.90%,0%,5.37%,0%
X,4,0%,0%,0%,0%,0.99%,0.14%,0.96%,2.89%,0%,0%,0%
X,5,0%,0%,0%,0%,0.99%,0.14%,0.96%,0%,23.94%,0%,0%
X,6,0%,0%,0%,0%,0.99%,0.14%,0.96%,0%,0%,0%,0%
X,7,0%,6.39%,0%,0%,0.99%,0.14%,0.96%,0.70%,0%,19.03%,1.00%
X,8,0%,0%,0%,0%,0.99%,0.14%,0.96%,0%,0%,0%,0%
X,11,0%,7.83%,0%,0%,0.99%,0.14%,0.96%,1.76%,0%,18.98%,1.67%
X,12,0%,4.57%,0%,0%,0.99%,0.14%,0.96%,2.10%,0%,0%,0%
X,99,0%,0%,0%,0%,0.99%,0.14%,0%,0%,0%,0%,0%
