브랜드,구분,종료일,유통채널,채널명,실판매출
I,당년,2025-11-09,01,백화점,638662480
I,전년,2025-11-09,01,백화점,778529520
I,당년,2025-11-09,02,면세점,181656700
I,전년,2025-11-09,02,면세점,214669300
I,당년,2025-11-09,03,직영점(가두),41162100
I,전년,2025-11-09,03,직영점(가두),33961880
I,당년,2025-11-09,04,자사몰,64426219
I,전년,2025-11-09,04,자사몰,93417795
I,당년,2025-11-09,05,제휴몰,390103200
I,전년,2025-11-09,05,제휴몰,185665000
I,당년,2025-11-09,06,대리점,204789650
I,전년,2025-11-09,06,대리점,232349118
I,당년,2025-11-09,08,사입,281876111
I,전년,2025-11-09,08,사입,193544130
I,당년,2025-11-09,11,직영몰,66842020
I,전년,2025-11-09,11,직영몰,67719520
M,당년,2025-11-09,01,백화점,2007943020
M,전년,2025-11-09,01,백화점,2072478320
M,당년,2025-11-09,02,면세점,2533637300
M,전년,2025-11-09,02,면세점,2886112500
M,당년,2025-11-09,03,직영점(가두),530155200
M,전년,2025-11-09,03,직영점(가두),333464940
M,당년,2025-11-09,04,자사몰,174143438
M,전년,2025-11-09,04,자사몰,190782570
M,당년,2025-11-09,05,제휴몰,491767300
M,전년,2025-11-09,05,제휴몰,390344300
M,당년,2025-11-09,06,대리점,1391692590
M,전년,2025-11-09,06,대리점,1298344012
M,당년,2025-11-09,08,사입,1109291679
M,전년,2025-11-09,08,사입,2904285790
M,당년,2025-11-09,11,직영몰,118612300
M,전년,2025-11-09,11,직영몰,150011700
M,당년,2025-11-09,RF,RF,475490320
M,전년,2025-11-09,RF,RF,418547776
ST,당년,2025-11-09,01,백화점,3824900
ST,전년,2025-11-09,01,백화점,21168010
ST,당년,2025-11-09,02,면세점,10205000
ST,전년,2025-11-09,02,면세점,21554300
ST,당년,2025-11-09,03,직영점(가두),18421100
ST,당년,2025-11-09,04,자사몰,21288200
ST,전년,2025-11-09,04,자사몰,51287900
ST,당년,2025-11-09,05,제휴몰,65769200
ST,전년,2025-11-09,05,제휴몰,22834600
ST,당년,2025-11-09,07,아울렛,34413990
ST,전년,2025-11-09,07,아울렛,13682140
ST,당년,2025-11-09,11,직영몰,27443800
ST,전년,2025-11-09,11,직영몰,24827300
V,당년,2025-11-09,01,백화점,628991900
V,전년,2025-11-09,01,백화점,263308900
V,당년,2025-11-09,03,직영점(가두),10865000
V,당년,2025-11-09,04,자사몰,79908310
V,전년,2025-11-09,04,자사몰,38776640
V,당년,2025-11-09,05,제휴몰,264561710
V,전년,2025-11-09,05,제휴몰,126602100
V,당년,2025-11-09,07,아울렛,216156380
V,전년,2025-11-09,07,아울렛,227265950
V,당년,2025-11-09,11,직영몰,66096300
V,전년,2025-11-09,11,직영몰,36210400
W,전년,2025-11-09,02,면세점,14173500
W,전년,2025-11-09,03,직영점(가두),54474300
W,당년,2025-11-09,04,자사몰,23318180
W,전년,2025-11-09,04,자사몰,5785040
W,당년,2025-11-09,05,제휴몰,37675000
W,전년,2025-11-09,05,제휴몰,6178600
W,전년,2025-11-09,11,직영몰,5588100
X,당년,2025-11-09,01,백화점,3613326840
X,전년,2025-11-09,01,백화점,3687769500
X,당년,2025-11-09,02,면세점,628490100
X,전년,2025-11-09,02,면세점,536830900
X,당년,2025-11-09,03,직영점(가두),126492400
X,전년,2025-11-09,03,직영점(가두),40314700
X,당년,2025-11-09,04,자사몰,541294536
X,전년,2025-11-09,04,자사몰,675489160
X,당년,2025-11-09,05,제휴몰,1501416500
X,전년,2025-11-09,05,제휴몰,1633971300
X,당년,2025-11-09,06,대리점,4014421300
X,전년,2025-11-09,06,대리점,4958678300
X,당년,2025-11-09,07,아울렛,2943430390
X,전년,2025-11-09,07,아울렛,3637319800
X,당년,2025-11-09,08,사입,-93060
X,전년,2025-11-09,08,사입,-51230
X,당년,2025-11-09,11,직영몰,285276600
X,전년,2025-11-09,11,직영몰,348832200
X,당년,2025-11-09,12,아울렛,127018400
X,전년,2025-11-09,12,아울렛,131192400
I,당년,2025-11-16,01,백화점,590889560
I,전년,2025-11-16,01,백화점,588562080
I,당년,2025-11-16,02,면세점,126482600
I,전년,2025-11-16,02,면세점,283362900
I,당년,2025-11-16,03,직영점(가두),28969000
I,전년,2025-11-16,03,직영점(가두),29629600
I,당년,2025-11-16,04,자사몰,191234730
I,전년,2025-11-16,04,자사몰,67014206
I,당년,2025-11-16,05,제휴몰,289393800
I,전년,2025-11-16,05,제휴몰,140683800
I,당년,2025-11-16,06,대리점,174869636
I,전년,2025-11-16,06,대리점,221552209
I,당년,2025-11-16,08,사입,291517330
I,전년,2025-11-16,08,사입,328257772
I,당년,2025-11-16,11,직영몰,65732110
I,전년,2025-11-16,11,직영몰,60595800
M,당년,2025-11-16,01,백화점,1507918400
M,전년,2025-11-16,01,백화점,1807327160
M,당년,2025-11-16,02,면세점,2648110100
M,전년,2025-11-16,02,면세점,2538642900
M,당년,2025-11-16,03,직영점(가두),506925600
M,전년,2025-11-16,03,직영점(가두),332581600
M,당년,2025-11-16,04,자사몰,267258799
M,전년,2025-11-16,04,자사몰,192332764
M,당년,2025-11-16,05,제휴몰,493455100
M,전년,2025-11-16,05,제휴몰,434702600
M,당년,2025-11-16,06,대리점,1284637564
M,전년,2025-11-16,06,대리점,1138625211
M,당년,2025-11-16,08,사입,1114429430
M,전년,2025-11-16,08,사입,566784180
M,당년,2025-11-16,11,직영몰,119060400
M,전년,2025-11-16,11,직영몰,126976600
M,당년,2025-11-16,RF,RF,456563110
M,전년,2025-11-16,RF,RF,421818730
ST,당년,2025-11-16,01,백화점,1922670
ST,전년,2025-11-16,01,백화점,22814580
ST,당년,2025-11-16,02,면세점,28123820
ST,전년,2025-11-16,02,면세점,48639800
ST,당년,2025-11-16,03,직영점(가두),24598100
ST,당년,2025-11-16,04,자사몰,20084360
ST,전년,2025-11-16,04,자사몰,42433500
ST,당년,2025-11-16,05,제휴몰,64267700
ST,전년,2025-11-16,05,제휴몰,23210640
ST,당년,2025-11-16,07,아울렛,23474110
