브랜드,유통채널,채널명,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익,지급수수료_중간관리수수료,지급수수료_중간관리수수료(직영),지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_물류운송비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(변동),지급임차료_매장(고정),지급임차료_관리비,감가상각비_임차시설물,직접비 합계,직접이익
I,1.0,백화점,1909632100.0,1795405380.0,1632186185.0,1038137762.0,478619118.0,559518644.0,192615660.0,0.0,0.0,0.0,32813185.0,6492872.0,36601506.0,0.0,0.0,62288266.0,0.0,0.0,0.0,37042000.0,367853489,191665155
I,2.0,면세점,564927300.0,564486510.0,513169121.0,307900770.0,132229434.0,175671336.0,0.0,0.0,0.0,66963625.0,10316631.0,2041243.0,11507602.0,0.0,0.0,18474046.0,0.0,1275000.0,0.0,2153000.0,112731147,62940189
I,3.0,직영점(가두),77114400.0,76901370.0,69910321.0,69910321.0,19379970.0,50530351.0,0.0,0.0,5343123.0,0.0,1405331.0,278201.0,1567804.0,0.0,0.0,2726503.0,6024302.0,0.0,0.0,1048000.0,18393264,32137087
I,4.0,자사몰,183572400.0,160140147.0,145595969.0,145595969.0,45659433.0,99936536.0,0.0,0.0,0.0,0.0,2926895.0,579056.0,3265094.0,0.0,0.0,5678243.0,0.0,0.0,0.0,0.0,12449288,87487248
I,5.0,제휴몰,535784600.0,531534150.0,483212541.0,483212541.0,131940456.0,351272085.0,0.0,0.0,0.0,0.0,9714521.0,1922190.0,10835988.0,0.0,141973805.0,18845289.0,0.0,0.0,0.0,0.0,183291793,167980292
I,6.0,대리점,517110400.0,490182390.0,445620430.0,288829641.0,130309055.0,158520586.0,0.0,0.0,0.0,0.0,8958924.0,1772722.0,9992706.0,0.0,0.0,17329778.0,0.0,0.0,0.0,0.0,38054130,120466456
I,8.0,사입,360648000.0,96826400.0,88023961.0,88023961.0,60783161.0,27240800.0,0.0,0.0,0.0,0.0,1769988.0,350512.0,1974291.0,0.0,0.0,5281438.0,0.0,0.0,0.0,0.0,9376229,17864571
I,11.0,직영몰,185316300.0,174671830.0,158792438.0,158792438.0,45884032.0,112908406.0,0.0,18710223.0,0.0,0.0,3192198.0,631505.0,3561045.0,1884112.0,0.0,6192905.0,37865142.0,0.0,5843911.0,5853000.0,83734041,29174365
I,99.0,기타,24211300.0,7526440.0,6842195.0,6842195.0,5990391.0,851804.0,0.0,0.0,0.0,0.0,137583.0,27246.0,0.0,0.0,0.0,410532.0,0.0,0.0,0.0,0.0,575361,276443
M,1.0,RF,491257300.0,446490120.0,405899897.0,258154539.0,82030326.0,176124213.0,39651404.0,0.0,0.0,0.0,7609471.0,2699098.0,8525390.0,0.0,0.0,18070818.0,0.0,303953.0,0.0,10104356.0,86964490,89159723
M,1.0,백화점,3631489800.0,3336038400.0,3032759445.0,1976339811.0,617102731.0,1359237080.0,296263119.0,0.0,0.0,0.0,56855632.0,20166834.0,63699099.0,0.0,0.0,138343787.0,0.0,2271047.0,0.0,75496644.0,653096162,706140918
M,2.0,면세점,5347355100.0,5108035160.0,4643667735.0,2879077043.0,886458640.0,1992618403.0,0.0,0.0,0.0,250276333.0,87055843.0,30878549.0,97534060.0,0.0,0.0,201535393.0,0.0,6525000.0,0.0,11758000.0,685563178,1307055225
M,3.0,RF,201332500.0,183019180.0,166380990.0,166380990.0,32627126.0,133753864.0,0.0,0.0,11401105.0,0.0,3119173.0,1106346.0,3494592.0,3823618.0,0.0,7653526.0,1182668.0,78814100.0,3370793.0,8891994.0,122857915,10895949
M,3.0,직영점(가두),1174526100.0,1157683300.0,1052437276.0,1052437276.0,190055389.0,862381887.0,0.0,0.0,72117303.0,0.0,19730224.0,6998157.0,22104923.0,24186166.0,0.0,48412115.0,7480927.0,498535900.0,21321834.0,56246006.0,777133555,85248332
M,4.0,RF,198154000.0,124837000.0,113488182.0,113488182.0,34056685.0,79431497.0,0.0,0.0,0.0,0.0,2127561.0,754614.0,2383737.0,3927035.0,0.0,5220456.0,0.0,0.0,0.0,0.0,14413403,65018094
M,4.0,자사몰,585848700.0,514045584.0,467870378.0,467870378.0,95326708.0,372543670.0,0.0,0.0,0.0,0.0,8771159.0,3110998.0,9827279.0,16189733.0,0.0,21522037.0,0.0,0.0,0.0,0.0,59421206,313122464
M,5.0,제휴몰,1444877000.0,1424513290.0,1295012114.0,1295012114.0,241845502.0,1053166612.0,0.0,0.0,0.0,0.0,24277967.0,8611410.0,27199983.0,0.0,320349165.0,59570557.0,0.0,0.0,0.0,0.0,440009082,613157530
M,6.0,RF,269586500.0,235241470.0,213855737.0,135622732.0,45524966.0,90097766.0,0.0,0.0,0.0,0.0,4009177.0,1422061.0,4491766.0,0.0,0.0,9493591.0,0.0,0.0,0.0,0.0,19416595,70681171
M,6.0,대리점,2443858300.0,2280829040.0,2073479864.0,1322237204.0,427098205.0,895138999.0,0.0,0.0,0.0,0.0,38871753.0,13787873.0,43550786.0,0.0,0.0,92556604.0,0.0,0.0,0.0,0.0,188767016,706371983
M,8.0,사입,349733000.0,87432880.0,79484421.0,79484421.0,46179868.0,33304553.0,0.0,0.0,0.0,0.0,1490070.0,528378.0,1669144.0,0.0,0.0,5563909.0,0.0,0.0,0.0,0.0,9251501,24053052
M,11.0,직영몰,371509500.0,347685790.0,316077839.0,316077839.0,62147864.0,253929975.0,0.0,37625491.0,0.0,0.0,5925745.0,2101745.0,6638905.0,2590661.0,0.0,14539581.0,71230768.0,2907000.0,17065154.0,20599000.0,181224050,72705925
M,99.0,기타,9701800.0,5053070.0,4593686.0,4593686.0,1603593.0,2990093.0,0.0,0.0,0.0,0.0,86116.0,30537.0,0.0,0.0,0.0,321558.0,0.0,0.0,0.0,0.0,438211,2551882
ST,1.0,백화점,3523000.0,2405370.0,2186703.0,1448844.0,556387.0,892457.0,546736.0,0.0,0.0,0.0,65907.0,72401.0,114014.0,0.0,0.0,78721.0,0.0,0.0,0.0,8628000.0,9505779,-8613322
ST,2.0,면세점,39608800.0,31172930.0,28338983.0,16153202.0,7633463.0,8519739.0,0.0,0.0,0.0,5431713.0,853100.0,939345.0,1478291.0,0.0,0.0,1020203.0,0.0,0.0,0.0,2948000.0,12670652,-4150913
ST,3.0,직영점(가두),35382900.0,30286400.0,27532999.0,27532999.0,8135888.0,19397111.0,0.0,0.0,6623292.0,0.0,828837.0,912629.0,1436247.0,0.0,0.0,991188.0,963779.0,0.0,0.0,0.0,11755972,7641139
ST,4.0,자사몰,30842700.0,28651630.0,26046933.0,26046933.0,7565266.0,18481667.0,0.0,0.0,0.0,0.0,784097.0,863367.0,1358656.0,807401.0,0.0,937690.0,0.0,0.0,0.0,0.0,4751211,13730456
ST,5.0,제휴몰,187333900.0,87552800.0,79593301.0,79593301.0,20873146.0,58720155.0,0.0,0.0,0.0,0.0,2396554.0,2638518.0,4151587.0,0.0,25293955.0,2865359.0,0.0,0.0,0.0,0.0,37345973,21374182
ST,7.0,아울렛,96486700.0,43990400.0,39991200.0,39991200.0,12329606.0,27661594.0,0.0,7677990.0,0.0,0.0,1203820.0,1325779.0,2086054.0,0.0,0.0,1439683.0,4814368.0,0.0,489052.0,2198000.0,21234746,6426848
ST,11.0,직영몰,86974500.0,47349640.0,43045152.0,43045152.0,18025978.0,25019174.0,0.0,6132809.0,0.0,0.0,1295993.0,1426955.0,2245294.0,498210.0,0.0,1549625.0,13100126.0,3635000.0,1862109.0,13324000.0,45070121,-20050947
V,1.0,백화점,2302715000.0,1965714810.0,1787013531.0,1321197546.0,420004519.0,901193027.0,139354163.0,0.0,0.0,0.0,7556362.0,9259785.0,15755191.0,0.0,0.0,44675338.0,0.0,0.0,0.0,18059000.0,234659839,666533188
V,3.0,직영점(가두),33398000.0,33259000.0,30235429.0,30235429.0,6655687.0,23579742.0,0.0,0.0,0.0,0.0,128048.0,156733.0,266489.0,0.0,0.0,755886.0,6349577.0,0.0,0.0,0.0,7656733,15923009
V,4.0,자사몰,354576000.0,298686600.0,271533262.0,271533262.0,66592667.0,204940595.0,0.0,0.0,0.0,0.0,1148045.0,1407088.0,2393842.0,7059879.0,0.0,6788332.0,0.0,0.0,0.0,0.0,18797186,186143409
V,5.0,제휴몰,939822000.0,760982600.0,691802353.0,691802353.0,169830391.0,521971962.0,0.0,0.0,0.0,0.0,2925341.0,3584859.0,6099270.0,144663304.0,0.0,17295059.0,0.0,0.0,0.0,0.0,174567833,347404129
V,7.0,아울렛,872418000.0,488585470.0,444168435.0,444168435.0,136413505.0,307754930.0,0.0,48642911.0,0.0,0.0,1877950.0,2301779.0,3916048.0,454074.0,0.0,0.0,47978668.0,0.0,4673743.0,4168000.0,114013173,193741757
V,11.0,직영몰,303005000.0,264277900.0,240252667.0,240252667.0,55533397.0,184719270.0,0.0,19077348.0,0.0,0.0,1016237.0,1245278.0,2118452.0,4359530.0,0.0,6006317.0,48050674.0,0.0,4079748.0,7188000.0,93141584,91577686
V,99.0,기타,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
W,4.0,자사몰,111727000.0,27361390.0,24895377.0,24895377.0,15052694.0,9842683.0,0.0,0.0,0.0,0.0,2289993.0,2030444.0,1413369.0,598818.0,0.0,921129.0,0.0,0.0,0.0,0.0,7253753,2588930
W,5.0,제휴몰,97261000.0,28621000.0,26019133.0,26019133.0,14973925.0,11045208.0,0.0,0.0,0.0,0.0,2393402.0,2122183.0,1477119.0,0.0,7407675.0,988727.0,0.0,0.0,0.0,0.0,14389106,-3343898
X,1.0,백화점,12027126000.0,9089767320.0,8263421999.0,5568275198.0,2703260586.0,2865014612.0,742959340.0,0.0,0.0,0.0,76964337.0,10967165.0,79422664.0,0.0,0.0,173531862.0,0.0,770000.0,0.0,90382000.0,1174997368,1690017244
X,2.0,면세점,1635445000.0,1504468970.0,1367698194.0,820618716.0,479136035.0,341482681.0,0.0,0.0,0.0,40291284.0,12738373.0,1815121.0,13145392.0,0.0,0.0,28721662.0,0.0,0.0,0.0,2971000.0,99682832,241799849
X,3.0,직영점(가두),302408000.0,294182480.0,267438070.0,267438070.0,75496577.0,191941493.0,0.0,22643549.0,25451940.0,0.0,2490899.0,354867.0,2570473.0,5081868.0,0.0,5616199.0,14354217.0,160000000.0,0.0,2000.0,238566012,-46624519
X,4.0,자사몰,1769360000.0,1533593274.0,1394246472.0,1394246472.0,435619447.0,958627025.0,0.0,0.0,0.0,0.0,12985741.0,1850300.0,13400327.0,40358306.0,0.0,29279176.0,0.0,0.0,0.0,0.0,97873850,860753175
X,5.0,제휴몰,5734029000.0,4616316100.0,4196650250.0,4196650250.0,1234889133.0,2961761117.0,0.0,0.0,0.0,0.0,39086920.0,5569585.0,40335633.0,0.0,1004640075.0,88129655.0,0.0,0.0,0.0,0.0,1177761868,1783999249
X,6.0,대리점,11512294000.0,9639013970.0,8762736932.0,5864545576.0,2749391398.0,3115154178.0,0.0,0.0,0.0,0.0,81614839.0,11629527.0,84221722.0,0.0,0.0,184017476.0,0.0,0.0,0.0,0.0,361483564,2753670614
X,7.0,아울렛,9612779000.0,6343426100.0,5766748828.0,5766748828.0,1870028583.0,3896720245.0,0.0,376123661.0,0.0,0.0,53710630.0,7653329.0,55425989.0,40367260.0,0.0,121101725.0,1097692705.0,0.0,60727072.0,86053000.0,1898855371,1997864874
X,8.0,사입,2015948000.0,262073220.0,238248434.0,238248434.0,204695397.0,33553037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21442359.0,0.0,0.0,0.0,0.0,21442359,12110678
X,11.0,직영몰,831108000.0,763148770.0,693771590.0,693771590.0,209983751.0,483787839.0,0.0,50701515.0,0.0,0.0,6461754.0,920842.0,6667945.0,12214958.0,0.0,14569203.0,131655386.0,0.0,10325996.0,20372000.0,253889599,229898240
X,12.0,아울렛,482344000.0,167432100.0,152210937.0,152210937.0,57732421.0,94478516.0,0.0,7843255.0,0.0,0.0,1417729.0,201969.0,1462858.0,3196487.0,0.0,3196430.0,0.0,0.0,0.0,2000.0,17320728,77157788
X,99.0,기타,85820000.0,22343050.0,20311843.0,20311843.0,18398520.0,1913323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426549.0,0.0,0.0,0.0,0.0,426549,1486774
I,0.0,미지정,,,,,73691000.0,-73691000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-73691000
M,0.0,미지정,,,,,164433000.0,-164433000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-164433000
ST,0.0,미지정,,,,,130198000.0,-130198000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-130198000
V,0.0,미지정,,,,,119493000.0,-119493000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-119493000
W,0.0,미지정,,,,,26111000.0,-26111000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-26111000
X,0.0,미지정,,,,,810296000.0,-810296000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-810296000
