브랜드,유통채널,채널명,아이템_중분류,아이템_소분류,아이템코드,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익
I,1.0,백화점,Acc_etc,기타,ET,9419089,8904280,8094802,5163086,2694837,2468249
I,1.0,백화점,Acc_etc,머플러(스카프),MF,10885314,10101599,9183296,5839976,2132228,3707748
I,1.0,백화점,Acc_etc,양말,SO,11990361,11184459,10167649,6479510,2903134,3576376
I,1.0,백화점,Acc_etc,장갑,GL,18070838,17073590,15521404,9863633,4422076,5441557
I,1.0,백화점,Bag,가방,BG,2545846,2394084,2176469,1378183,641030,737153
I,1.0,백화점,Bag,백팩,BK,471290186,407889449,370809083,236398309,105884243,130514066
I,1.0,백화점,Bag,보조가방,UB,9477112,8899173,8090162,5173659,2351731,2821928
I,1.0,백화점,Bag,슬링백,SG,7124676,6637021,6033649,3953995,1562859,2391136
I,1.0,백화점,Bag,크로스백,CR,770379881,748727179,680661004,430259884,194730763,235529121
I,1.0,백화점,Bag,힙색,HS,705188,656085,596440,378441,138553,239888
I,1.0,백화점,Headwear,방한모,WM,88023484,82504669,75004055,47844128,17365436,30478692
I,1.0,백화점,Headwear,비니,BN,104054819,98005495,89096129,56605001,23193556,33411445
I,1.0,백화점,Headwear,와이어캡,WR,798633,746673,678796,430402,155426,274976
I,1.0,백화점,Headwear,운동모,CP,85630845,80155862,72868918,46390466,18496277,27894189
I,1.0,백화점,Headwear,햇,HT,1089835,979526,890478,561003,242747,318256
I,1.0,백화점,Shoes,런닝화,RN,53117245,49792400,45265841,28883817,12876142,16007675
I,1.0,백화점,Shoes,방한화,WB,482889380,453778315,412525361,263320311,118994282,144326029
I,1.0,백화점,Shoes,스니커즈,SX,19874553,18639562,16945060,10805747,4537308,6268439
I,1.0,백화점,Shoes,신발,SH,81249772,75449512,68590411,43648820,18979571,24669249
I,1.0,백화점,과시즌의류,다운점퍼,DJ,26746057,13414546,12195059,7682310,4464813,3217497
I,1.0,백화점,과시즌의류,맨투맨,MT,1538591,769295,699355,440585,258953,181632
I,1.0,백화점,과시즌의류,반팔카라티셔츠,TS,913810,875812,796184,507355,213420,293935
I,1.0,백화점,과시즌의류,반팔티 & 스웨트팬츠,S1,756257,270536,245959,154954,102577,52377
I,1.0,백화점,과시즌의류,베이비,BV,1474483,1417101,1288270,817243,444494,372749
I,1.0,백화점,과시즌의류,스윔웨어,SW,-183631,-183631,-166937,-105171,-53483,-51688
I,1.0,백화점,과시즌의류,우븐반바지,SM,159727,127781,116164,73184,34622,38562
I,1.0,백화점,당시즌의류,다운베스트,DV,30915247,27713424,25194006,15965007,8536984,7428023
I,1.0,백화점,당시즌의류,다운점퍼,DJ,854925237,798172614,725611276,462307552,218077580,244229972
I,1.0,백화점,당시즌의류,레깅스,LG,3519418,3255837,2959842,1877429,1002178,875251
I,1.0,백화점,당시즌의류,맨투맨,MT,165579986,153920042,139927135,89030108,46241797,42788311
I,1.0,백화점,당시즌의류,맨투맨셋트,S2,236342131,220475803,200432402,127721513,65268381,62453132
I,1.0,백화점,당시즌의류,반팔카라티셔츠,TS,3951875,3564163,3240124,2046641,1108873,937768
I,1.0,백화점,당시즌의류,반팔티 & 스웨트팬츠,S1,3109779,2769062,2517316,1596111,873477,722634
I,1.0,백화점,당시즌의류,방풍자켓,WJ,151034,78418,71291,44914,38911,6003
I,1.0,백화점,당시즌의류,스커트,SK,96705,96705,87914,55386,27218,28168
I,1.0,백화점,당시즌의류,우븐팬츠,WP,94492955,87538600,79580560,50658337,24721630,25936707
I,1.0,백화점,당시즌의류,점퍼,JP,9565124,8727505,7934097,5019143,2499917,2519226
I,1.0,백화점,당시즌의류,진바지,DP,33735997,31195649,28359629,18040054,8272017,9768037
I,1.0,백화점,당시즌의류,패딩,PD,7601682,7214340,6558492,4150563,2168687,1981876
I,1.0,백화점,당시즌의류,팬츠,PT,84398668,78589716,71445197,45549739,23113239,22436500
I,1.0,백화점,당시즌의류,폴라폴리스점퍼,FD,9666176,8838042,8034585,5114749,2696725,2418024
I,1.0,백화점,당시즌의류,후드티,HD,37309744,34722467,31565862,20088595,10563101,9525494
I,1.0,백화점,차시즌의류,맨투맨,MT,6888889,6399821,5818005,3693816,1549685,2144131
I,1.0,백화점,차시즌의류,맨투맨셋트,S2,9411917,8574059,7794605,4964646,2099533,2865113
I,1.0,백화점,차시즌의류,점퍼,JP,12868314,11714632,10649656,6783575,2762999,4020576
I,1.0,백화점,차시즌의류,진바지,DP,829057,795938,723580,456931,221001,235930
I,1.0,백화점,차시즌의류,팬츠,PT,2866386,2687275,2442967,1551158,567944,983214
I,1.0,백화점,차시즌의류,후드티,HD,5142762,4840814,4400735,2788181,1121066,1667115
I,2.0,면세점,Acc_etc,기타,ET,633474,633474,575884,345528,179200,166328
I,2.0,면세점,Acc_etc,머플러(스카프),MF,6747634,6747656,6134230,3680523,1475062,2205461
I,2.0,면세점,Acc_etc,양말,SO,1749061,1749061,1590057,954025,431405,522620
I,2.0,면세점,Acc_etc,장갑,GL,212969,212969,193606,116164,38960,77204
I,2.0,면세점,Bag,백팩,BK,180213985,179309737,163008852,97805294,41251966,56553328
I,2.0,면세점,Bag,보조가방,UB,106484,106484,96803,58082,26423,31659
I,2.0,면세점,Bag,슬링백,SG,85839,85839,78036,46822,18829,27993
I,2.0,면세점,Bag,크로스백,CR,277789555,277789403,252535788,151520738,62150625,89370113
I,2.0,면세점,Headwear,방한모,WM,25275920,25140967,22855416,13713206,5008523,8704683
I,2.0,면세점,Headwear,비니,BN,79360217,79348819,72134931,43280889,17645758,25635131
I,2.0,면세점,Headwear,와이어캡,WR,2715352,2715352,2468477,1481086,534858,946228
I,2.0,면세점,Headwear,운동모,CP,81022678,81011932,73646887,44188066,16970195,27217871
I,2.0,면세점,Headwear,햇,HT,833403,833403,757648,454586,184440,270146
I,2.0,면세점,Shoes,런닝화,RN,11620925,11620925,10564441,6338662,2774617,3564045
I,2.0,면세점,Shoes,방한화,WB,11612233,11612233,10556529,6333886,2771354,3562532
I,2.0,면세점,Shoes,스니커즈,SX,10107326,10107326,9188440,5513056,2154848,3358208
I,2.0,면세점,Shoes,신발,SH,15665159,15665159,14241026,8544607,3623987,4920620
I,2.0,면세점,과시즌의류,베이비,BV,448756,448756,407965,244777,135281,109496
I,2.0,면세점,당시즌의류,다운베스트,DV,3020680,3020680,2746059,1647640,835567,812073
I,2.0,면세점,당시즌의류,다운점퍼,DJ,168116053,168116053,152832739,91699641,43252992,48446649
I,2.0,면세점,당시즌의류,레깅스,LG,85839,85839,78036,46822,24444,22378
I,2.0,면세점,당시즌의류,맨투맨,MT,30436067,30436078,27669164,16601404,8492695,8108709
I,2.0,면세점,당시즌의류,맨투맨셋트,S2,22575780,22575780,20523481,12314112,6068241,6245871
I,2.0,면세점,당시즌의류,반팔카라티셔츠,TS,192324,192324,174842,104905,58204,46701
I,2.0,면세점,당시즌의류,반팔티 & 스웨트팬츠,S1,518297,518297,471177,282706,145579,137127
I,2.0,면세점,당시즌의류,우븐팬츠,WP,3852997,3852997,3502698,2101620,982662,1118958
I,2.0,면세점,당시즌의류,점퍼,JP,1750473,1750473,1591337,954800,401583,553217
I,2.0,면세점,당시즌의류,진바지,DP,1453838,1453838,1321663,792997,344353,448644
I,2.0,면세점,당시즌의류,패딩,PD,2073186,2073186,1884709,1130825,591462,539363
I,2.0,면세점,당시즌의류,팬츠,PT,8506800,8506789,7733461,4640059,2334200,2305859
I,2.0,면세점,당시즌의류,폴라폴리스점퍼,FD,3473782,3473782,3157968,1894786,969136,925650
I,2.0,면세점,당시즌의류,후드티,HD,3234735,3234735,2940659,1764392,920815,843577
I,2.0,면세점,차시즌의류,맨투맨,MT,2930494,2930505,2664089,1598445,682965,915480
I,2.0,면세점,차시즌의류,맨투맨셋트,S2,2457834,2457834,2234399,1340636,547360,793276
I,2.0,면세점,차시즌의류,점퍼,JP,1578794,1578794,1435262,861157,338845,522312
I,2.0,면세점,차시즌의류,진바지,DP,236873,236873,215338,129203,63143,66060
I,2.0,면세점,차시즌의류,팬츠,PT,128216,128216,116561,69936,25613,44323
I,2.0,면세점,차시즌의류,후드티,HD,268384,268384,243985,146390,58238,88152
I,3.0,직영점(가두),Acc_etc,기타,ET,1407115,1407115,1279194,1279194,405147,874047
I,3.0,직영점(가두),Acc_etc,머플러(스카프),MF,474834,474834,431666,431666,97084,334582
I,3.0,직영점(가두),Acc_etc,양말,SO,444083,444083,403721,403721,106201,297520
I,3.0,직영점(가두),Acc_etc,장갑,GL,630214,630214,572918,572918,116387,456531
I,3.0,직영점(가두),Bag,가방,BG,107571,107571,97792,97792,27086,70706
I,3.0,직영점(가두),Bag,백팩,BK,12090326,11881073,10800974,10800974,2738893,8062081
I,3.0,직영점(가두),Bag,보조가방,UB,53242,53242,48402,48402,13212,35190
I,3.0,직영점(가두),Bag,슬링백,SG,85839,85839,78036,78036,18829,59207
I,3.0,직영점(가두),Bag,크로스백,CR,1817841,1817841,1652577,1652577,397157,1255420
I,3.0,직영점(가두),Bag,힙색,HS,128216,128216,116559,116559,25192,91367
I,3.0,직영점(가두),Headwear,방한모,WM,6241290,6219558,5654125,5654125,1246183,4407942
I,3.0,직영점(가두),Headwear,비니,BN,8099334,8066737,7333383,7333383,1806550,5526833
I,3.0,직영점(가두),Headwear,와이어캡,WR,212969,212969,193606,193606,42004,151602
I,3.0,직영점(가두),Headwear,운동모,CP,10615843,10586451,9624061,9624061,2252500,7371561
I,3.0,직영점(가두),Headwear,햇,HT,256432,256432,233118,233118,56751,176367
I,3.0,직영점(가두),Shoes,런닝화,RN,3442271,3442271,3129338,3129338,844649,2284689
I,3.0,직영점(가두),Shoes,방한화,WB,13539818,13539818,12308912,12308912,3418469,8890443
I,3.0,직영점(가두),Shoes,스니커즈,SX,596530,596530,542299,542299,148584,393715
I,3.0,직영점(가두),Shoes,신발,SH,5733859,5733859,5212594,5212594,1364002,3848592
I,3.0,직영점(가두),과시즌의류,베이비,BV,1218051,1218051,1107312,1107312,367193,740119
I,3.0,직영점(가두),당시즌의류,다운베스트,DV,2254644,2232913,2029926,2029926,626738,1403188
I,3.0,직영점(가두),당시즌의류,다운점퍼,DJ,41918998,41853803,38048905,38048905,10662969,27385936
I,3.0,직영점(가두),당시즌의류,레깅스,LG,85839,85839,78036,78036,24444,53592
I,3.0,직영점(가두),당시즌의류,맨투맨,MT,9439082,9439082,8580959,8580959,2695170,5885789
I,3.0,직영점(가두),당시즌의류,맨투맨셋트,S2,14542727,14520995,13200940,13200940,3997419,9203521
I,3.0,직영점(가두),당시즌의류,반팔카라티셔츠,TS,127129,127129,115574,115574,34140,81434
I,3.0,직영점(가두),당시즌의류,반팔티 & 스웨트팬츠,S1,518297,503780,457979,457979,145579,312400
I,3.0,직영점(가두),당시즌의류,우븐팬츠,WP,2604522,2597307,2361192,2361192,692251,1668941
I,3.0,직영점(가두),당시즌의류,점퍼,JP,809499,809499,735910,735910,219172,516738
I,3.0,직영점(가두),당시즌의류,진바지,DP,958360,947494,861359,861359,226437,634922
I,3.0,직영점(가두),당시즌의류,패딩,PD,1900421,1900421,1727650,1727650,542174,1185476
I,3.0,직영점(가두),당시즌의류,팬츠,PT,3559621,3559621,3236009,3236009,1005286,2230723
I,3.0,직영점(가두),당시즌의류,폴라폴리스점퍼,FD,151034,151034,137304,137304,42136,95168
I,3.0,직영점(가두),당시즌의류,후드티,HD,1397336,1385384,1259439,1259439,391117,868322
I,3.0,직영점(가두),차시즌의류,맨투맨,MT,598703,598703,544272,544272,137250,407022
I,3.0,직영점(가두),차시즌의류,맨투맨셋트,S2,582404,582404,529460,529460,130589,398871
I,3.0,직영점(가두),차시즌의류,점퍼,JP,194497,194497,176815,176815,47313,129502
I,3.0,직영점(가두),차시즌의류,진바지,DP,118437,118437,107670,107670,31572,76098
I,3.0,직영점(가두),차시즌의류,팬츠,PT,192324,192324,174839,174839,38419,136420
I,3.0,직영점(가두),차시즌의류,후드티,HD,290116,290116,263741,263741,65736,198005
I,4.0,자사몰,Acc_etc,기타,ET,5006831,4370033,3972765,3972765,1456974,2515791
I,4.0,자사몰,Acc_etc,머플러(스카프),MF,841009,709458,644962,644962,156911,488051
I,4.0,자사몰,Acc_etc,양말,SO,1612804,1133820,1030748,1030748,396050,634698
I,4.0,자사몰,Acc_etc,장갑,GL,2293761,1835422,1668562,1668562,532608,1135954
I,4.0,자사몰,Bag,가방,BG,215142,189118,171927,171927,54172,117755
I,4.0,자사몰,Bag,백팩,BK,50078093,40540253,36854757,36854757,11085360,25769397
I,4.0,자사몰,Bag,보조가방,UB,1118086,975365,886695,886695,277454,609241
I,4.0,자사몰,Bag,슬링백,SG,85839,76115,69195,69195,18829,50366
I,4.0,자사몰,Bag,크로스백,CR,993130,857319,779381,779381,199341,580040
I,4.0,자사몰,Headwear,방한모,WM,12054469,10548736,9589757,9589757,2454374,7135383
I,4.0,자사몰,Headwear,비니,BN,13496355,11294616,10267826,10267826,3081049,7186777
I,4.0,자사몰,Headwear,운동모,CP,4839607,4027637,3670521,3670521,1064847,2605674
I,4.0,자사몰,Headwear,햇,HT,115177,90566,82333,82333,21001,61332
