브랜드,M,M,M,M,M,M,M,M
Version,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R
채널,(브랜드) 백화점,(브랜드) 백화점,직영점(가두),직영점(가두),온라인(자사),대리점,대리점,대리점
매장,롯데쇼핑(주),(주)신세계,(주)에프앤에프 가로수길점(MLB),(주)에프앤에프 홍대점,(주)에프앤에프,원찬유통,엠엘비신제주점,엠엘비(MLB) 두타점
ID,155,82,524,526,954,649,744,6048
샵코드,100178,100467,100444,100466,100369,100027,100470,106047
TAG가 [v+],883205,103242,294489,200867,303120,244536,183101,160745
실판매액 [v+],851814,99573,272737,186030,253192,234145,175320,153914
실판매액 [v-],774376,90521,247943,169118,230175,212859,159382,139922
수수료차감매출 [v-],491729,57933,247943,169118,230175,117072,105192,93748
할인율(%),3.55,3.55,7.39,7.39,16.47,4.25,4.25,4.25
출고율(%),63.5,64,100,100,100,55,66,67
매출(출고),491729,57933,247943,169118,230175,117072,105192,93748
매출원가,147813,17279,49078,33475,50234,40913,30635,26894
재고평가감_환입,409,48,131,89,127,114,85,75
재고자산평가,-409,-48,-131,-89,-127,-114,-85,-75
원가,147405,17231,48947,33386,50107,40799,30549,26819
매출원가율(%),19.09,19.09,19.79,19.79,21.82,19.22,19.22,19.22
직접제조원가율(%),18.41,18.41,18.33,18.33,18.23,18.4,18.4,18.4
매출총이익,344325,40702,198996,135732,180068,76273,74643,66929
매출총이익율(%),44.46,44.96,80.26,80.26,78.23,35.83,46.83,47.83
지급수수료_중간관리수수료,32031,11252,,,,,,
지급수수료_중간관리수수료(직영),,,25670,16928,,,,
지급수수료_물류용역비,14517,1697,4648,3170,4315,3991,2988,2623
지급수수료_물류운송비,5149,602,1649,1125,1531,1415,1060,930
지급수수료_이천보관료,16265,1901,5208,3552,4835,4471,3348,2939
지급수수료_카드수수료,,,4463,3551,5524,,,
지급수수료_로열티,34421,4055,11281,7695,10473,8195,7363,6562
지급임차료_매장(고정),1875,,46350,33000,,,,
지급임차료_관리비,,,38080,3855,,,,
감가상각비_임차시설물,1538,1561,8567,5031,,,,
직접비,105797,21068,145916,77908,26677,18072,14759,13055
직접이익,238528,19634,53080,57824,153390,58201,59884,53874
직접이익율(%),30.8,21.69,21.41,34.19,66.64,27.34,37.57,38.5
영업비,78389,9173,40323,28250,46986,21506,16103,14137
영업이익,160139,10461,12757,29574,106405,36695,43781,39737
영업이익율(%),20.68,11.56,5.15,17.49,46.23,17.24,27.47,28.4
