브랜드,X,X,X,X,X,X,X,X,X,X,X,
Version,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,
채널,Unassigned,(브랜드) 백화점,(브랜드) 면세점,직영점(가두),온라인(자사),온라인(제휴),대리점,아울렛(직영),수출,직영(가두)2,아울렛(직영)2,
Measure units,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,
TAG가 [v+],100066607,25408835,4057071,796362,3852278,9504322,24065765,26366511,1302650,2726150,1986663,
실판매액 [v+],77086190,20362357,3700000,732000,3100000,8000000,21996569,15428122,586193,2502000,678950,
실판매액 [v-],70131645,18511234,3363636,665455,2818182,7272727,19996881,14025565,586193,2274545,617227,
수수료차감매출 [v-],55698333,12195907,2018182,665455,2818182,7272727,13224350,14025565,586193,2274545,617227,
할인율(%),22.97,19.86,8.8,8.08,19.53,15.83,8.6,41.49,55,8.22,65.82,
출고율(%),79.48,65.88,60,100,100,100,66.13,100,100,100,100,
매출(출고),55698333,12195907,2018182,665455,2818182,7272727,13224350,14025565,586193,2274545,617227,
매출원가,22588229,5754858,939541,184040,872361,2156220,5560172,5760565,319391,630017,411063,
재고평가감_환입,1969321,407637,,1786,52932,122334,58564,1109654,,5997,210418,
재고평가감_설정,810296,,,,,,,,,,,
재고자산평가,-1159025,-407637,,-1786,-52932,-122334,-58564,-1109654,,-5997,-210418,
원가,21429204,5347221,939541,182255,819429,2033886,5501609,4650911,319391,624020,200644,
매출원가율(%),32.23,31.09,27.93,27.66,30.95,29.65,27.81,41.07,59.93,27.7,66.6,
직접제조원가율(%),24.83,24.91,25.47,25.42,24.91,24.96,25.41,24.03,26.97,25.42,22.76,
매출총이익,34269129,6848686,1078641,483200,1998753,5238841,7722742,9374654,266801,1650525,416583,
매출총이익율(%),48.9,37,32.07,72.61,70.92,72.03,38.62,66.84,50.07,72.57,67.49,
지급수수료_중간관리수수료,1664334,1664334,,,,,,,,,,
지급수수료_중간관리수수료(직영),1169161,,,56343,,,,914787,,166226,31805,
지급수수료_판매사원도급비(직영),63331,,,63331,,,,,,,,
지급수수료_판매사원도급비(면세),99090,,99090,,,,,,,,,
지급수수료_물류용역비,647735,172411,31328,6198,26248,67737,186248,130632,,21185,5749,
지급수수료_물류운송비,92299,24568,4464,883,3740,9652,26539,18614,,3019,819,
지급수수료_이천보관료,668424,177918,32329,6396,27086,69901,192197,134804,,21861,5932,
지급수수료_카드수수료,245410,,,12645,81576,,,98179,,40047,12962,
지급수수료_온라인위탁판매수수료,1741025,,,,,1741025,,,,,,
지급수수료_로열티,1471645,388736,70636,13975,59182,152727,419934,294537,11191,47765,12962,
지급임차료_매장(변동),3137098,,,35717,,,,2669747,,431635,,
지급임차료_매장(고정),160770,770,,160000,,,,,,,,
지급임차료_관리비,181551,,,,,,,147697,,33854,,
감가상각비_임차시설물,199781,90382,2971,2,,,,86053,,20372,2,
직접비,11541654,2519117,240818,355489,197833,2041042,824918,4495050,11191,785965,70231,
직접이익,22727476,4329568,837822,127711,1800920,3197799,6897824,4879604,255610,864561,346352,
직접이익율(%),32.41,23.39,24.91,19.19,63.9,43.97,34.49,34.79,43.61,38.01,56.11,
일반 관리비,6262834,1440988,261839,109276,496529,633723,1547007,1098495,2297,369644,61068,
영업이익,16464641,2888581,575984,18435,1304391,2564077,5350816,3781110,253313,494916,285284,
영업이익율(%),23.49,15.6,17.12,2.77,46.28,35.26,26.76,26.96,47.53,21.76,46.22,
