브랜드,Version,채널,TAG가 [v+],실판매액 [v+],실판매액 [v-],수수료차감매출 [v-],할인율(%),출고율(%),매출(출고),매출원가,재고평가감_환입,재고평가감_설정,재고자산평가,매출원가(환입후),매출원가율(%),직접제조원가율(%),매출총이익,매출총이익율(%),지급수수료_중간관리수수료,지급수수료_중간관리수수료(직영),지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_물류운송비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(변동),지급임차료_매장(고정),지급임차료_관리비,감가상각비_임차시설물,직접비,직접이익,직접이익율(%),영업비,영업이익,영업이익율(%),원가
I,F12_2025_R,내수합계,"8,998,533,000","8,385,000,000","7,622,728,000","5,580,645,000",6.8,73.2,"5,580,645,000",2256661000.0,"20,706,000","73,691,000","52,985,000","2,309,647,000",30.3,28.2,"3,270,998,000",42.9,"454,449,000","43,168,000","14,174,000","113,408,000","153,247,000","30,324,000","170,938,000","4,347,000","311,174,000","293,660,000","103,343,000","1,275,000","13,483,000","46,097,000","1,753,086,000","1,517,913,000",19.9,"938,336,000","579,577,000",7.6,
I,F12_2025_R,백화점,"4,419,726,000","4,236,000,000","3,850,909,000","2,453,400,000",4.2,63.7,"2,453,400,000",1112498000.0,0,0,,"1,112,498,000",28.9,27.7,"1,340,901,000",34.8,"454,449,000",,,,"77,418,000","15,319,000","86,356,000",,,"147,204,000",,,,"37,042,000","817,789,000","523,113,000",13.6,"420,341,000","102,772,000",2.7,
I,F12_2025_R,면세점,"985,764,000","956,000,000","869,091,000","521,455,000",3.0,60.0,"521,455,000",248219000.0,0,0,,"248,219,000",28.6,27.7,"273,235,000",31.4,,,,"113,408,000","17,472,000","3,457,000","19,489,000",,,"31,287,000",,"1,275,000",,"2,153,000","188,542,000","84,694,000",9.8,"94,862,000","-10,168,000",-1.2,
I,F12_2025_R,직영점(가두),"210,642,000","204,000,000","185,455,000","185,455,000",3.1,100.0,"185,455,000",53035000.0,0,0,,"53,035,000",28.6,27.7,"132,419,000",71.4,,,"14,174,000",,"3,728,000","738,000","4,159,000",,,"7,233,000","15,981,000",,,"1,048,000","47,060,000","85,359,000",46.0,"33,278,000","52,081,000",28.1,
I,F12_2025_R,대리점,"975,376,000","936,000,000","850,909,000","553,972,000",4.0,65.1,"553,972,000",245535000.0,0,0,,"245,535,000",28.9,27.7,"308,438,000",36.2,,,,,"17,107,000","3,385,000","19,081,000",,,"33,238,000",,,,,"72,811,000","235,626,000",27.7,"92,550,000","143,076,000",16.8,
I,F12_2025_R,제휴몰,"1,201,264,000","1,165,000,000","1,059,091,000","1,059,091,000",3.0,100.0,"1,059,091,000",302483000.0,0,0,,"302,483,000",28.6,27.7,"756,608,000",71.4,,,,,"21,292,000","4,213,000","23,750,000",,"311,174,000","41,305,000",,,,,"401,734,000","354,874,000",33.5,"123,112,000","231,761,000",21.9,
I,F12_2025_R,자사몰,"420,389,000","385,000,000","350,000,000","350,000,000",8.4,100.0,"350,000,000",105560000.0,0,0,,"105,560,000",30.2,27.6,"244,440,000",69.8,,,,,"7,036,000","1,392,000","7,849,000",,,"13,650,000",,,,,"29,927,000","214,512,000",61.3,"71,807,000","142,706,000",40.8,
I,F12_2025_R,직영몰,"417,073,000","403,000,000","366,364,000","366,364,000",3.4,100.0,"366,364,000",105010000.0,0,0,,"105,010,000",28.7,27.7,"261,354,000",71.3,,"43,168,000",,,"7,365,000","1,457,000","8,216,000","4,347,000",,"14,288,000","87,362,000",,"13,483,000","5,853,000","185,540,000","75,814,000",20.7,"65,965,000","9,849,000",2.7,
I,F12_2025_R,사입,"368,298,000","100,000,000","90,909,000","90,909,000",72.8,100.0,"90,909,000",84321000.0,"20,706,000",0,"-20,706,000","63,615,000",70.0,19.0,"27,294,000",30.0,,,,,"1,828,000","362,000","2,039,000",,,"5,455,000",,,,,"9,682,000","17,611,000",19.4,"9,888,000","7,724,000",8.5,
M,F12_2025_R,내수합계,"32,972,783,000","31,479,096,000","28,617,360,000","20,567,754,000",4.5,71.9,"20,567,754,000",5518007000.0,"28,976,000","164,433,000","135,457,000","5,653,464,000",19.8,18.9,"14,914,290,000",52.1,"741,538,000","69,800,000","178,661,000","519,364,000","536,495,000","190,294,000","601,071,000","94,924,000","517,906,000","1,288,823,000","150,676,000","589,357,000","84,480,000","194,895,000","5,758,283,000","9,156,007,000",32.0,"3,344,644,000","5,811,363,000",20.3,
