브랜드,아이템_중분류, 실판매액 
M,당시즌의류,"11,304,000"
M,과시즌의류,"388,065"
M,차시즌의류,942000
M,Headwear,"10,519,000"
M,Bag,"2,669,000"
M,Shoes,"5,657,032"
M,Acc_etc,
I,당시즌의류,"4,899,995"
I,과시즌의류,
I,차시즌의류,164006
I,Headwear,"1,039,001"
I,Bag,"949,999"
I,Shoes,"1,331,999"
I,Acc_etc,
X,당시즌의류,"52,899,998"
X,과시즌의류,"15,189,285"
X,차시즌의류,
X,Headwear,"731,285"
X,Bag,"2,780,602"
X,Shoes,"4,279,716"
X,Acc_etc,"619,111"
V,당시즌의류,"4,612,899"
V,과시즌의류,"1,757,452"
V,차시즌의류,
V,Headwear,"26,625"
V,Bag,"157,566"
V,Shoes,"198,739"
V,Acc_etc,"46,719"
ST,당시즌의류,"303,998"
ST,과시즌의류,"409,999"
ST,차시즌의류,
ST,Headwear,"16,000"
ST,Bag,
ST,Shoes,"56,002"
ST,Acc_etc,14001
