브랜드,유통채널,지급수수료_중간관리수수료,지급수수료_중간관리수수료(직영),지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_물류운송비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급임차료_매장(변동),지급임차료_관리비
I,1,11.80%,0%,0%,0%,2.01%,0.40%,2.24%,0%,0%,0%,0%
I,2,0%,0%,0%,13.05%,2.01%,0.40%,2.24%,0%,0%,0%,0%
I,3,0%,0%,7.64%,0%,2.01%,0.40%,2.24%,0%,0%,8.62%,0%
I,4,0%,0%,0%,0%,2.01%,0.40%,2.24%,0%,0%,0%,0%
I,5,0%,0%,0%,0%,2.01%,0.40%,2.24%,0%,29.38%,0%,0%
I,6,0%,0%,0%,0%,2.01%,0.40%,2.24%,0%,0%,0%,0%
I,8,0%,0%,0%,0%,2.01%,0.40%,2.24%,0%,0%,0%,0%
I,11,0%,11.78%,0%,0%,2.01%,0.40%,2.24%,1.19%,0%,23.85%,3.68%
I,99,0%,0%,0%,0%,2.01%,0.40%,0%,0%,0%,0%,0%
M,1,9.77%,0%,0%,0%,1.87%,0.66%,2.10%,0%,0%,0%,0%
M,2,0%,0%,0%,5.39%,1.87%,0.66%,2.10%,0%,0%,0%,0%
M,3,0%,0%,6.85%,0%,1.87%,0.66%,2.10%,2.30%,0%,0.71%,2.03%
M,4,0%,0%,0%,0%,1.87%,0.66%,2.10%,3.46%,0%,0%,0%
M,5,0%,0%,0%,0%,1.87%,0.66%,2.10%,0%,24.74%,0%,0%
M,6,0%,0%,0%,0%,1.87%,0.66%,2.10%,0%,0%,0%,0%
M,8,0%,0%,0%,0%,1.87%,0.66%,2.10%,0%,0%,0%,0%
M,11,0%,11.90%,0%,0%,1.87%,0.66%,2.10%,0.82%,0%,22.54%,5.40%
M,99,0%,0%,0%,0%,1.87%,0.66%,0%,0%,0%,0%,0%
ST,1,25.00%,0%,0%,0%,3.01%,3.31%,5.21%,0%,0%,0%,0%
ST,2,0%,0%,0%,19.17%,3.01%,3.31%,5.22%,0%,0%,0%,0%
ST,3,0%,0%,24.06%,0%,3.01%,3.31%,5.22%,0%,0%,3.50%,0%
ST,4,0%,0%,0%,0%,3.01%,3.31%,5.22%,3.10%,0%,0%,0%
ST,5,0%,0%,0%,0%,3.01%,3.31%,5.22%,0%,31.78%,0%,0%
ST,7,0%,19.20%,0%,0%,3.01%,3.32%,5.22%,0%,0%,12.04%,1.22%
ST,11,0%,14.25%,0%,0%,3.01%,3.32%,5.22%,1.16%,0%,30.43%,4.33%
V,1,7.80%,0%,0%,0%,0.42%,0.52%,0.88%,0%,0%,0%,0%
V,3,0%,0%,0%,0%,0.42%,0.52%,0.88%,0%,0%,21.00%,0%
V,4,0%,0%,0%,0%,0.42%,0.52%,0.88%,2.60%,0%,0%,0%
V,5,0%,0%,0%,0%,0.42%,0.52%,0.88%,20.91%,0%,0%,0%
V,7,0%,10.95%,0%,0%,0.42%,0.52%,0.88%,0.10%,0%,10.80%,1.05%
V,11,0%,7.94%,0%,0%,0.42%,0.52%,0.88%,1.81%,0%,20.00%,1.70%
W,4,0%,0%,0%,0%,9.20%,8.16%,5.68%,2.41%,0%,0%,0%
W,5,0%,0%,0%,0%,9.20%,8.16%,5.68%,0%,28.47%,0%,0%
X,1,8.99%,0%,0%,0%,0.93%,0.13%,0.96%,0%,0%,0%,0%
X,2,0%,0%,0%,2.95%,0.93%,0.13%,0.96%,0%,0%,0%,0%
X,3,0%,8.47%,9.52%,0%,0.93%,0.13%,0.96%,1.90%,0%,5.37%,0%
X,4,0%,0%,0%,0%,0.93%,0.13%,0.96%,2.89%,0%,0%,0%
X,5,0%,0%,0%,0%,0.93%,0.13%,0.96%,0%,23.94%,0%,0%
X,6,0%,0%,0%,0%,0.93%,0.13%,0.96%,0%,0%,0%,0%
X,7,0%,6.52%,0%,0%,0.93%,0.13%,0.96%,0.70%,0%,19.03%,1.05%
X,11,0%,7.31%,0%,0%,0.93%,0.13%,0.96%,1.76%,0%,18.98%,1.49%
X,12,0%,5.15%,0%,0%,0.93%,0.13%,0.96%,2.10%,0%,0%,0%
