브랜드코드,채널명,아이템_중분류,제품계층3(소분류),아이템코드,TAG매출액,실매출액,부가세제외 실판매액,매출원가 ( 환입후매출원가+평가감(추가) ),매출총이익,지급수수료_중간관리수수료,지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(고정),감가상각비_임차시설물,직접비 합계,직접이익
I,공통,Acc_etc,PET,PE,0,0,0,722164,-722164,0,0,0,0,0,0,0,0,0,0,0,-722164
I,공통,Acc_etc,고글,GG,0,0,0,189360,-189360,0,0,0,0,0,0,0,0,0,0,0,-189360
I,공통,Acc_etc,기타,ET,0,0,0,2380134,-2380134,0,0,0,0,0,0,0,0,0,0,0,-2380134
I,공통,Acc_etc,머플러(스카프),MF,0,0,0,423033,-423033,0,0,0,0,0,0,0,0,0,0,0,-423033
I,공통,Acc_etc,장갑,GL,0,0,0,828655,-828655,0,0,0,0,0,0,0,0,0,0,0,-828655
I,공통,Bag,백팩,BK,0,0,0,66625,-66625,0,0,0,0,0,0,0,0,0,0,0,-66625
I,공통,Bag,크로스백,CR,0,0,0,91260,-91260,0,0,0,0,0,0,0,0,0,0,0,-91260
I,공통,Headwear,방한모,WM,0,0,0,3970632,-3970632,0,0,0,0,0,0,0,0,0,0,0,-3970632
I,공통,Headwear,비니,BN,0,0,0,4228218,-4228218,0,0,0,0,0,0,0,0,0,0,0,-4228218
I,공통,Headwear,선캡,SC,0,0,0,139301,-139301,0,0,0,0,0,0,0,0,0,0,0,-139301
I,공통,Headwear,와이어캡,WR,0,0,0,11154,-11154,0,0,0,0,0,0,0,0,0,0,0,-11154
I,공통,Headwear,운동모,CP,0,0,0,341459,-341459,0,0,0,0,0,0,0,0,0,0,0,-341459
I,공통,Headwear,햇,HT,0,0,0,1088726,-1088726,0,0,0,0,0,0,0,0,0,0,0,-1088726
I,공통,Shoes,뮬,MU,0,0,0,37148,-37148,0,0,0,0,0,0,0,0,0,0,0,-37148
I,공통,Shoes,방한화,WB,0,0,0,12874354,-12874354,0,0,0,0,0,0,0,0,0,0,0,-12874354
I,공통,Shoes,샌들,SD,0,0,0,279084,-279084,0,0,0,0,0,0,0,0,0,0,0,-279084
I,공통,Shoes,스니커즈,SX,0,0,0,1042120,-1042120,0,0,0,0,0,0,0,0,0,0,0,-1042120
I,공통,Shoes,신발,SH,0,0,0,122164,-122164,0,0,0,0,0,0,0,0,0,0,0,-122164
I,공통,과시즌의류,니트가디건,KC,0,0,0,3412966,-3412966,0,0,0,0,0,0,0,0,0,0,0,-3412966
I,공통,과시즌의류,니트풀오버,KP,0,0,0,2330062,-2330062,0,0,0,0,0,0,0,0,0,0,0,-2330062
I,공통,과시즌의류,다운베스트,DV,0,0,0,145293,-145293,0,0,0,0,0,0,0,0,0,0,0,-145293
I,공통,과시즌의류,다운점퍼,DJ,0,0,0,25176892,-25176892,0,0,0,0,0,0,0,0,0,0,0,-25176892
I,공통,과시즌의류,레깅스,LG,0,0,0,263538,-263538,0,0,0,0,0,0,0,0,0,0,0,-263538
I,공통,과시즌의류,맨투맨,MT,0,0,0,8533461,-8533461,0,0,0,0,0,0,0,0,0,0,0,-8533461
I,공통,과시즌의류,맨투맨셋트,S2,0,0,0,3268492,-3268492,0,0,0,0,0,0,0,0,0,0,0,-3268492
I,공통,과시즌의류,반바지,SP,0,0,0,50910,-50910,0,0,0,0,0,0,0,0,0,0,0,-50910
I,공통,과시즌의류,반팔카라티셔츠,TS,0,0,0,1607506,-1607506,0,0,0,0,0,0,0,0,0,0,0,-1607506
I,공통,과시즌의류,반팔티 & 스웨트팬츠,S1,0,0,0,1222830,-1222830,0,0,0,0,0,0,0,0,0,0,0,-1222830
I,공통,과시즌의류,방풍자켓,WJ,0,0,0,4111678,-4111678,0,0,0,0,0,0,0,0,0,0,0,-4111678
I,공통,과시즌의류,보드바지,BP,0,0,0,470868,-470868,0,0,0,0,0,0,0,0,0,0,0,-470868
I,공통,과시즌의류,스윔웨어,SW,0,0,0,113954,-113954,0,0,0,0,0,0,0,0,0,0,0,-113954
I,공통,과시즌의류,스커트,SK,0,0,0,1857737,-1857737,0,0,0,0,0,0,0,0,0,0,0,-1857737
I,공통,과시즌의류,우븐반바지,SM,0,0,0,179285,-179285,0,0,0,0,0,0,0,0,0,0,0,-179285
I,공통,과시즌의류,우븐셔츠,WS,0,0,0,1503665,-1503665,0,0,0,0,0,0,0,0,0,0,0,-1503665
I,공통,과시즌의류,우븐팬츠,WP,0,0,0,7442716,-7442716,0,0,0,0,0,0,0,0,0,0,0,-7442716
I,공통,과시즌의류,원피스,OP,0,0,0,5034343,-5034343,0,0,0,0,0,0,0,0,0,0,0,-5034343
I,공통,과시즌의류,점퍼,JP,0,0,0,18918154,-18918154,0,0,0,0,0,0,0,0,0,0,0,-18918154
I,공통,과시즌의류,진바지,DP,0,0,0,208694,-208694,0,0,0,0,0,0,0,0,0,0,0,-208694
I,공통,과시즌의류,진자켓,DK,0,0,0,1637761,-1637761,0,0,0,0,0,0,0,0,0,0,0,-1637761
I,공통,과시즌의류,트레이닝 세트,S5,0,0,0,1095829,-1095829,0,0,0,0,0,0,0,0,0,0,0,-1095829
I,공통,과시즌의류,트레이닝(상의),TR,0,0,0,933315,-933315,0,0,0,0,0,0,0,0,0,0,0,-933315
I,공통,과시즌의류,트레이닝(하의),TP,0,0,0,608390,-608390,0,0,0,0,0,0,0,0,0,0,0,-608390
I,공통,과시즌의류,팬츠,PT,0,0,0,7872752,-7872752,0,0,0,0,0,0,0,0,0,0,0,-7872752
I,공통,과시즌의류,폴라폴리스점퍼,FD,0,0,0,844139,-844139,0,0,0,0,0,0,0,0,0,0,0,-844139
I,공통,과시즌의류,폴로 티셔츠,PQ,0,0,0,1073089,-1073089,0,0,0,0,0,0,0,0,0,0,0,-1073089
I,공통,과시즌의류,후드티,HD,0,0,0,1231861,-1231861,0,0,0,0,0,0,0,0,0,0,0,-1231861
I,기타,Acc_etc,PET,PE,166000,0,0,-47908,47908,0,0,0,0,0,0,0,0,0,0,0,47908
I,기타,Acc_etc,고글,GG,89000,0,0,20649,-20649,0,0,0,0,0,0,0,0,0,0,0,-20649
I,기타,Acc_etc,기타,ET,0,0,0,-6427,6427,0,0,0,0,0,0,0,0,0,0,0,6427
I,기타,Acc_etc,머플러(스카프),MF,118000,59000,53636,26003,27633,0,0,0,0,1145,0,0,3218,0,0,4363,23270
I,기타,Acc_etc,양말,SO,1268900,321970,292699,263194,29505,0,0,0,0,6135,0,0,17560,0,0,23695,5810
I,기타,Acc_etc,장갑,GL,266000,29500,26818,30851,-4033,0,0,0,0,1061,0,0,1609,0,0,2670,-6703
I,기타,Bag,가방,BG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,기타,Bag,백팩,BK,15175000,719190,653809,3704896,-3051087,0,0,0,0,14014,0,0,39229,0,0,53243,-3104330
I,기타,Bag,버킷백,BM,89000,0,0,4855,-4855,0,0,0,0,0,0,0,0,0,0,0,-4855
I,기타,Bag,보조가방,UB,1199000,24960,22691,320910,-298219,0,0,0,0,625,0,0,1361,0,0,1986,-300205
