브랜드코드,카테고리,아이템,아이템명,판매수량,판매매출,전년비,비중,4주평균판매량,재고,재고금액,재고주수,전년재고주수,재고주수차이(당년-전년)
A,Bag,BW,보스톤백,0,0,,0%,0,0,71400,,,
A,Acc_etc,AC,기타소품류,0,0,,0%,0,0,-26604,,,
A,Bag,CR,크로스백,0,0,,0%,0,-1,2530500,,,
A,Acc_etc,FN,패니팩,0,0,,0%,0,-10,-1800000,,,
A,Headwear,HT,햇,0,0,,0%,0,0,17700,,,
A,Headwear,CP,운동모,0,0,,0%,0,-1,77700,,,
A,Bag,SG,슬링백,0,0,,0%,0,-1,-198000,,,
A,Bag,MR,메신저백,0,0,,0%,0,-3,-231198,,,
A,Bag,BG,가방,0,0,,0%,0,-3,-774638,,,
A,Bag,BK,백팩,0,0,,0%,0,-3,-750900,,,
I,Bag,CR,크로스백,6986,561112858,375%,52%,3523,52118,3821370800,14.8,38.0,-23.2
I,Bag,BK,백팩,1631,247238757,81%,23%,1640,62000,10777442863,37.8,49.5,-11.7
I,Headwear,CP,운동모,2176,79660875,164%,7%,1730,178712,7529804226,103.3,103.5,-0.2
I,Headwear,BN,비니,972,39005579,92%,4%,1360,15589,636143400,11.5,16.5,-5.0
I,Shoes,WB,방한화,427,38378415,84%,4%,950,18499,1741844000,19.5,19.3,0.2
I,Shoes,RN,런닝화,341,32173337,91%,3%,286,48979,4642075442,171.3,67.1,104.2
I,Shoes,SH,신발,348,28473722,43%,3%,422,55396,5477935525,131.3,86.5,44.8
I,Headwear,WM,방한모,334,21647212,97%,2%,509,10867,712099559,21.3,16.8,4.5
I,Shoes,SX,스니커즈,189,17396722,32%,2%,149,22552,2094276873,151.4,95.7,55.7
I,Bag,UB,보조가방,120,5549396,246%,1%,135,5524,272891600,40.9,168.9,-128.0
I,Acc_etc,SO,양말,287,4521971,120%,0%,418,82952,997678673,198.4,223.3,-24.8
I,Acc_etc,ET,기타,39,3247530,359%,0%,58,9371,321046100,161.6,210.3,-48.7
I,Acc_etc,MF,머플러(스카프),34,2035370,71%,0%,47,1026,62046000,21.8,22.1,-0.3
I,Acc_etc,GL,장갑,27,1520113,46%,0%,61,6029,343856000,98.8,67.0,31.8
I,Bag,BG,가방,42,1377750,55%,0%,56,2611,86281000,46.6,30.5,16.1
I,Headwear,WR,와이어캡,20,965200,89%,0%,24,2777,137349000,115.7,190.4,-74.7
I,Bag,SG,슬링백,10,783361,31%,0%,20,3205,247798200,160.3,115.3,44.9
I,Headwear,HT,햇,9,478400,84%,0%,5,17698,1057863692,3539.6,3583.2,-43.6
I,Bag,HS,힙색,4,230100,79%,0%,5,1785,105319800,357.0,1213.0,-856.0
I,Shoes,CV,캔버스화,0,0,,0%,0,-6,-403200,,,
I,Acc_etc,PE,PET,0,0,0%,0%,0,-5,-186600,,323.5,
I,Bag,BM,버킷백,0,0,,0%,0,1,90600,,,
I,Acc_etc,ML,토시,0,0,,0%,0,884,20331000,,,
I,Headwear,SC,선캡,0,0,,0%,0,11568,471961800,,,
I,Acc_etc,GG,고글,0,0,,0%,0,7,623000,,,
I,Shoes,LP,슬리퍼,0,0,,0%,0,643,31398600,,,
I,Shoes,SD,샌들,0,0,,0%,0,24172,1681863000,,,
I,Shoes,MU,뮬,0,0,,0%,0,-2,-121600,,,
M,Headwear,CP,운동모,50556,1889184803,101%,37%,49701,1338219,53558956076,26.9,17.9,9.0
M,Shoes,SX,스니커즈,6875,950827157,76%,19%,7125,281500,42236763441,39.5,36.5,3.0
M,Headwear,BN,비니,17906,782174942,333%,15%,19855,81022,3613120878,4.1,11.4,-7.3
M,Shoes,SH,신발,8326,763160462,247%,15%,6071,269852,34719275019,44.4,118.7,-74.2
M,Bag,CR,크로스백,925,103056326,218%,2%,497,46303,5162344967,93.2,176.6,-83.5
M,Bag,BM,버킷백,750,96268815,517%,2%,527,29762,3957949800,56.5,35.9,20.5
M,Shoes,RN,런닝화,663,92051454,29%,2%,676,111218,15947519672,164.5,29.6,134.9
M,Bag,BQ,숄더백,833,88677688,18%,2%,1864,117141,14053168620,62.8,37.7,25.1
M,Shoes,WB,방한화,732,81157082,115%,2%,985,24104,2720525642,24.5,19.3,5.2
M,Bag,OR,쇼퍼백,318,50998721,53%,1%,657,17214,2651620717,26.2,31.0,-4.8
M,Headwear,HT,햇,785,47848848,79%,1%,955,43529,2636939169,45.6,91.8,-46.2
M,Headwear,WM,방한모,636,47691545,262%,1%,840,5958,450500642,7.1,41.2,-34.1
M,Acc_etc,MF,머플러(스카프),277,25915688,132%,1%,297,4267,422884200,14.4,34.1,-19.7
M,Bag,HS,힙색,243,19147652,126%,0%,182,12533,1229394126,68.9,102.8,-33.9
M,Acc_etc,SO,양말,501,8659893,102%,0%,779,79372,1261109930,101.9,124.2,-22.4
M,Acc_etc,PO,파우치,260,8593713,138%,0%,302,13388,477090000,44.3,46.8,-2.4
