브랜드,ST,ST,ST,ST,ST,ST,ST,ST
Version,F01_2026_R,F01_2026_R,F01_2026_R,F01_2026_R,F01_2026_R,F01_2026_R,F01_2026_R,F01_2026_R
채널,Unassigned,(브랜드) 백화점,(브랜드) 면세점,직영점(가두),온라인(자사),온라인(제휴),아울렛(직영),직영(가두)2
Measure units,합계,합계,합계,합계,합계,합계,합계,합계
TAG가 [v+],942976,15236,102832,116388,178006,253881,72572,204060
실판매액 [v+],670000,10000,75000,85000,130000,180000,40000,150000
실판매액 [v-],609091,9091,68182,77273,118182,163636,36364,136364
수수료차감매출 [v-],576782,6100,38864,77273,118182,163636,36364,136364
할인율(%),28.95,34.36,27.07,26.97,26.97,29.1,44.88,26.49
출고율(%),94.7,67.1,57,100,100,100,100,100
매출(출고),576782,6100,38864,77273,118182,163636,36364,136364
매출원가,233044,3759,25426,28778,44013,62760,18073,50235
재고평가감_환입,34416,514,3853,4366,6678,9246,4403,5357
재고평가감_설정,131692,,,,,,,
재고자산평가,97275,-514,-3853,-4366,-6678,-9246,-4403,-5357
원가,330319,3245,21573,24411,37335,53514,13670,44878
매출원가율(%),38.26,41.35,37.29,37.24,37.24,38.35,49.7,36.84
직접제조원가율(%),27.19,27.14,27.2,27.2,27.2,27.19,27.39,27.08
매출총이익,246462,2854,17291,52861,80847,110122,22694,91485
매출총이익율(%),40.46,31.4,25.36,68.41,68.41,67.3,62.41,67.09
지급수수료_중간관리수수료,2273,2273,,,,,,
지급수수료_중간관리수수료(직영),36998,,,,,,10574,26424
지급수수료_판매사원도급비(직영),19114,,,19114,,,,
지급수수료_판매사원도급비(면세),14432,,14432,,,,,
지급수수료_물류용역비,28819,430,3226,3656,5592,7742,1721,6452
지급수수료_물류운송비,44068,658,4933,5591,8551,11839,2631,9866
지급수수료_이천보관료,37935,566,4246,4813,7360,10191,2265,8493
지급수수료_카드수수료,5242,,,,3664,,,1578
지급수수료_온라인위탁판매수수료,52002,,,,,52002,,
지급수수료_로열티,21927,327,2455,2782,4255,5891,1309,4909
지급임차료_매장(변동),52863,,,2705,,,4378,45781
지급임차료_매장(고정),3635,,,,,,,3635
지급임차료_관리비,9674,,,,,,1612,8062
감가상각비_임차시설물,27098,8628,2948,,,,2198,13324
직접비,356080,12882,32240,38660,29421,87666,26687,128524
직접이익,-109617,-10028,-14949,14202,51426,22456,-3993,-37039
직접이익율(%),-18,-110.3,-21.93,18.38,43.51,13.72,-10.98,-27.16
일반 관리비,597035,8394,62957,79724,114130,157563,33577,140690
영업이익,-706652,-18422,-77906,-65522,-62704,-135108,-37570,-177728
영업이익율(%),-116.02,-202.64,-114.26,-84.79,-53.06,-82.57,-103.32,-130.33
