브랜드,V,V,V,V,V,V,V
Version,F01_2026_R,F01_2026_R,F01_2026_R,F01_2026_R,F01_2026_R,F01_2026_R,F01_2026_R
채널,Unassigned,(브랜드) 백화점,직영점(가두),온라인(자사),온라인(제휴),아울렛(직영),직영(가두)2
Measure units,합계,합계,합계,합계,합계,합계,합계
TAG가 [v+],6020143,2307020,62074,313822,1029964,2002232,305031
실판매액 [v+],3800000,1810000,40000,200000,700000,855000,195000
실판매액 [v-],3454545,1645455,36364,181818,636364,777273,177273
수수료차감매출 [v-],3099140,1290049,36364,181818,636364,777273,177273
할인율(%),36.88,21.54,35.56,36.27,32.04,57.3,36.07
출고율(%),89.71,78.4,100,100,100,100,100
매출(출고),3099140,1290049,36364,181818,636364,777273,177273
매출원가,1217155,480904,12503,63327,209146,389709,61567
재고평가감_환입,249216,44944,2513,12687,36154,140669,12248
재고평가감_설정,89414,,,,,,
재고자산평가,-159802,-44944,-2513,-12687,-36154,-140669,-12248
원가,1057353,435960,9989,50640,172991,249040,49319
매출원가율(%),35.23,29.23,34.38,34.83,32.87,50.14,34.73
직접제조원가율(%),22.24,22.93,22.16,22.2,22.34,21.41,22.2
매출총이익,2041787,854088,26374,131178,463372,528233,127954
매출총이익율(%),59.1,51.91,72.53,72.15,72.82,67.96,72.18
지급수수료_중간관리수수료,181596,181596,,,,,
지급수수료_중간관리수수료(직영),127636,,,,,105133,22503
지급수수료_물류용역비,17065,8128,180,898,3144,3840,876
지급수수료_물류운송비,44940,21406,473,2365,8278,10111,2306
지급수수료_이천보관료,54502,25960,574,2869,10040,12263,2797
지급수수료_카드수수료,141808,,,4727,133070,794,3217
지급수수료_로열티,86364,41136,909,4545,15909,19432,4432
지급임차료_매장(변동),130838,,7636,,,83960,39242
지급임차료_관리비,17842,,,,,12053,5789
감가상각비_임차시설물,29415,18059,,,,4168,7188
직접비,832007,296286,9772,15405,170441,251755,88349
직접이익,1209780,557802,16602,115774,292931,276479,39605
직접이익율(%),35.02,33.9,45.66,63.68,46.03,35.57,22.34
일반 관리비,662180,287884,15158,33167,116084,135990,73897
영업이익,547600,269918,1444,82607,176847,140489,-34292
영업이익율(%),15.85,16.4,3.97,45.43,27.79,18.07,-19.34
