브랜드,X,X,X,X,X,X,X,X,X,X,X
Version,F01_2026_R,F01_2026_R,F01_2026_R,F01_2026_R,F01_2026_R,F01_2026_R,F01_2026_R,F01_2026_R,F01_2026_R,F01_2026_R,F01_2026_R
채널,Unassigned,(브랜드) 백화점,(브랜드) 면세점,직영점(가두),온라인(자사),온라인(제휴),대리점,아울렛(직영),수출,직영(가두)2,아울렛(직영)2
Measure units,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
TAG가 [v+],54745264,15540904,2115949,373654,1313666,6146995,11661641,11538704,3497560,1441038,1115154
실판매액 [v+],42073901,11959240,1900000,346000,1164983,4880017,10653082,7890940,1573902,1314000,391737
실판매액 [v-],38392083,10872036,1727273,314545,1059075,4436379,9684620,7173582,1573902,1194545,356125
수수료차감매출 [v-],30712069,7162912,1036364,314545,1059075,4436379,6404640,7173582,1573902,1194545,356125
할인율(%),23.15,23.05,10.21,7.4,11.32,20.61,8.65,31.61,55,8.82,64.87
출고율(%),80.3,65.88,60,100,100,100,66.13,100,100,100,100
매출(출고),30712069,7162912,1036364,314545,1059075,4436379,6404640,7173582,1573902,1194545,356125
매출원가,12407890,3503021,485515,85960,300650,1387828,2681450,2548955,852029,331188,231293
재고평가감_환입,941539,338766,,857,,108366,33698,361402,,4992,93459
재고평가감_설정,626057,,,,,,,,,,
재고자산평가,-315482,-338766,,-857,,-108366,-33698,-361402,,-4992,-93459
원가,12092408,3164255,485515,85103,300650,1279462,2647752,2187553,852029,326196,137834
매출원가율(%),32.44,32.22,28.11,27.33,28.39,31.28,27.69,35.53,59.55,27.73,64.95
직접제조원가율(%),24.93,24.79,25.24,25.31,25.18,24.84,25.29,24.3,26.8,25.28,22.81
매출총이익,18619661,3998657,550849,229442,758425,3156917,3756888,4986028,721873,868349,218291
매출총이익율(%),48.68,36.78,31.89,72.94,71.61,71.16,38.79,69.51,50.45,72.69,61.3
지급수수료_중간관리수수료,1202005,1202005,,,,,,,,,
지급수수료_중간관리수수료(직영),818997,,,36382,,,,632913,,124579,25123
지급수수료_판매사원도급비(직영),47443,,,47443,,,,,,,
지급수수료_판매사원도급비(면세),88307,,88307,,,,,,,,
지급수수료_물류용역비,522087,154167,24493,4460,15018,62908,137329,101722,,16939,5050
지급수수료_물류운송비,91252,26946,4281,780,2625,10995,24003,17779,,2961,883
지급수수료_이천보관료,668424,197379,31358,5710,19227,80541,175822,130235,,21687,6465
지급수수료_카드수수료,115359,,,5977,30656,,,50215,,21032,7479
지급수수료_온라인위탁판매수수료,1062029,,,,,1062029,,,,,
지급수수료_로열티,803229,228313,36273,6605,22241,93164,203377,150645,30047,25085,7479
지급임차료_매장(변동),1609050,,,16883,,,,1365481,,226686,
지급임차료_매장(고정),160770,770,,160000,,,,,,,
지급임차료_관리비,181551,,,,,,,147697,,33854,
감가상각비_임차시설물,206031,93526,3469,92,,,,88123,,20717,105
직접비,7576534,1903105,188181,284333,89767,1309638,540531,2684811,30047,493539,52582
직접이익,11043127,2095553,362667,-54891,668658,1847279,3216357,2301218,691826,374810,165708
직접이익율(%),28.76,19.27,21,-17.45,63.14,41.64,33.21,32.08,43.96,31.38,46.53
일반 관리비,4983824,1288852,204764,73176,321810,590033,1138793,857099,2742,273600,55239
영업이익,6059304,806700,157904,-128067,346848,1257246,2077563,1444119,689084,101210,110470
영업이익율(%),15.84,7.42,9.14,-40.72,32.75,28.34,21.45,20.13,48.16,8.47,31.02
