브랜드,Version,채널,TAG가 [v+],실판매액 [v+],실판매액 [v-],수수료차감매출 [v-],할인율(%),출고율(%),매출(출고),매출원가,재고평가감_환입,재고평가감_설정,재고자산평가,매출원가(환입후),매출원가율(%),직접제조원가율(%),매출총이익,매출총이익율(%),지급수수료_중간관리수수료,지급수수료_중간관리수수료(직영),지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_물류운송비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(변동),지급임차료_매장(고정),지급임차료_관리비,감가상각비_임차시설물,직접비,직접이익,직접이익율(%),영업비,영업이익,영업이익율(%)
I,F01_2026_R,내수합계,"10,471,387,000","7,142,298,000","6,492,998,000","4,995,596,000",31.8,76.9,"4,995,596,000",2659104000.0,"-151,639,000","122,319,000","273,958,000","2,933,063,000",45.2,30.8,"2,062,535,000",31.8,"407,824,000","42,569,000","11,486,000","97,717,000","173,375,000","37,606,000","170,938,000","5,102,000","256,151,000","263,558,000","110,922,000","1,275,000","13,483,000","47,164,000","1,639,170,000","423,364,000",6.5,"1,079,900,000","-656,536,000",-10.1
I,F01_2026_R,백화점,"3,434,706,000","3,246,000,000","2,950,909,000","1,880,013,000",5.5,63.7,"1,880,013,000",874372000.0,0,0,,"874,372,000",29.6,28.0,"1,005,641,000",34.1,"407,824,000",,,,"78,795,000","17,091,000","77,687,000",,,"112,801,000",,,,"37,798,000","731,996,000","273,645,000",9.3,"435,185,000","-161,540,000",-5.5
I,F01_2026_R,면세점,"683,130,000","673,000,000","611,818,000","367,091,000",1.5,60.0,"367,091,000",173847000.0,0,0,,"173,847,000",28.4,28.0,"193,244,000",31.6,,,,"97,717,000","16,337,000","3,544,000","16,107,000",,,"22,025,000",,"1,275,000",,"2,296,000","159,301,000","33,943,000",5.5,"90,225,000","-56,282,000",-9.2
I,F01_2026_R,직영점(가두),"125,291,000","122,000,000","110,909,000","110,909,000",2.6,100.0,"110,909,000",31887000.0,0,0,,"31,887,000",28.8,28.0,"79,022,000",71.2,,,"11,486,000",,"2,961,000","642,000","2,920,000",,,"4,325,000","9,557,000",,,"1,069,000","32,961,000","46,062,000",41.5,"21,501,000","24,561,000",22.1
I,F01_2026_R,대리점,"603,345,000","573,000,000","520,909,000","339,130,000",5.0,65.1,"339,130,000",153605000.0,0,0,,"153,605,000",29.5,28.0,"185,525,000",35.6,,,,,"13,909,000","3,017,000","13,714,000",,,"20,348,000",,,,,"50,988,000","134,538,000",25.8,"76,561,000","57,976,000",11.1
I,F01_2026_R,제휴몰,"974,596,000","959,000,000","871,818,000","871,818,000",1.6,100.0,"871,818,000",248001000.0,0,0,,"248,001,000",28.4,28.0,"623,817,000",71.5,,,,,"23,279,000","5,049,000","22,952,000",,"256,151,000","34,001,000",,,,,"341,433,000","282,384,000",32.4,"138,192,000","144,193,000",16.5
I,F01_2026_R,자사몰,"385,550,000","341,000,000","310,000,000","310,000,000",11.6,100.0,"310,000,000",98041000.0,0,0,,"98,041,000",31.6,28.0,"211,959,000",68.4,,,,,"8,278,000","1,795,000","8,161,000",,,"12,090,000",,,,,"30,324,000","181,635,000",58.6,"101,996,000","79,639,000",25.7
I,F01_2026_R,직영몰,"495,530,000","473,000,000","430,000,000","430,000,000",4.5,100.0,"430,000,000",126172000.0,0,0,,"126,172,000",29.3,28.0,"303,828,000",70.7,,"42,569,000",,,"11,482,000","2,490,000","11,320,000","5,102,000",,"16,770,000","101,365,000",,"13,483,000","6,001,000","210,582,000","93,246,000",21.7,"83,585,000","9,661,000",2.2
I,F01_2026_R,사입,"3,769,237,000","755,298,000","686,635,000","686,635,000",80.0,100.0,"686,635,000",953179000.0,"-151,639,000",0,"151,639,000","1,104,818,000",160.9,32.2,"-418,183,000",-60.9,,,,,"18,334,000","3,977,000","18,077,000",,,"41,198,000",,,,,"81,586,000","-499,769,000",-72.8,"100,919,000","-600,688,000",-87.5
M,F01_2026_R,내수합계,"34,691,545,000","28,980,974,000","26,346,340,000","19,312,668,000",16.5,73.3,"19,312,668,000",5944905000.0,"-391,077,000","203,501,000","594,579,000","6,539,483,000",24.8,20.7,"12,773,184,000",48.5,"710,697,000","63,652,000","173,095,000","495,964,000","535,960,000","191,324,000","601,071,000","83,360,000","438,972,000","1,220,701,000","140,148,000","589,357,000","84,480,000","192,967,000","5,521,747,000","7,251,437,000",27.5,"3,752,295,000","3,499,142,000",13.3
