브랜드,아이템_중분류, 실판매액 ,
I,Bag,"2,732,325",
I,Headwear,"476,992",
I,Shoes,"813,012",
I,과시즌의류,"319,975",
I,당시즌의류,"1,799,991",
I,차시즌의류,"1,000,003",
M,Bag,"3,165,425",
M,Headwear,"9,169,679",
M,Shoes,8514150,
M,과시즌의류,716168,
M,당시즌의류,"4,119,748",
M,차시즌의류,"3,295,804",
ST,Acc_etc,"16,456",
ST,Bag,39025,
ST,Headwear,"23,496",
ST,Shoes,"26,022",
ST,과시즌의류,175000,
ST,당시즌의류,"190,001",
ST,차시즌의류,"200,000",
V,Acc_etc,"25,650",
V,Bag,"86,025",
V,Headwear,"14,859",
V,Shoes,"109,975",
V,과시즌의류,1097692,
V,당시즌의류,"2,465,799",
W,Bag,"8,211",
W,Headwear,"2,843",
W,Shoes,"66,408",
W,과시즌의류,"161,982",
W,당시즌의류,556,
X,Acc_etc," 565,611 ",
X,Bag," 3,538,736 ",
X,Headwear," 742,301 ",
X,Shoes," 4,442,216 ",
X,과시즌의류," 7,395,738 ",
X,당시즌의류," 22,999,989 ",
X,차시즌의류," 815,408 ",
