브랜드,구분,아이템명,채널명,TAG매출,실판매출,비중,할인율,YOY
I,아이템,Acc_etc,전체,20238500,19396832,1,4.2,-15.4
I,아이템-채널,Acc_etc,기타,5900,2950,0,50.0,100.0
I,아이템-채널,Acc_etc,대리점,1805000,1754430,9,2.8,48.4
I,아이템-채널,Acc_etc,면세점,4063400,4063420,21,-0.0,50.3
I,아이템-채널,Acc_etc,백화점,8730000,8108910,42,7.1,-24.5
I,아이템-채널,Acc_etc,사입,-59000,-14750,0,75.0,100.0
I,아이템-채널,Acc_etc,자사몰,1478000,1316272,7,10.9,-10.5
I,아이템-채널,Acc_etc,제휴몰,2618100,2618100,13,0.0,-20.9
I,아이템-채널,Acc_etc,직영몰,1203300,1153700,6,4.1,-55.0
I,아이템-채널,Acc_etc,직영점(가두),393800,393800,2,0.0,-58.4
I,아이템,Bag,전체,1822007000,1217678780,51,33.2,3.8
I,아이템-채널,Bag,기타,209000,104500,0,50.0,-73.7
I,아이템-채널,Bag,대리점,37318000,34683010,3,7.1,-13.1
I,아이템-채널,Bag,면세점,254216000,253865290,21,0.1,-20.9
I,아이템-채널,Bag,백화점,702529000,630753990,52,10.2,124.3
I,아이템-채널,Bag,사입,684982000,174198010,14,74.6,-58.8
I,아이템-채널,Bag,자사몰,38582000,30422940,2,21.1,4.3
I,아이템-채널,Bag,제휴몰,43419000,39556600,3,8.9,-0.3
I,아이템-채널,Bag,직영몰,53366000,46850640,4,12.2,53.8
I,아이템-채널,Bag,직영점(가두),7386000,7243800,1,1.9,-18.0
I,아이템,Headwear,전체,225181000,218963970,9,2.8,21.8
I,아이템-채널,Headwear,기타,92000,59680,0,35.1,3.8
I,아이템-채널,Headwear,대리점,20240000,19585310,9,3.2,23.1
I,아이템-채널,Headwear,면세점,75888000,75826000,35,0.1,50.3
I,아이템-채널,Headwear,백화점,76570000,72631620,33,5.1,-8.5
I,아이템-채널,Headwear,사입,-69000,-20700,0,70.0,-91.8
I,아이템-채널,Headwear,자사몰,6016000,5175900,2,14.0,30.9
I,아이템-채널,Headwear,제휴몰,18657000,18635500,9,0.1,19.5
I,아이템-채널,Headwear,직영몰,19414000,18717660,9,3.6,99.3
I,아이템-채널,Headwear,직영점(가두),8373000,8353000,4,0.2,58.7
I,아이템,Shoes,전체,209127000,197644764,8,5.5,-34.3
I,아이템-채널,Shoes,기타,178000,146650,0,17.6,-19.9
I,아이템-채널,Shoes,대리점,25072000,23929890,12,4.6,-15.7
I,아이템-채널,Shoes,면세점,20832000,20832000,11,0.0,-66.6
I,아이템-채널,Shoes,백화점,104363000,97631050,49,6.5,-32.4
I,아이템-채널,Shoes,사입,-89000,-22250,0,75.0,100.0
I,아이템-채널,Shoes,자사몰,9234000,6851134,3,25.8,-14.9
I,아이템-채널,Shoes,제휴몰,26911000,26675500,13,0.9,-24.2
I,아이템-채널,Shoes,직영몰,17236000,16219990,8,5.9,5.2
I,아이템-채널,Shoes,직영점(가두),5390000,5380800,3,0.2,-21.4
I,아이템,과시즌의류,전체,-156233000,-30931741,-1,80.2,-177.9
I,아이템-채널,과시즌의류,기타,108000,66360,0,38.6,100.0
