브랜드,유통채널,채널명,아이템_중분류,아이템소분류,아이템코드,판매금액(TAG가),실판매액
I,1,백화점,Acc_etc,PET,PE,450000,439990
I,1,백화점,Acc_etc,기타,ET,663000,649800
I,1,백화점,Acc_etc,머플러(스카프),MF,413000,374440
I,1,백화점,Acc_etc,양말,SO,1302700,1261060
I,1,백화점,Acc_etc,장갑,GL,1340000,1330000
I,1,백화점,Bag,가방,BG,792000,792000
I,1,백화점,Bag,백팩,BK,101332000,99321330
I,1,백화점,Bag,보조가방,UB,996000,964800
I,1,백화점,Bag,슬링백,SG,553000,553000
I,1,백화점,Bag,크로스백,CR,8710000,8446450
I,1,백화점,Headwear,방한모,WM,7949000,7636140
I,1,백화점,Headwear,비니,BN,8779000,8561780
I,1,백화점,Headwear,와이어캡,WR,539000,519400
I,1,백화점,Headwear,운동모,CP,14651000,14358790
I,1,백화점,Headwear,햇,HT,59000,59000
I,1,백화점,Shoes,런닝화,RN,7720000,7387470
I,1,백화점,Shoes,방한화,WB,14524000,14110850
I,1,백화점,Shoes,스니커즈,SX,9967000,9823070
I,1,백화점,Shoes,신발,SH,21234000,20782350
I,1,백화점,과시즌의류,다운점퍼,DJ,12658000,6265200
I,1,백화점,과시즌의류,맨투맨,MT,336000,199600
I,1,백화점,과시즌의류,맨투맨셋트,S2,1032000,516000
I,1,백화점,과시즌의류,보드바지,BP,477000,238500
I,1,백화점,과시즌의류,팬츠,PT,237000,165900
I,1,백화점,당시즌의류,니트가디건,KC,-338000,-371800
I,1,백화점,당시즌의류,니트풀오버,KP,695000,641620
I,1,백화점,당시즌의류,다운베스트,DV,4091000,3785590
I,1,백화점,당시즌의류,다운점퍼,DJ,88925000,84506630
I,1,백화점,당시즌의류,레깅스,LG,1104000,1060360
I,1,백화점,당시즌의류,맨투맨,MT,11727000,11063400
I,1,백화점,당시즌의류,맨투맨셋트,S2,25941000,24537640
I,1,백화점,당시즌의류,반팔카라티셔츠,TS,-20000,-20000
I,1,백화점,당시즌의류,반팔티 & 스웨트팬츠,S1,2385000,2337300
I,1,백화점,당시즌의류,방풍자켓,WJ,159000,159000
I,1,백화점,당시즌의류,스커트,SK,-188000,-188000
I,1,백화점,당시즌의류,우븐팬츠,WP,5612000,5239140
I,1,백화점,당시즌의류,원피스,OP,-89000,-89000
I,1,백화점,당시즌의류,점퍼,JP,1892000,1798040
I,1,백화점,당시즌의류,진바지,DP,1624000,1530940
I,1,백화점,당시즌의류,팬츠,PT,6171000,5823260
I,1,백화점,당시즌의류,폴라폴리스점퍼,FD,2385000,2177140
I,1,백화점,당시즌의류,폴로 티셔츠,PQ,79000,79000
I,1,백화점,당시즌의류,후드티,HD,3229000,2988200
I,1,백화점,차시즌의류,맨투맨,MT,5015000,4966900
I,1,백화점,차시즌의류,맨투맨셋트,S2,14370000,13792200
I,1,백화점,차시즌의류,반팔티 & 스웨트팬츠,S1,1568000,1542200
I,1,백화점,차시즌의류,스커트,SK,345000,345000
I,1,백화점,차시즌의류,우븐팬츠,WP,356000,356000
I,1,백화점,차시즌의류,점퍼,JP,9811000,9527860
I,1,백화점,차시즌의류,팬츠,PT,3545000,3489900
I,1,백화점,차시즌의류,후드티,HD,2581000,2526450
I,11,직영몰,Acc_etc,PET,PE,756000,699000
I,11,직영몰,Acc_etc,양말,SO,117900,115230
I,11,직영몰,Acc_etc,장갑,GL,158000,158000
I,11,직영몰,Bag,가방,BG,33000,33000
I,11,직영몰,Bag,백팩,BK,11592000,11527300
I,11,직영몰,Bag,보조가방,UB,78000,78000
I,11,직영몰,Bag,슬링백,SG,158000,158000
I,11,직영몰,Bag,크로스백,CR,818000,818000
I,11,직영몰,Headwear,방한모,WM,561000,561000
I,11,직영몰,Headwear,비니,BN,1078000,1078000
I,11,직영몰,Headwear,와이어캡,WR,245000,245000
I,11,직영몰,Headwear,운동모,CP,1824000,1824000
I,11,직영몰,Shoes,런닝화,RN,1049000,1049000
I,11,직영몰,Shoes,방한화,WB,1039000,1039000
I,11,직영몰,Shoes,스니커즈,SX,1796000,1796000
I,11,직영몰,Shoes,신발,SH,2856000,2856000
I,11,직영몰,과시즌의류,맨투맨,MT,0,0
I,11,직영몰,당시즌의류,니트풀오버,KP,139000,139000
I,11,직영몰,당시즌의류,다운베스트,DV,169000,152100
I,11,직영몰,당시즌의류,다운점퍼,DJ,4095000,3890700
I,11,직영몰,당시즌의류,레깅스,LG,69000,69000
I,11,직영몰,당시즌의류,맨투맨,MT,474000,474000
I,11,직영몰,당시즌의류,맨투맨셋트,S2,1092000,1092000
I,11,직영몰,당시즌의류,반팔카라티셔츠,TS,147000,147000
I,11,직영몰,당시즌의류,반팔티 & 스웨트팬츠,S1,159000,143100
I,11,직영몰,당시즌의류,스커트,SK,188000,188000
I,11,직영몰,당시즌의류,우븐팬츠,WP,406000,396100
I,11,직영몰,당시즌의류,팬츠,PT,365000,365000
I,11,직영몰,당시즌의류,폴라폴리스점퍼,FD,0,0
I,11,직영몰,당시즌의류,후드티,HD,277000,267000
I,11,직영몰,차시즌의류,맨투맨,MT,710000,710000
I,11,직영몰,차시즌의류,맨투맨셋트,S2,714000,714000
I,11,직영몰,차시즌의류,반팔티 & 스웨트팬츠,S1,526000,526000
I,11,직영몰,차시즌의류,우븐팬츠,WP,89000,89000
I,11,직영몰,차시즌의류,점퍼,JP,537000,537000
I,11,직영몰,차시즌의류,팬츠,PT,276000,276000
I,11,직영몰,차시즌의류,후드티,HD,89000,89000
I,2,면세점,Acc_etc,머플러(스카프),MF,708000,708000
I,2,면세점,Acc_etc,양말,SO,7900,7900
I,2,면세점,Bag,백팩,BK,1073000,1073000
I,2,면세점,Bag,크로스백,CR,119874000,119873900
I,2,면세점,Headwear,방한모,WM,1128000,1128000
I,2,면세점,Headwear,비니,BN,5780000,5780000
I,2,면세점,Headwear,운동모,CP,8097000,8097000
I,2,면세점,Shoes,런닝화,RN,2683000,2683000
I,2,면세점,Shoes,방한화,WB,1593000,1593000
I,2,면세점,Shoes,스니커즈,SX,6198000,6198000
I,2,면세점,Shoes,신발,SH,3327000,3327000
I,2,면세점,당시즌의류,다운베스트,DV,1519000,1519000
I,2,면세점,당시즌의류,다운점퍼,DJ,28700000,28700000
I,2,면세점,당시즌의류,맨투맨,MT,3915000,3915000
I,2,면세점,당시즌의류,맨투맨셋트,S2,3009000,3009000
I,2,면세점,당시즌의류,방풍자켓,WJ,318000,318000
I,2,면세점,당시즌의류,우븐팬츠,WP,99000,99000
I,2,면세점,당시즌의류,팬츠,PT,1696000,1696000
I,2,면세점,당시즌의류,폴라폴리스점퍼,FD,864000,864000
I,2,면세점,당시즌의류,후드티,HD,533000,533000
I,2,면세점,차시즌의류,맨투맨,MT,1484000,1484000
I,2,면세점,차시즌의류,맨투맨셋트,S2,2398000,2397980
I,2,면세점,차시즌의류,반팔티 & 스웨트팬츠,S1,2580000,2580010
I,2,면세점,차시즌의류,점퍼,JP,895000,895000
I,3,직영점(가두),Acc_etc,PET,PE,98000,98000
I,3,직영점(가두),Acc_etc,머플러(스카프),MF,59000,59000
I,3,직영점(가두),Acc_etc,양말,SO,29700,29700
I,3,직영점(가두),Acc_etc,장갑,GL,59000,59000
I,3,직영점(가두),Bag,가방,BG,33000,33000
I,3,직영점(가두),Bag,백팩,BK,2655000,2645000
I,3,직영점(가두),Bag,보조가방,UB,39000,39000
I,3,직영점(가두),Bag,슬링백,SG,79000,79000
I,3,직영점(가두),Bag,크로스백,CR,780000,780000
I,3,직영점(가두),Headwear,방한모,WM,477000,477000
I,3,직영점(가두),Headwear,비니,BN,803000,803000
I,3,직영점(가두),Headwear,운동모,CP,1123000,1123000
I,3,직영점(가두),Shoes,런닝화,RN,475000,475000
I,3,직영점(가두),Shoes,방한화,WB,801000,791000
I,3,직영점(가두),Shoes,스니커즈,SX,1033000,1023000
I,3,직영점(가두),Shoes,신발,SH,1433000,1423000
I,3,직영점(가두),당시즌의류,다운점퍼,DJ,5120000,5120000
I,3,직영점(가두),당시즌의류,레깅스,LG,0,0
I,3,직영점(가두),당시즌의류,맨투맨,MT,494000,494000
I,3,직영점(가두),당시즌의류,맨투맨셋트,S2,427000,427000
I,3,직영점(가두),당시즌의류,방풍자켓,WJ,159000,159000
I,3,직영점(가두),당시즌의류,우븐팬츠,WP,188000,188000
I,3,직영점(가두),당시즌의류,팬츠,PT,168000,168000
I,3,직영점(가두),당시즌의류,폴라폴리스점퍼,FD,556000,556000
I,3,직영점(가두),당시즌의류,후드티,HD,69000,69000
I,3,직영점(가두),차시즌의류,맨투맨,MT,108000,108000
I,3,직영점(가두),차시즌의류,맨투맨셋트,S2,139000,139000
I,3,직영점(가두),차시즌의류,반팔티 & 스웨트팬츠,S1,129000,129000
I,3,직영점(가두),차시즌의류,우븐팬츠,WP,89000,89000
I,3,직영점(가두),차시즌의류,점퍼,JP,179000,179000
I,3,직영점(가두),차시즌의류,팬츠,PT,59000,59000
