월,일,요일,계수구분,계수,월말계수,진척계수,진척율
1,1,Thu,명절,1.414577,35.117739,1.414577,0.040281
1,2,Fri,명절,1.380821,35.117739,2.795398,0.079601
1,3,Sat,명절,1.669910,35.117739,4.465308,0.127152
1,4,Sun,명절,1.350663,35.117739,5.815971,0.165613
1,5,Mon,명절,1.141121,35.117739,6.957092,0.198108
1,6,Tue,명절,1.129506,35.117739,8.086598,0.230271
1,7,Wed,명절,0.870483,35.117739,8.957081,0.255059
1,8,Thu,명절,1.446825,35.117739,10.403906,0.296258
1,9,Fri,명절,1.309066,35.117739,11.712972,0.333534
1,10,Sat,명절,1.448387,35.117739,13.161359,0.374778
1,11,Sun,명절,1.025331,35.117739,14.186690,0.403975
1,12,Mon,명절,1.013104,35.117739,15.199794,0.432824
1,13,Tue,명절,1.337758,35.117739,16.537552,0.470917
1,14,Wed,명절,1.133257,35.117739,17.670809,0.503188
1,15,Thu,명절,1.074216,35.117739,18.745025,0.533777
1,16,Fri,명절,1.081624,35.117739,19.826649,0.564576
1,17,Sat,명절,1.118701,35.117739,20.945350,0.596432
1,18,Sun,명절,0.870528,35.117739,21.815878,0.621221
1,19,Mon,명절,1.474115,35.117739,23.289993,0.663197
1,20,Tue,명절,0.866389,35.117739,24.156382,0.687868
1,21,Wed,명절,1.035627,35.117739,25.192009,0.717359
1,22,Thu,명절,0.996728,35.117739,26.188737,0.745741
1,23,Fri,명절,0.970278,35.117739,27.159015,0.773370
1,24,Sat,명절,0.932396,35.117739,28.091411,0.799921
1,25,Sun,명절,1.056955,35.117739,29.148366,0.830018
1,26,Mon,명절,0.856769,35.117739,30.005135,0.854415
1,27,Tue,명절,0.999875,35.117739,31.005010,0.882887
1,28,Wed,명절,1.019580,35.117739,32.024590,0.911921
1,29,Thu,명절,1.024377,35.117739,33.048967,0.941090
1,30,Fri,명절,0.996902,35.117739,34.045869,0.969478
1,31,Sat,명절,1.071870,35.117739,35.117739,1.000000
