사업부,브랜드,고객,RF상권,시즌,당시즌/과시즌,정상/이관/이월,상품,PH01-1,PH01-2,PH01-3,MTyp,유통채널,판매수량,1. 매출액 Actual,제품/상품 매출액 Actual,판매금액(TAG가),실판매액,실판매액(V-),수수료차감매출 Actual,출고매출액(V-) Actual,관리매출액,마일리지 매출액,기타 매출액,2. 매출원가 Actual,표준 매출원가,표준 외주가공비,표준 부재료비,제품/상품기타COGS,기타 매출원가 Actual,기타 매출원가,기타 매출원가_재고자산폐기,3. 매출총이익 Actual,지급수수료-판매수수료,BUn,통화
10,X,100994.0,N,25F,A,A,X25FDMDJ79056,L0100,L0100L0110,L0100L0110L0110005,ZFRT,6.0,3,471593,471593,837000,774250,703869,518752,471593,0,0,0,173760,173760,173760,0,0,0,0,0,297833,232276,EA,KRW
10,M,104202.0,N,25F,A,A,M25F3ABNB1556,A0100,A0100A0140,A0100A0140A0140001,ZFRT,6.0,1,28509,28509,49000,49000,44545,31360,28509,0,0,0,6371,6371,6320,51,0,0,0,0,22138,16036,EA,KRW
10,X,104989.0,N,21N,A,A,X21NDXSH3111N,A0100,A0100A0150,A0100A0150A0150005,ZFRT,6.0,8,481261,481261,872000,790130,718300,529387,481261,0,0,0,167560,167560,165600,1960,0,0,0,0,313701,237039,EA,KRW
10,M,100346.0,N,25N,A,A,M25N3ACPV295N,A0100,A0100A0140,A0100A0140A0140003,ZFRT,2.0,7,193326,193326,343000,343000,311815,212659,193326,0,0,0,45689,45689,45360,329,0,0,0,0,147637,118489,EA,KRW
10,X,104086.0,N,25N,A,A,X25NDXCR5095N,A0100,A0100A0130,A0100A0130A0130008,ZFRT,6.0,1,30736,30736,69000,48300,43909,33810,30736,0,0,0,14800,14800,14800,0,0,0,0,0,15936,13173,EA,KRW
10,X,103753.0,N,25F,A,A,X25FDMTP2C054,L0100,L0100L0130,L0100L0130L0130016,ZFRT,6.0,1,57464,57464,129000,90300,82091,63210,57464,0,0,0,24880,24880,24880,0,0,0,0,0,32584,24627,EA,KRW
10,X,104613.0,N,25F,A,A,X25FDWWJ43054,L0100,L0100L0110,L0100L0110L0110027,ZFRT,5.0,-1,-162727,-162727,-179000,-179000,-162727,-179000,-162727,0,0,0,-38580,-38580,-38580,0,0,0,0,0,-124147,0,EA,KRW
10,M,100318.0,N,26S,A,A,M26S3ATSB0263,L0100,L0100L0120,L0100L0120L0120018,ZFRT,1.0,5,139694,139694,245000,240100,218271,153663,139694,0,0,0,41605,41605,40950,655,0,0,0,0,98089,78577,EA,KRW
10,X,101077.0,N,25F,A,A,X25FDMPT75056,L0100,L0100L0130,L0100L0130L0130009,ZFRT,6.0,1,81994,81994,149000,134610,122379,90193,81994,0,0,0,26020,26020,26020,0,0,0,0,0,55974,40385,EA,KRW
10,V,105785.0,N,25F,A,A,V25FVDDJ31555,L0100,L0100L0110,L0100L0110L0110005,ZFRT,1.0,2,1302054,1302054,2180000,1962000,1783636,1432259,1302054,0,0,0,345446,345446,343940,1506,0,0,0,0,956608,481582,EA,KRW
10,I,104065.0,N,26S,A,A,I26S7APQV0161,L0100,L0100L0120,L0100L0120L0120027,ZFRT,11.0,1,80909,80909,89000,89000,80909,89000,80909,0,0,0,18426,18426,18300,126,0,0,0,0,62483,0,EA,KRW
10,ST,105205.0,N,23F,C,C,ST23FTXRB40534,A0100,A0100A0130,A0100A0130A0130018,ZFRT,5.0,1,81364,81364,179000,89500,81364,89500,81364,0,0,0,69050,69050,69050,0,0,0,0,0,12314,0,EA,KRW
10,M,100573.0,N,25N,A,A,M25N3ASHWD15N,A0100,A0100A0150,A0100A0150A0150005,ZFRT,2.0,27,2724057,2724057,4833000,4833000,4393629,2996463,2724057,0,0,0,833598,833598,832140,1458,0,0,0,0,1890459,1669572,EA,KRW
10,X,100997.0,N,26S,A,A,X26SDMPT23061,L0100,L0100L0130,L0100L0130L0130009,ZFRT,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EA,KRW
10,M,100266.0,N,25N,A,A,M25N3ACPBB15N,A0100,A0100A0140,A0100A0140A0140003,ZFRT,4.0,130,4213852,4213852,5590000,4635220,4213852,4635237,4213852,0,0,0,793130,793130,786500,6630,0,0,0,0,3420722,0,EA,KRW
10,X,101288.0,N,26S,A,A,X26SDMPT37061,L0100,L0100L0130,L0100L0130L0130009,ZFRT,6.0,1,80873,80873,139000,139000,126364,88960,80873,0,0,0,28180,28180,28180,0,0,0,0,0,52693,45491,EA,KRW
10,I,105513.0,N,25S,C,C,I25S7FSKM0151,L0100,L0100L0130,L0100L0130L0130011,ZFRT,8.0,20,540900,540900,2380000,594990,540900,594990,540900,540900,0,0,610920,610920,608400,2520,610920,0,0,0,-70020,0,EA,KRW
10,M,100027.0,Y,26S,A,A,M26S3FPTB0261,L0100,L0100L0130,L0100L0130L0130009,ZFRT,6.0,2,103854,103854,238000,190400,173090,114239,103854,0,0,0,41782,41782,41520,262,0,0,0,0,62072,69236,EA,KRW
10,I,105385.0,N,25S,C,C,I25S7AMTB0551,L0100,L0100L0120,L0100L0120L0120009,ZFRT,8.0,61,956602,956602,4209000,1052260,956602,1052262,956602,956602,0,0,905606,905606,897920,7686,905606,0,0,0,50996,0,EA,KRW
10,X,101242.0,N,25S,C,C,X25SDMPT23051,L0100,L0100L0130,L0100L0130L0130009,ZFRT,1.0,2,121164,121164,238000,166600,151454,133280,121164,0,0,0,52500,52500,52500,0,0,0,0,0,68664,30290,EA,KRW
10,M,100388.0,N,25N,A,A,M25N3ACPV285N,A0100,A0100A0140,A0100A0140A0140003,ZFRT,1.0,2,57018,57018,98000,98000,89090,62720,57018,0,0,0,13574,13574,13480,94,0,0,0,0,43444,32072,EA,KRW
10,M,100398.0,N,25N,A,A,M25N3ABKB025N,A0100,A0100A0130,A0100A0130A0130002,ZFRT,1.0,1,80873,80873,139000,139000,126364,88960,80873,0,0,0,20230,20230,20190,40,0,0,0,0,60643,45491,EA,KRW
10,I,106214.0,N,26S,A,A,I26S7AS2V0261,L0100,L0100L0160,L0100L0160L0160015,ZFRT,11.0,1,121909,121909,149000,134100,121909,134100,121909,0,0,0,33876,33876,33750,126,0,0,0,0,88033,0,EA,KRW
10,X,101016.0,N,24F,C,C,X24FDWDJ98046,L0100,L0100L0110,L0100L0110L0110005,ZFRT,7.0,1,178182,178182,490000,196000,178182,196000,178182,0,0,0,91490,91490,91490,0,0,0,0,0,86692,0,EA,KRW
10,X,104513.0,N,25S,C,C,X25SDKPD11051,L0100,L0100L0110,L0100L0110L0110018,ZFRT,1.0,1,70165,70165,149000,104300,94818,77182,70165,0,0,0,35390,35390,35390,0,0,0,0,0,34775,24653,EA,KRW
10,X,103767.0,N,25F,A,A,X25FDMTR75056,L0100,L0100L0120,L0100L0120L0120017,ZFRT,1.0,1,87016,87016,159000,111300,101181,95718,87016,0,0,0,32350,32350,32350,0,0,0,0,0,54666,14165,EA,KRW
10,I,100667.0,N,26N,A,A,I26N7ASOB026N,A0100,A0100A0120,A0100A0120A0120044,ZFRT,1.0,1,4596,4596,7900,7900,7181,5056,4596,0,0,0,1534,1534,1480,54,0,0,0,0,3062,2585,EA,KRW
10,M,104420.0,N,25F,A,A,M25F3ADJB3056,L0100,L0100L0110,L0100L0110L0110005,ZFRT,6.0,1,215975,215975,419000,377100,342818,237573,215975,0,0,0,78860,78860,78730,130,0,0,0,0,137115,126843,EA,KRW
10,M,100299.0,N,23N,A,A,M23N3ASXCLB3N,A0100,A0100A0150,A0100A0150A0150007,ZFRT,8.0,9,284319,284319,1251000,312750,284319,312751,284319,284319,0,0,204516,204516,204300,216,204516,0,0,0,79803,0,EA,KRW
10,X,104586.0,N,24F,C,C,X24FDMTP27044,L0100,L0100L0130,L0100L0130L0130016,ZFRT,6.0,4,142692,142692,436000,218000,198184,156961,142692,0,0,0,84000,84000,84000,0,0,0,0,0,58692,55492,EA,KRW
10,M,104551.0,N,26N,A,A,M26N3ACRMA16N,A0100,A0100A0130,A0100A0130A0130008,ZFRT,6.0,2,176346,176346,318000,318000,289092,193981,176346,0,0,0,45368,45368,45260,108,0,0,0,0,130978,112746,EA,KRW
10,X,101377.0,N,26S,A,A,X26SDXHD31061,L0100,L0100L0120,L0100L0120L0120004,ZFRT,4.0,5,376164,376164,495000,413780,376164,413780,376164,0,0,0,122200,122200,122200,0,0,0,0,0,253964,0,EA,KRW
10,M,100456.0,N,25F,A,A,M25F3ADVV0156,L0100,L0100L0110,L0100L0110L0110007,ZFRT,2.0,2,291964,291964,518000,518000,470910,321160,291964,0,0,0,87544,87544,87280,264,0,0,0,0,204420,178946,EA,KRW
10,I,105881.0,N,25N,A,A,I25N7ABKMD25N,A0100,A0100A0130,A0100A0130A0130002,ZFRT,6.0,1,118260,118260,219000,197100,179182,130086,118260,0,0,0,54053,54053,54000,53,0,0,0,0,64207,60922,EA,KRW
10,X,101250.0,N,25N,A,A,X25NDXSO9515N,A0100,A0100A0120,A0100A0120A0120044,ZFRT,6.0,1,7020,7020,13000,11700,10636,7722,7020,0,0,0,2900,2900,2900,0,0,0,0,0,4120,3616,EA,KRW
10,I,104031.0,N,26S,A,A,I26S7AWJB0261,L0100,L0100L0110,L0100L0110L0110027,ZFRT,6.0,1,69660,69660,129000,116100,105545,76626,69660,0,0,0,24466,24466,24340,126,0,0,0,0,45194,35885,EA,KRW
10,M,100194.0,N,21N,A,A,M21N3ACP1201N,A0100,A0100A0140,A0100A0140A0140003,ZFRT,6.0,6,118800,118800,198000,198000,180000,130680,118800,0,0,0,33672,33672,32700,972,0,0,0,0,85128,61200,EA,KRW
10,M,100316.0,N,26S,A,A,M26S3ARSB0263,L0100,L0100L0120,L0100L0120L0120012,ZFRT,1.0,1,63418,63418,109000,109000,99091,69760,63418,0,0,0,17261,17261,17130,131,0,0,0,0,46157,35673,EA,KRW
10,X,101308.0,N,25S,C,C,X25SDKTP3E051,L0100,L0100L0130,L0100L0130L0130016,ZFRT,7.0,1,43091,43091,79000,47400,43091,47400,43091,0,0,0,17920,17920,17920,0,0,0,0,0,25171,0,EA,KRW
10,V,104593.0,N,25S,C,C,V25SVUKP11053,L0100,L0100L0120,L0100L0120L0120007,ZFRT,5.0,1,197273,197273,310000,217000,197273,217000,197273,0,0,0,69220,69220,69220,0,0,0,0,0,128053,0,EA,KRW
