브랜드,I,I,I,I,I,I,I,I,I,I
Version,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R
채널,Unassigned,(브랜드) 백화점,(브랜드) 면세점,직영점(가두),온라인(자사),온라인(제휴),대리점,사입,수출,직영(가두)2
Measure units,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
TAG가 [v+],19062447,3789529,524365,131402,439998,1144255,654565,6440727,5463164,474442
실판매액 [v+],10482523,3537000,517000,126000,381000,1119000,614000,1325600,2420923,442000
실판매액 [v-],9749650,3215454,470000,114545,346364,1017273,558182,1205091,2420923,401818
수수료차감매출 [v-],8198727,2048554,282000,114545,346364,1017273,362159,1205091,2420923,401818
할인율(%),45.01,6.66,1.4,4.11,13.41,2.21,6.2,79.42,55.69,6.84
출고율(%),86.03,63.71,60,100,100,100,64.88,100,100,100
매출(출고),8198727,2048554,282000,114545,346364,1017273,362159,1205091,2420923,401818
매출원가,4671967,970089,134155,33625,112491,292737,167549,1509835,1330012,121475
재고평가감_환입,258079,1754,42,34,55,8105,-60,248104,,45
재고평가감_설정,117655,,,,,,,,,
재고자산평가,-140424,-1754,-42,-34,-55,-8105,60,-248104,,-45
원가,4531543,968335,134112,33591,112436,284631,167609,1261732,1330012,121429
매출원가율(%),49.03,30.17,28.54,29.36,32.48,28.78,30.02,125.29,60.43,30.23
직접제조원가율(%),26.96,28.16,28.14,28.15,28.12,28.14,28.16,25.79,26.78,28.16
매출총이익,3667184,1080219,147888,80954,233927,732641,194551,-56641,1090911,280389
매출총이익율(%),38.48,33.59,31.47,70.67,67.54,72.02,34.85,-4.7,49.57,69.78
지급수수료_중간관리수수료,423001,423001,,,,,,,,
지급수수료_중간관리수수료(직영),51981,,,,,,,,,51981
지급수수료_판매사원도급비(직영),25564,,,25564,,,,,,
지급수수료_판매사원도급비(면세),86201,,86201,,,,,,,
지급수수료_물류용역비,182908,80250,11730,2859,8644,25389,13931,30076,,10028
지급수수료_물류운송비,46804,20535,3002,732,2212,6497,3565,7696,,2566
지급수수료_이천보관료,170938,74998,10962,2672,8079,23727,13019,28108,,9372
지급수수료_카드수수료,4767,,,,,,,,,4767
지급수수료_온라인위탁판매수수료,298888,,,,,298888,,,,
지급수수료_로열티,549281,122913,16920,4467,13508,39674,21730,72305,242092,15671
지급임차료_매장(변동),105034,,,9870,,,,,,95164
지급임차료_매장(고정),1275,,1275,,,,,,,
지급임차료_관리비,13483,,,,,,,,,13483
감가상각비_임차시설물,51636,41316,2719,1191,,,,,,6409
직접비,2011759,763013,132809,47355,32443,394174,52244,138186,242092,209442
직접이익,1655425,317205,15078,33599,201484,338468,142306,-194826,848819,70947
직접이익율(%),16.98,9.87,3.21,29.33,58.17,33.27,25.49,-16.17,35.06,17.66
일반 관리비,1198035,472565,69073,23377,106028,159576,80700,174227,,82232
영업이익,457390,-155360,-53994,10222,95456,178892,61607,-369054,848819,-11285
영업이익율(%),4.8,-4.83,-11.49,8.92,27.56,17.59,11.04,-30.62,38.57,-2.81
