브랜드,W,W,W
Version,F02_2026_R,F02_2026_R,F02_2026_R
채널,Unassigned,온라인(자사),온라인(제휴)
Measure units,합계,합계,합계
TAG가 [v+],733333,266667,466667
실판매액 [v+],110000,40000,70000
실판매액 [v-],100000,36364,63636
수수료차감매출 [v-],100000,36364,63636
할인율(%),85,85,85
출고율(%),100,100,100
매출(출고),100000,36364,63636
매출원가,113056,41112,71944
재고평가감_환입,80457,29256,51200
재고평가감_설정,23410,,
재고자산평가,-57047,-29256,-51200
원가,56009,11855,20744
매출원가율(%),113.06,113.06,113.06
직접제조원가율(%),16.96,16.96,16.96
매출총이익,43991,24508,42892
매출총이익율(%),43.99,67.4,67.4
지급수수료_물류용역비,14827,5392,9436
지급수수료_물류운송비,16612,6041,10571
지급수수료_이천보관료,15483,5630,9853
지급수수료_카드수수료,875,875,
지급수수료_온라인위탁판매수수료,18117,,18117
지급수수료_로열티,3750,1364,2386
직접비,69664,19301,50363
직접이익,-25673,5208,-7471
직접이익율(%),-25.67,14.32,-11.74
일반 관리비,19599,7945,11654
영업이익,-45272,-2737,-19125
영업이익율(%),-45.27,-7.53,-30.05
