브랜드코드,시즌,채널코드,채널명,매장코드 (SAP기준),제품계층1(대분류),제품계층2(중분류),아이템_중분류,제품계층3(소분류),아이템코드,TAG매출액,실매출액,부가세제외 실판매액,매출원가 ( 환입후매출원가+평가감(추가) ),매출총이익,지급수수료_로열티,지급수수료_물류용역비,지급수수료_카드수수료,지급임차료_매장(고정),감가상각비_임차시설물,지급수수료_중간관리수수료,지급수수료_판매사원도급비(면세),지급수수료_판매사원도급비(직영),지급수수료_온라인위탁판매수수료,지급수수료_이천보관료,직접비 합계,직접이익
I,20S,8,사입,105494.0,ACC,Headwear,Headwear,운동모,CP,99000,10890,9900,901,8999,594,280,0,0,0,0,0,0,0,212,1086,7913
I,21F,0,공통,미지정,ACC,Acc_etc,Acc_etc,PET,PE,0,0,0,173394,-173394,0,0,0,0,0,0,0,0,0,0,0,-173394
I,21F,0,공통,미지정,ACC,Headwear,Headwear,운동모,CP,0,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,-2
I,21F,1,백화점,100783.0,ACC,Acc_etc,Acc_etc,PET,PE,590000,590000,536364,5367,332542,20275,15171,0,0,11531,56768,0,0,0,11166,114911,217631
I,21F,1,백화점,100790.0,ACC,Acc_etc,Acc_etc,PET,PE,983000,982990,893629,-29157,605548,34585,25279,0,0,0,200574,0,0,0,19138,279576,325972
I,21F,1,백화점,104137.0,ACC,Acc_etc,Acc_etc,PET,PE,43000,43000,39091,-11688,39052,1642,2881,0,0,0,0,0,0,0,959,5482,33570
I,21F,1,백화점,104384.0,ACC,Acc_etc,Acc_etc,PET,PE,275000,275000,249999,-9579,202079,11550,7073,0,0,0,0,0,0,0,5552,24175,177904
I,21F,1,백화점,105442.0,ACC,Acc_etc,Acc_etc,PET,PE,246000,246000,223637,-9847,152974,8587,6327,0,0,0,0,0,0,0,4571,19485,133489
I,21F,3,직영점(가두),100823.0,ACC,Acc_etc,Acc_etc,PET,PE,78000,78000,70910,710,70200,2766,2006,0,0,0,0,0,0,0,1530,6302,63898
I,21F,3,직영점(가두),100974.0,ACC,Acc_etc,Acc_etc,PET,PE,359000,359000,326364,3264,323100,12728,9231,0,0,0,0,0,0,0,7020,28979,294121
I,21F,4,자사몰,101376.0,ACC,Acc_etc,Acc_etc,PET,PE,375000,299020,271837,-28479,300316,10602,15482,0,0,0,0,0,0,0,5892,31976,268340
I,21F,5,제휴몰,103571.0,ACC,Acc_etc,Acc_etc,PET,PE,1375000,1375000,1249999,-42808,1292807,48750,71190,0,0,0,0,0,0,0,27162,147102,1145705
I,21F,5,제휴몰,105173.0,ACC,Acc_etc,Acc_etc,PET,PE,79000,79000,71818,718,71100,2801,4090,0,0,0,0,0,0,0,1456,8347,62753
I,21F,8,사입,105386.0,ACC,Headwear,Headwear,비니,BN,625000,68750,62500,-98884,161384,3750,1768,0,0,0,0,0,0,0,1348,6866,154518
I,21F,8,사입,105386.0,ACC,Headwear,Headwear,운동모,CP,8520000,937200,852000,-1371147,2223147,51120,24100,0,0,0,0,0,0,0,18359,93579,2129568
I,21F,11,직영몰,103846.0,ACC,Acc_etc,Acc_etc,PET,PE,206000,206000,187273,-9986,197259,7304,5297,0,97051,0,0,0,32588,0,3970,146210,51049
I,21F,11,직영몰,104065.0,ACC,Acc_etc,Acc_etc,PET,PE,214000,214000,194545,1945,192600,7588,5503,0,51517,0,0,0,16972,0,4183,85763,106837
